organization_name,title_es,title_en,service_area_es,service_area_en,slug,primary_category
"Ashwell Sexual Health and Wellness Clinic","Ashwell Sexual Health & Wellness","Ashwell Sexual Health and Wellness Clinic","Condado de Travis","Travis County","ashwell-sexual-health-and-wellness-clinic-ashwell-sexual-health-and-wellness-clinic","salud"
"Assurance Wireless","Programa de telefonía móvil","Mobile phone program","Condado de Travis","Travis County","assurance-wireless-mobile-phone-program","otros-recursos"
"ATX Free Fridge Project","ATX Free Fridge Project","ATX Free Fridge Project","Condado de Travis","Travis County","atx-free-fridge-project-atx-free-fridge-project","comida"
"ATX Kids Club","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis, Condado de Williamson, Condado de Hays","Travis County, Williamson County, Hays County","atx-kids-club-youth-development-and-recreation-programs","educacion"
"Austin Angels","Apoyo para jóvenes y familias de cuidado temporal","Support for foster youth and families","Condado de Travis, Condado de Williamson, Condado de Hays","Travis County, Williamson County, Hays County","austin-angels-support-for-foster-youth-and-families","otros-recursos"
"Austin Baptist Chapel","Comidas calientes y duchas en Angel House","Hot Meals and Showers at Angel House","Condado de Travis","Travis County","comidas-calientes-y-duchas-en-angel-house-austin-baptist-chapel","comida"
"Austin Baptist Chapel / Angel House Soup Kitchen","Comidas, duchas y ropa","Meals, showers and clothing","Condado de Travis","Travis County","austin-baptist-chapel-angel-house-soup-kitchen-meals-showers-and-clothing","comida"
"Austin Child Guidance Center","Terapia infantil y familiar","Child and family therapy","Condado de Travis","Travis County","austin-child-guidance-center-child-and-family-therapy","salud"
"Austin Child Guidance Center","Servicios de salud mental y bienestar","Mental health and wellness services","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","austin-child-guidance-center-mental-health-and-wellness-services","salud"
"Austin City Lutherans & Faith Presbyterian Church","Bread for All Food Pantry","Despensa de Alimentos Pan para Todos","Condado de Travis","Travis County","faith-presbyterian-church-faith-presbyterian-church","comida"
"Austin Clubhouse","Servicios de salud mental y bienestar","Mental health and wellness services","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","austin-clubhouse-mental-health-and-wellness-services","salud"
"Austin Community College District","Clases de inglés, GED y capacitación laboral","English, GED, and Career Training Programs","Condado de Travis","Travis County","clases-de-ingles-ged-y-capacitacion-laboral-austin-community-college-district","educacion"
"Austin Community Law Center","Representación legal asequible","Affordable legal representation","Condado de Travis","Travis County","austin-community-law-center-affordable-legal-representation","ayuda-legal"
"Austin Creative Reuse","Programas educativos y apoyo al aprendizaje","Education and learning support programs","Condado de Travis, Condado de Williamson","Travis County, Williamson County","austin-creative-reuse-education-and-learning-support-programs","educacion"
"Austin Energy","Apoyo financiero Plus 1","Financial Support Plus 1","Condado de Travis","Travis County","austin-energy-financial-support-plus-1","recursos-financieros"
"Austin Energy","Descuento del Programa de Asistencia al Cliente","Customer Assistance Program discount","Condado de Travis","Travis County","austin-energy-customer-assistance-program-discount","recursos-financieros"
"Austin Free-Net","Acceso Gratuito a Computadoras y Habilidades Digitales","Free Computer Access & Digital Skills","Condado de Travis","Travis County","acceso-gratuito-a-computadoras-y-habilidades-digitales-austin-free-net","educacion"
"Austin Habitat for Humanity","Vivienda y asistencia para necesidades básicas","Housing and basic-needs assistance","Condado de Travis, Condado de Hays","Travis County, Hays County","austin-habitat-for-humanity-housing-and-basic-needs-assistance","vivienda"
"Austin Habitat for Humanity Homeownership Program","Austin Habitat for Humanity Homeownership Program","Austin Habitat for Humanity Homeownership Program","Condado de Travis","Travis County","austin-habitat-for-humanity-homeownership-program-austin-habitat-for-humanity-homeownership-program","vivienda"
"Austin Public Health","Centro Comunitario St. John","St. John Community Center","Condado de Travis","Travis County","austin-public-health-st-john-community-center","otros-recursos"
"Austin Public Health","Clínica de vacunación Far South","Far South Immunization Clinic","Condado de Travis","Travis County","austin-public-health-far-south-immunization-clinic","salud"
"Austin Public Health","Clínica de vacunación St. Johns","St. Johns Immunization Clinic","Condado de Travis","Travis County","austin-public-health-st-johns-immunization-clinic","salud"
"Austin Public Health","Centro Comunitario Montopolis","Montopolis Community Center","Condado de Travis","Travis County","austin-public-health-montopolis-community-center","otros-recursos"
"Austin Public Health","Asistencia de los Centros de Servicios Vecinales","Neighborhood Services Centers assistance","Condado de Travis","Travis County","austin-public-health-neighborhood-services-centers-assistance","vivienda"
"Austin Public Health","Centro Vecinal Dove Springs","Dove Springs Neighborhood Center","Condado de Travis","Travis County","austin-public-health-dove-springs-neighborhood-center","otros-recursos"
"Austin Public Health","Centro Vecinal del Este de Austin","East Austin Neighborhood Center","Condado de Travis","Travis County","austin-public-health-east-austin-neighborhood-center","otros-recursos"
"Austin Public Library","Tarjeta de biblioteca mejorada","Enhanced Library Card","Condado de Travis","Travis County","austin-public-library-enhanced-library-card","otros-recursos"
"Austin Tenants Council (Now a project of Texas RioGrande Legal Aid)","Austin Tenants Council","Austin Tenants Council (Now a project of Texas RioGrande Legal Aid)","Condado de Travis","Travis County","austin-tenants-council-now-a-project-of-texas-riogrande-legal-aid-austin-tenants-council-now-a-project-of-texa","ayuda-legal"
"Austin Voices for Education and Youth","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis","Travis County","austin-voices-for-education-and-youth-community-support-for-individuals-and-families","otros-recursos"
"Austin Voices for Education and Youth (AVEY)","Apoyo del Centro de Recursos Familiares","Family Resource Center support","Condado de Travis","Travis County","austin-voices-for-education-and-youth-avey-family-resource-center-support","otros-recursos"
"Austin Youth Fitness","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis","Travis County","austin-youth-fitness-youth-development-and-recreation-programs","educacion"
"Austin Youth River Watch","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis","Travis County","austin-youth-river-watch-youth-development-and-recreation-programs","educacion"
"Autism Society of Texas","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","autism-society-of-texas-community-support-for-individuals-and-families","otros-recursos"
"Baptist Children’s Home","Baptist Children’s Home","Baptist Children’s Home","Condado de Travis","Travis County","baptist-children-s-home-baptist-children-s-home","vivienda"
"BASTA (Building and Strengthening Tenant Action)","BASTA (Buscando Acción y Solidaridad que Transforme el Arrendamiento)","BASTA (Building and Strengthening Tenant Action)","Condado de Travis","Travis County","basta-building-and-strengthening-tenant-action-basta-building-and-strengthening-tenant-action","ayuda-legal"
"Beat 4 Beat","Programas educativos y apoyo al aprendizaje","Education and learning support programs","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","beat-4-beat-education-and-learning-support-programs","educacion"
"Black Women Who","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","black-women-who-community-support-for-individuals-and-families","otros-recursos"
"Bluebonnet Trails Community Services","Servicios de Salud Mental de Bluebonnet Trails","Bluebonnet Trails Community Services – Mental Health","Condado de Williamson","Williamson County","bluebonnet-trails-mental-health","salud"
"Bluebonnet Trails Community Services","Servicios de Consumo de Sustancias de Bluebonnet Trails","Bluebonnet Trails Substance Use Services","Condado de Williamson","Williamson County","bluebonnet-trails-substance-use-services","salud"
"Boys and Girls Club of Georgetown","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis, Condado de Williamson","Travis County, Williamson County","boys-and-girls-club-of-georgetown-youth-development-and-recreation-programs","educacion"
"Breakthrough CTX","Programas educativos y apoyo al aprendizaje","Education and learning support programs","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","breakthrough-ctx-education-and-learning-support-programs","educacion"
"Bridge Lacrosse","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis","Travis County","bridge-lacrosse-youth-development-and-recreation-programs","educacion"
"Candlelight Ranch","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","candlelight-ranch-youth-development-and-recreation-programs","educacion"
"Capital Area Counseling","Servicios de consejería asequibles","Affordable counseling services","Condado de Travis","Travis County","capital-area-counseling-affordable-counseling-services","salud"
"Capital Area Rural Transportation System","Transporte público rural CARTS","CARTS rural public transportation","Condado de Williamson","Williamson County","carts-williamson-county-transportation","transporte"
"Capital Area Rural Transportation System (CARTS)","CARTS – Williamson County","CARTS – Williamson County","Condado de Williamson","Williamson County","carts-williamson-county","transporte"
"Capital Area Rural Transportation System (CARTS)","Transporte rural y regional en Travis County","Rural and Regional Transportation in Travis County","Condado de Travis","Travis County","transporte-rural-y-regional-en-travis-county-capital-area-rural-transportation-system-carts","transporte"
"CapMetro","Tarifas reducidas Equifare","Equifare Discounted Transit Fares","Condado de Travis","Travis County","tarifas-reducidas-equifare-capmetro","transporte"
"Caritas of Austin","Caritas of Austin","Caritas of Austin","Condado de Travis","Travis County","caritas-of-austin-caritas-of-austin","comida"
"CARY (Council on At Risk Youth)","Programas educativos y apoyo al aprendizaje","Education and learning support programs","Condado de Travis","Travis County","cary-council-on-at-risk-youth-education-and-learning-support-programs","educacion"
"Casa Marianella","Immigrant & Asylum Seeker Shelter & Support","Refugio y Apoyo para Inmigrantes y Solicitantes de Asilo","Condado de Travis","Travis County","casa-marianella-casa-marianella","vivienda"
"Catholic Charities of Central Texas","Catholic Charities – Servicios Legales de Inmigración en Georgetown","Catholic Charities – Immigration Legal Services in Georgetown","Condado de Williamson","Williamson County","catholic-charities-immigration-legal-services-georgetown","ayuda-legal"
"Catholic Charities of Central Texas","Asistencia financiera","Financial assistance","Condado de Travis","Travis County","catholic-charities-of-central-texas-catholic-charities-of-central-texas","vivienda"
"Catholic Charities of Central Texas","Asistencia legal de inmigración","Immigration legal assistance","Condado de Williamson","Williamson County","catholic-charities-immigration-williamson","ayuda-legal"
"Catholic Charities of Central Texas","Servicios de consejería","Counseling services","Condado de Travis","Travis County","catholic-charities-of-central-texas-catholic-charities-of-central-texas-2","salud"
"Centered Youth Clinic & Consulting","Servicios de salud mental y bienestar","Mental health and wellness services","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County","centered-youth-clinic-and-consulting-mental-health-and-wellness-services","salud"
"Central Presbyterian Church","Central Mission – Alimentos y Necesidades Básicashttps://cpcaustin.org/","Central Mission – Food & Basic Needs Support","Condado de Travis","Travis County","central-presbyterian-church-central-presbyterian-church","comida"
"Central Presbyterian Church","Desayuno y apoyo para necesidades básicas","Breakfast and basic-needs support","Condado de Travis","Travis County","central-presbyterian-church-breakfast-and-basic-needs-support","comida"
"Central Texas Food Bank","Distribución de alimentos","Food distribution","Condado de Travis","Travis County","central-texas-food-bank-food-distribution","comida"
"Central Texas Food Bank","Encuentra alimentos cerca de ti","Find Food Near You","Condado de Travis","Travis County","encuentra-alimentos-cerca-de-ti-central-texas-food-bank","comida"
"Central Texas Food Bank and SNAP Assistance","Central Texas Food Bank and SNAP Assistance","Central Texas Food Bank and SNAP Assistance","Condado de Travis","Travis County","central-texas-food-bank-and-snap-assistance-central-texas-food-bank-and-snap-assistance","comida"
"Central Texas Lawyer Referral Service","Referencia de Abogados en Austin, TX (Lawyer Referral of Central TX)","Central Texas Lawyer Referral Service","Condado de Travis","Travis County","central-texas-lawyer-referral-service-central-texas-lawyer-referral-service","ayuda-legal"
"Child Inc.","Cuidado infantil para familias con bajos ingresos","Child care for families with low incomes","Condado de Travis","Travis County","child-inc-child-care-for-families-with-low-incomes","educacion"
"Christi Center","Servicios de salud mental y bienestar","Mental health and wellness services","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","christi-center-mental-health-and-wellness-services","salud"
"City of Austin","Refugio para Clima Frío","Cold Weather Shelter","Condado de Travis","Travis County","city-of-austin-cold-weather-shelter","vivienda"
"City of Austin","Clínicas Fix-It","Fix-It Clinics","Condado de Travis","Travis County","city-of-austin-fix-it-clinics","otros-recursos"
"City of Austin","Centros de calentamiento","Warming Centers","Condado de Travis","Travis County","city-of-austin-warming-centers","vivienda"
"City of Austin Housing Department","Buscador de vivienda asequible de Austin","Austin Affordable Housing Search Tool","Condado de Travis","Travis County","buscador-de-vivienda-asequible-de-austin-city-of-austin-housing-department","vivienda"
"City of Austin Utilities / Austin Energy","Descuentos y ayuda con servicios públicos","Utility Discounts and Emergency Assistance","Condado de Travis","Travis County","descuentos-y-ayuda-con-servicios-publicos-city-of-austin-utilities-austin-energy","recursos-financieros"
"City of Cedar Park","LiNK Cedar Park","LiNK Cedar Park","Condado de Williamson","Williamson County","link-cedar-park","transporte"
"City of Round Rock","Round Rock Rides","Round Rock Rides","Condado de Williamson","Williamson County","round-rock-rides","transporte"
"Colin's Hope","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Burnet County","colin-s-hope-community-support-for-individuals-and-families","otros-recursos"
"College Hub at Foundation Communities","Programas educativos y apoyo al aprendizaje","Education and learning support programs","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","college-hub-at-foundation-communities-education-and-learning-support-programs","educacion"
"College Possible Texas","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis","Travis County","college-possible-texas-community-support-for-individuals-and-families","otros-recursos"
"Community Medical Services","Community Medical Services – Cedar Park","Community Medical Services – Cedar Park","Condado de Williamson","Williamson County","community-medical-services-cedar-park","salud"
"Community Resource Centers of Texas","Williamson County Community Resource Center – Liberty Hill","Williamson County Community Resource Center – Liberty Hill","Condado de Williamson","Williamson County","williamson-county-community-resource-center-liberty-hill","vivienda"
"CommUnityCare","Servicios de salud primaria y especializada","Primary and specialty health services","Condado de Travis","Travis County","communitycare-primary-and-specialty-health-services","salud"
"CommUnityCare Health Centers","Atención médica primaria y especializada","Primary and Specialty Health Care","Condado de Travis","Travis County","atencion-medica-primaria-y-especializada-communitycare-health-centers","salud"
"Con Mi Madre","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","con-mi-madre-community-support-for-individuals-and-families","otros-recursos"
"Connect ATX","Navegación de recursos comunitarios","Community resource navigation","Condado de Travis","Travis County","connect-atx-community-resource-navigation","otros-recursos"
"Consulado General de México en Austin","Información consular y comunitaria","Consular and community information","Condado de Travis","Travis County","consulado-general-de-mexico-en-austin-consular-and-community-information","ayuda-legal"
"Consultame","Asistencia con trámites del Consulado de México","Mexican Consulate procedure assistance","Condado de Travis","Travis County","consultame-mexican-consulate-procedure-assistance","ayuda-legal"
"Creative Action","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis","Travis County","creative-action-youth-development-and-recreation-programs","educacion"
"Cross Creek Behavioral Health Hospital","Servicios de salud mental y bienestar","Mental health and wellness services","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","cross-creek-behavioral-health-hospital-mental-health-and-wellness-services","salud"
"Crux Climbing Center","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis","Travis County","crux-climbing-center-youth-development-and-recreation-programs","educacion"
"David Chapel Missionary Baptist Church","David Chapel Missionary Baptist Church","David Chapel Missionary Baptist Church","Condado de Travis","Travis County","david-chapel-missionary-baptist-church-david-chapel-missionary-baptist-church","vivienda"
"David Phillips Foundation","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis","Travis County","david-phillips-foundation-youth-development-and-recreation-programs","educacion"
"Dell Children's Health Plan","Servicios de salud mental y bienestar","Mental health and wellness services","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","dell-children-s-health-plan-mental-health-and-wellness-services","salud"
"Downtown Austin Community Court (DACC)","Tribunal Comunitario y Servicios para Personas sin Vivienda","Community Court & Homeless Services","Condado de Travis","Travis County","downtown-austin-community-court-dacc-downtown-austin-community-court-dacc","vivienda"
"Dress for Success Austin","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","dress-for-success-austin-community-support-for-individuals-and-families","otros-recursos"
"Dress for Success Austin","Apoyo laboral y ropa profesional","Employment and professional clothing support","Condado de Travis","Travis County","dress-for-success-austin-employment-and-professional-clothing-support","otros-recursos"
"Drive a Senior","Transporte gratuito para adultos mayores","Free Transportation for Older Adults","Condado de Travis","Travis County","transporte-gratuito-para-adultos-mayores-drive-a-senior","transporte"
"ECHO Coordinated Assessment","Evaluación coordinada de ECHO","ECHO Coordinated Assessment","Condado de Travis","Travis County","echo-coordinated-assessment-echo-coordinated-assessment","vivienda"
"El Buen Samaritano","Servicios de apoyo comunitario","Community support services","Condado de Travis","Travis County","el-buen-samaritano-community-support-services","otros-recursos"
"El Buen Samaritano","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis","Travis County","el-buen-samaritano-community-support-for-individuals-and-families","otros-recursos"
"El Buen Samaritano","Despensa de alimentos y distribución de pañales","Food Pantry and Diaper Distribution","Condado de Travis","Travis County","despensa-de-alimentos-y-distribucion-de-panales-el-buen-samaritano","comida"
"El Buen Samaritano","Clases de inglés y alfabetización digital","English and Digital Literacy Classes","Condado de Travis","Travis County","clases-de-ingles-y-alfabetizacion-digital-el-buen-samaritano","educacion"
"Eviction Solidarity Network (http://evictionisnotacure.com/)","Red de Solidaridad Contra el Desalojo","Eviction Solidarity Network (http://evictionisnotacure.com/)","Condado de Travis","Travis County","eviction-solidarity-network-http-evictionisnotacure-com-eviction-solidarity-network-http-evictionisnotacure-co","ayuda-legal"
"Explore Austin","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays","Travis County, Williamson County, Bastrop County, Hays County","explore-austin-youth-development-and-recreation-programs","educacion"
"Farmshare Austin","Mercados móviles de alimentos","Mobile food markets","Condado de Travis","Travis County","farmshare-austin-mobile-food-markets","comida"
"Foster Angels of Central Texas","Apoyo para jóvenes y familias de cuidado temporal","Support for foster youth and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","foster-angels-of-central-texas-support-for-foster-youth-and-families","otros-recursos"
"Foster Village","Apoyo para jóvenes y familias de cuidado temporal","Support for foster youth and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","foster-village-support-for-foster-youth-and-families","otros-recursos"
"Fostering Hope","Apoyo comunitario para personas y familias","Community support for individuals and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","fostering-hope-community-support-for-individuals-and-families","otros-recursos"
"Foundation Communities","Prosper Center Sur","Prosper Center South","Condado de Travis","Travis County","foundation-communities-prosper-center-south","recursos-financieros"
"Foundation Communities","Asesoría financiera y apoyo con beneficios","Financial Coaching and Benefits Support","Condado de Travis","Travis County","asesoria-financiera-y-apoyo-con-beneficios-foundation-communities","recursos-financieros"
"Foundation Communities","Programas de vivienda asequible","Affordable housing programs","Condado de Travis","Travis County","foundation-communities-affordable-housing-programs","vivienda"
"Foundation Communities","Foundation Communities","Foundation Communities","Condado de Travis","Travis County","foundation-communities-foundation-communities","vivienda"
"Foundation Communities","Prosper Center Norte","Prosper Center North","Condado de Travis","Travis County","foundation-communities-prosper-center-north","recursos-financieros"
"Foundation Communities","Vivienda asequible y apoyo para familias","Affordable Housing and Family Support","Condado de Travis","Travis County","vivienda-asequible-y-apoyo-para-familias-foundation-communities","vivienda"
"Foundation for the Homeless / Feed My People","Desayuno, duchas y ropa","Breakfast, showers and clothing","Condado de Travis","Travis County","foundation-for-the-homeless-feed-my-people-breakfast-showers-and-clothing","comida"
"Georgetown Housing Authority","Georgetown Housing Authority","Georgetown Housing Authority","Condado de Williamson","Williamson County","georgetown-housing-authority","vivienda"
"Girl Scouts of Central Texas","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","girl-scouts-of-central-texas-youth-development-and-recreation-programs","educacion"
"Girls Empowerment Network","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","Condado de Travis","Travis County","girls-empowerment-network-youth-development-and-recreation-programs","educacion"
"Giving Austin Labor Support (GALS)","Servicios de salud mental y bienestar","Mental health and wellness services","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","giving-austin-labor-support-gals-mental-health-and-wellness-services","salud"
"Gramercy Specialty Clinic","Servicios bilingües de salud mental","Bilingual mental health services","Condado de Travis","Travis County","gramercy-specialty-clinic-bilingual-mental-health-services","salud"
"Greater Mt. Zion Church","Asistencia para alquiler y servicios públicos","Rent and utility assistance","Condado de Travis","Travis County","greater-mt-zion-church-greater-mt-zion-church","vivienda"
"Greater Mt. Zion Church","Despensa de Alimentos","Food Pantry","Condado de Travis","Travis County","greater-mt-zion-church-greater-mt-zion-church-2","comida"
"Growing Heart","Growing Heart","Growing Heart","Condado de Williamson","Williamson County","growing-heart-liberty-hill","comida"
"Guadalupe Neighborhood Development Corporation","Guadalupe Neighborhood Development Corporation","Guadalupe Neighborhood Development Corporation","Condado de Travis","Travis County","guadalupe-neighborhood-development-corporation-guadalupe-neighborhood-development-corporation","vivienda"
"Half Helen Foundation","Exámenes comunitarios de la vista","Community eye exams","Condado de Travis","Travis County","half-helen-foundation-community-eye-exams","salud"
"Healing Wings LLC","Servicios de salud mental y bienestar","Mental health and wellness services","Condado de Travis, Condado de Williamson, Condado de Hays","Travis County, Williamson County, Hays County","healing-wings-llc-mental-health-and-wellness-services","salud"
"HealthWell Foundation","HealthWell Foundation","HealthWell Foundation","Condado de Travis","Travis County","healthwell-foundation-healthwell-foundation","salud"
"Helping Hand Home for Children","Apoyo para jóvenes y familias de cuidado temporal","Support for foster youth and families","Condado de Travis, Condado de Williamson, Condado de Bastrop, Condado de Hays, Condado de Caldwell, Condado de Blanco, Condado de Burnet","Travis County, Williamson County, Bastrop County, Hays County, Caldwell County, Blanco County, Burnet County","helping-hand-home-for-children-support-for-foster-youth-and-families","otros-recursos"
"Hill Country Community Ministries","Hill Country Community Ministries","Hill Country Community Ministries","Condado de Williamson","Williamson County","hill-country-community-ministries","comida"
"Hill Country Community Ministries","Alimentos y asistencia para necesidades básicas","Food and basic-needs assistance","Condado de Travis, Condado de Williamson","Travis County, Williamson County","hill-country-community-ministries-food-and-basic-needs-assistance","comida"
