"organization_name","title_es","title_en","summary_es","summary_en","description_es","description_en","slug","primary_category","additional_categories","keywords_es","keywords_en","languages","service_methods","cost_type","eligibility_es","eligibility_en","required_documents_es","required_documents_en","application_steps_es","application_steps_en","hours_es","hours_en","accessibility_notes_es","accessibility_notes_en","service_area_es","service_area_en","phone","sms_phone","whatsapp_phone","email","website_url","address_line_1","address_line_2","city","state","postal_code","county","latitude","longitude","source_url","is_featured","is_emergency","last_verified_at","verification_notes"
"City Reach Church","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","city-reach-church-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","primer martes: 9am-11am","1st Tuesday: 9am-11am","","","Condado de Williamson","Williamson County","","","","","","3502 Hatch Rd. Cedar Park, TX 78613","","","TX","78613","Williamson","30.461614674442","-97.820839182643","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 3502 HATCH RD, CEDAR PARK, TX, 78613."
"Live Oak Unitarian Universalist Church","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","live-oak-unitarian-universalist-church-cedar-park","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","tercer viernes: 9am-11am","3rd Friday: 9am-11am","","","Condado de Williamson","Williamson County","","","","","","3315 El Salido Parkway, Cedar Park, TX 78613","","Cedar Park","TX","78613","Williamson","30.461002146431","-97.828138301683","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 3315 EL SALIDO PKWY, CEDAR PARK, TX, 78613."
"Rockbridge Church","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","rockbridge-church-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","cuarto jueves: 5pm-7pm","4th Thursday: 5pm-7pm","","","Condado de Williamson","Williamson County","","","","","","2001 W New Hope Dr. Cedar Park, TX 78613","","","TX","78613","Williamson","30.524207396324","-97.864574872102","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 2001 W NEW HOPE DR, CEDAR PARK, TX, 78613."
"Hill Country Community Ministries","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","hill-country-community-ministries-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","Lunes a viernes: 9am-3pm
primer y cuarto sábado: 12pm-2pm","Mon-Fri: 9am-3pm
1st and 4th Saturday: 12pm-2pm","","","Condado de Williamson","Williamson County","","","","","","1005 Lacy Dr. Leander, TX 78641","","","TX","78641","Williamson","30.565518895963","-97.849243821789","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 1005 LACY DR, LEANDER, TX, 78641."
"Brighter Days Food Pantry at Leander Church of Christ (Drive thru)","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Serving the following zip codes: 78641, 78613, 78642, 78645, 78646 Personal care items and baby diapers for residents. Limited $100 towards a utility bill or $200 towards rent for those who qualify.","brighter-days-food-pantry-at-leander-church-of-christ-drive-thru-leander","comida","","despensa|alimentos","food|pantry","","in_person|phone","paid","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","miércoles: 5:30pm-7pm","Wednesdays: 5:30pm-7pm","","","Condado de Williamson","Williamson County","512-259-6928","","","brighterdaysfp@gmail.com","https://leanderchurch.org/help","300 Crystal Falls Parkway, Leander, TX 78641","","Leander","TX","78641","Williamson","30.556983014981","-97.846883168242","https://leanderchurch.org/help","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 300 CRYSTAL FALLS PKWY, LEANDER, TX, 78641."
"Round Mountain Baptist Church","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","round-mountain-baptist-church-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","tercer miércoles: 9am-11am","3rd Wednesday: 9am-11am","","","Condado de Williamson","Williamson County","","","","","","14500 Round Mountain Rd. Leander, TX 78641","","","TX","78641","Williamson","30.57445866972","-97.948993675821","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 14500 ROUND MOUNTAIN RD, LEANDER, TX, 78641."
"Hutto Resource Center","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","hutto-resource-center-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","primer y tercer sábado: 9am-12pm","1st and 3rd Saturday: 9am-12pm","","","Condado de Williamson","Williamson County","","","","","","204 East Live Oak St. Hutto, TX 78634","","","TX","78634","Williamson","30.546322121743","-97.544703927664","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 204 E LIVE OAK ST, HUTTO, TX, 78634."
"Agape Food Pantry of Taylor","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","agape-food-pantry-of-taylor-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","primer y tercer viernes: 5:30pm-7pm","1st and 3rd Friday: 5:30pm-7pm","","","Condado de Williamson","Williamson County","","","","","","1616 Old Grangver Rd. Taylor, TX 76574","","","TX","76574","Williamson","30.581648872379","-97.41008517475","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 1616 OLD GRANGER RD, TAYLOR, TX, 76574."
"Zion Chapel Missionary Baptist Church","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","zion-chapel-missionary-baptist-church-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","lunes: 10am-1pm","Monday: 10am-1pm","","","Condado de Williamson","Williamson County","","","","","","612 MLK Jr. Blvd. Taylor, TX 76574","","","TX","76574","Williamson","","","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Shepherd's Heart Food Pantry and Community Ministries","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","shepherd-s-heart-food-pantry-and-community-ministries-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","martes: 12:30pm-3pm
jueves: 12:30pm-3pm
sábado: 8:30am-10:30am","Tuesday: 12:30pm-3pm
Thursday: 12:30pm-3pm
Saturday: 8:30am-10:30am","","","Condado de Williamson","Williamson County","512-352-5553","","","","https://www.shepherdshearttaylor.org/","121 E. 2nd St. Taylor, TX 76574","","","TX","76574","Williamson","30.568769811003","-97.409213400634","https://www.shepherdshearttaylor.org/","","","2026-09-02","Piloto de Bluebonnet Project HOPE. Fuente oficial consultada el 2026-09-02. Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 121 E 2ND ST, TAYLOR, TX, 76574."
"Jarrell ISD Cafeteria","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","jarrell-isd-cafeteria-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","primer sábado: 9am-11am","1st Saturday: 9am-11am","","","Condado de Williamson","Williamson County","","","","","","508 N 5th St. Jarrell, TX 76537","","","TX","76537","Williamson","30.828972566049","-97.607077012524","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 508 N 5TH ST, JARRELL, TX, 76537."
"Knights of Columbus Hall","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","knights-of-columbus-hall-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","segundo martes: 2pm-4pm","2nd Tuesday: 2pm-4pm","","","Condado de Williamson","Williamson County","","","","","","500 W Davilla St. Granger, TX 76530","","","TX","76530","Williamson","30.71912755618","-97.44876279982","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 500 W DAVILLA ST, GRANGER, TX, 76530."
"Florence High School","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","florence-high-school-williamson","comida","","despensa|alimentos","food|pantry","","in_person","unknown","","","","","Confirme el horario, la disponibilidad y los requisitos antes de acudir.","Confirm hours, availability, and requirements before visiting.","cuarto sábado: 12pm-2pm","4th Saturday: 12pm-2pm","","","Condado de Williamson","Williamson County","","","","","","401 FM 970 Florence, TX 76527","","","TX","76527","Williamson","30.832331540922","-97.798513269618","https://www.centraltexasfoodbank.org/find-food-now","","","","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar. Geocodificación Census Bureau: Non_Exact; dirección normalizada: 401 FM 970, FLORENCE, TX, 76527."
"Furr Baby Food Pantry (FOOD FOR PETS)","Despensa de alimentos","Food pantry","Ofrece alimentos o comestibles para personas y familias.","Provides food or groceries for individuals and families.","Ofrece alimentos o comestibles para personas y familias.","Apply and request items on their website. Must pick up items requested within 72hrs of request","furr-baby-food-pantry-food-for-pets-williamson","comida","","despensa|alimentos","food|pantry","","in_person|phone|online","unknown","","","","","Consulte el sitio oficial y siga el proceso de solicitud indicado.","Visit the official website and follow its application process.","domingo-viernes: 11am-2pm","Sunday-Friday: 11am-2pm","","","Condado de Williamson; Condado de Travis","Williamson County; Travis County","626-536-0979","","","furrbabyfoodpantry@gmail.com","https://www.furrbabyfoodpantry.org/","1603 Northwest Blvd. Georgetown, TX 78628","","","TX","78628","","","","https://www.furrbabyfoodpantry.org/","","","2026-07-09","Piloto de Bluebonnet Project HOPE. Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
