"severity","confidence","code","status","id","slug","organization_name","title_es","title_en","primary_category","detail","recommendation"
"classification","low","possible_category_mismatch","draft","9409990b-0eb4-4a63-9cba-995ca29708de","departamento-de-salud-publica-del-condado-de-bastrop-bastrop-county-government","Bastrop County Government","Departamento de Salud Pública del Condado de Bastrop","Bastrop County Public Health Department","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","a9218b46-6595-453b-b319-a2cb3624d4af","autoridad-de-vivienda-de-bastrop-bastrop-housing-authority","Bastrop Housing Authority","Vivienda pública y vales de Sección 8","Public housing and Section 8 vouchers","vivienda","Text signals ayuda-legal but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","98d4da6f-df63-4e3f-b11e-5647f372c084","black-mamas-atx-community-support-for-individuals-and-families","Black Mamas ATX","Doulas y apoyo de salud materna para madres negras","Doula and maternal health support for Black mothers","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","b11604b0-5d1a-4d0e-9c59-58397e6b02d6","casa-marianella-casa-marianella","Casa Marianella","Immigrant & Asylum Seeker Shelter & Support","Refugio y Apoyo para Inmigrantes y Solicitantes de Asilo","vivienda","Text signals ayuda-legal but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","1ae95abd-bb23-4d4b-a3e2-531cf3b9c56b","catholic-charities-central-texas-st-gabriel-s-pregnancy-and-parenting-program-community-su","Catholic Charities Central Texas St. Gabriel’s Pregnancy and Parenting Program","Apoyo durante el embarazo y la crianza","Pregnancy and parenting support","vivienda","Text signals educacion but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","b4ec4cc4-7148-4215-9e96-bf243cb77dd1","caridades-catolicas-de-central-texas-servicios-para-veteranos-st-michael-s-catholic-charities-of-central-texas","Catholic Charities of Central Texas","Servicios para Veteranos St. Michael's","St. Michael's Veteran Services","recursos-financieros","Text signals educacion but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","20e66dca-2481-48d1-a472-2f0cd5092e22","christi-center-mental-health-and-wellness-services","Christi Center","Servicios de salud mental y bienestar","Mental health and wellness services","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","f17774b3-626f-4eab-9077-95d46cea0711","city-of-austin-vital-statistics-city-of-austin-vital-statistics","City of Austin Vital Statistics","Copias certificadas de actas de nacimiento y defunción","Certified birth and death certificates","otros-recursos","Text signals ayuda-legal but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","f41c8153-55dd-40d3-859e-512f01bf8efd","colin-s-hope-community-support-for-individuals-and-families","Colin's Hope","Apoyo comunitario para personas y familias","Community support for individuals and families","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","ff8d025b-295a-4b1f-9a09-26ca5ea8f787","asistencia-con-servicios-publicos-community-action-inc-hays-caldwell-blanco-community-action-inc-of-central-texas","Community Action Inc. of Central Texas","Asistencia con Servicios Públicos — Community Action Inc. (Hays/Caldwell/Blanco)","Utility Assistance — Community Action Inc. (Hays/Caldwell/Blanco)","recursos-financieros","Text signals educacion but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","8181be7b-00f9-498e-8ca2-9041bd8847b5","comprehensive-energy-assistance-program-housing-and-financial-assistance-caldwell","Community Action, Inc. of Central Texas","Asistencia energética CEAP","CEAP energy assistance","recursos-financieros","Text signals educacion but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","d9ac6095-de0d-473e-9ba2-6b04353d712e","community-council-of-south-central-texas-head-start-program-community-support-seguin","Community Council of South Central Texas - Head Start Program","Head Start y educación infantil temprana","Head Start and early childhood education","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","7f85aa91-8857-4480-a180-82c837537281","williamson-county-community-resource-center-liberty-hill","Community Resource Centers of Texas","Williamson County Community Resource Center – Liberty Hill","Williamson County Community Resource Center – Liberty Hill","vivienda","Text signals transporte but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","684e5303-f318-4851-ac58-b2c899680469","con-mi-madre-community-support-for-individuals-and-families","Con Mi Madre","Preparación universitaria para jóvenes latinas","College readiness for Latina students","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","906ee53a-a139-4b2b-9a78-7b01e8624f85","connect-atx-community-resource-navigation","Connect ATX","Navegación de recursos comunitarios","Community resource navigation","otros-recursos","Text signals transporte but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","9a3dbad5-475f-4fc9-bf04-66897b2da65c","cross-creek-behavioral-health-hospital-mental-health-and-wellness-services","Cross Creek Behavioral Health Hospital","Servicios de salud mental y bienestar","Mental health and wellness services","salud","Text signals transporte but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","1f6272c7-a375-4adf-987e-b9f237db57bb","del-valle-isd-apoyo-estudiantil-y-familiar-del-valle-independent-school-district","Del Valle Independent School District","Del Valle ISD — Apoyo Estudiantil y Familiar","Del Valle ISD — Student and Family Support","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","148cb73a-4dc6-4b43-8515-1a59f006e203","downtown-austin-community-court-dacc-downtown-austin-community-court-dacc","Downtown Austin Community Court (DACC)","Tribunal Comunitario y Servicios para Personas sin Vivienda","Community Court & Homeless Services","vivienda","Text signals ayuda-legal but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","1617f63a-5e6d-4d72-ae3c-24cef6ca65f4","drive-a-senior-network-drive-a-senior-network","Drive a Senior Network","Transporte voluntario para adultos mayores","Volunteer transportation for older adults","otros-recursos","Text signals transporte but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","8c649e92-d0c9-48b6-bbbd-020dfc153811","centro-de-crisis-familiar-refugio-del-condado-de-bastrop-family-crisis-center-inc","Family Crisis Center, Inc.","Refugio y apoyo para sobrevivientes de violencia","Shelter and support for survivors of violence","otros-recursos","Text signals ayuda-legal but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","9c7159f5-e24a-4847-9947-88357e965652","buscador-de-ayuda-comunitaria-findhelp-and-texas-2-1-1","findhelp and Texas 2-1-1","Buscador de ayuda comunitaria","Community assistance search","otros-recursos","Text signals transporte but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","ad6f0ff8-ebd7-4a63-be71-910d8a51f48a","college-hub-at-foundation-communities-education-and-learning-support-programs","Foundation Communities","Vivienda asequible y servicios de apoyo comunitario","Affordable Housing & Community Support Services","vivienda","Text signals educacion but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","82498cc8-75da-410b-8e26-8c572a635a0c","giving-austin-labor-support-gals-mental-health-and-wellness-services","Giving Austin Labor Support (GALS)","Doulas y educación perinatal sin costo","No-cost doula care and perinatal education","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","fb064d44-73e3-40c1-87d3-12ae0b1238d7","goodwill-industries-of-ct-round-rock-job-center-education-and-employment-williamson","GoodWill Industries of CT : Round Rock Job Center","Empleo y capacitación laboral","Employment and job training","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","fbb60027-51bd-418d-ace5-5484e3fb16e7","hope-alliance-survivor-services","Hope Alliance","Apoyo para sobrevivientes de violencia y abuso sexual","Support for survivors of violence and sexual assault","otros-recursos","Text signals ayuda-legal but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","24a73cb9-c809-4de7-9d4a-91311a668122","impact-counseling-services-inc-mental-health-and-wellness-services","Impact Counseling Services, Inc","Consejería para menores, adultos y familias","Counseling for youth, adults, and families","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","6736b501-749e-4473-b1d5-45c82c1fa03f","lifeworks-mental-health-and-wellness-services","Lifeworks","Servicios de salud mental y bienestar","Mental health and wellness services","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","53a4fba4-9c67-4ed4-b2c3-c3e9b889e8b9","lone-star-circle-of-care-the-big-pink-bus-mobile-mammography","Lone Star Circle of Care","Mamografías móviles de The Big Pink Bus","The Big Pink Bus mobile mammography","salud","Text signals transporte but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","b46cbe83-44a7-437d-b790-531ae562eab1","national-domestic-violence-hotline-legal-and-safety-support-williamson","National Domestic Violence Hotline","Línea de ayuda para violencia doméstica","Domestic violence hotline","ayuda-legal","Text signals educacion but primary category is ayuda-legal.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","fce78f82-15f4-431b-8524-c739e9d59503","navarro-high-school-family-resource-center-family-resource-center-support","Navarro High School Family Resource Center","Centro de Recursos Familiares","Family Resource Center","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","bb79ba13-9206-42de-8815-bdabc9089bb3","neighbor-to-neighbor-neighbor-to-neighbor","Neighbor to Neighbor","Alimentos, pañales y asistencia con servicios públicos","Food, diapers, and utility assistance","recursos-financieros","Text signals transporte but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","87a796dc-71a2-4d5a-b14c-292e6d11ac96","northeast-health-resource-center-free-diapers-and-menstrual-products","Northeast Health Resource Center","Pañales y productos menstruales gratuitos","Free diapers and menstrual products","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","5f5f2227-d772-4fbb-82fd-e81b283f3750","operation-liberty-hill","Operation Liberty Hill","Alimentos, ropa y asistencia financiera","Food, clothing, and financial assistance","recursos-financieros","Text signals comida but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","baf26283-8c39-4a4b-99dc-41126636b87d","opportunities-williamson-burnet-counties","Opportunities for Williamson & Burnet Counties","Servicios comunitarios y manejo de casos","Community services and case management","recursos-financieros","Text signals educacion but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","bd430b02-3cb1-4861-9966-59e1b20535ce","manor-mustang-health-center-people-s-community-clinic-integral-care-people-s-community-clinic-integral-care","People's Community Clinic / Integral Care","Atención Médica y Salud Mental para Estudiantes de Manor ISD","Medical & Mental Health Care for Manor ISD Students","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","ad27eff6-8e16-4be4-be97-0e88058b8bd2","distrito-escolar-de-pflugerville-trabajo-social-y-asistencia-alimentaria-pflugerville-independent-school-district","Pflugerville Independent School District (PfISD) – Social Work","Conexión con Recursos Comunitarios para Familias","Family Connection to Community Resources","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","7b215691-6eb6-4155-8e57-c96b1a28348e","veteranos-rojo-blanco-y-azul-del-condado-de-bastrop-red-white-blue-veterans-of-bastrop-county","Red, White & Blue Veterans of Bastrop County","Apoyo a organizaciones que sirven a veteranos","Support for Veteran-serving organizations","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","97c3289a-20eb-4581-a420-48e93c3c5dc0","senior-sitters-llc-health-and-personal-support-austin","Senior Sitters, LLC","Cuidado de memoria","Memory care","salud","Text signals transporte but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","3019aef0-f55f-4501-bab8-f04de67819e4","service-league-of-greater-lakeway-service-league-of-greater-lakeway","Service League of Greater Lakeway","Equipo Médico Gratuito y Ayudas de Movilidad","Free Medical Equipment & Mobility Aids","salud","Text signals transporte but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","aba8c2dc-e950-4c8f-88cb-fac97c7d2768","society-of-st-vincent-de-paul-society-of-st-vincent-de-paul","Society of St. Vincent de Paul","Asistencia con renta y servicios públicos en varias ubicaciones","Multi-location rent and utility assistance","vivienda","Text signals transporte but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","bd0bfec9-67eb-41bf-a349-f59e6e9e21f8","st-elizabeth-of-hungary-sociedad-de-san-vicente-de-paul-st-elizabeth-of-hungary-catholic-church","St. Elizabeth of Hungary Catholic Church – St. Vincent de Paul","Ayuda Financiera y Alimentaria para Familias en Pflugerville","Financial & Food Assistance for Families in Pflugerville","recursos-financieros","Text signals comida but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","67120353-9e41-4d94-987d-5b4731a05eea","st-joseph-catholic-church-manor-sociedad-de-san-vicente-de-paul-st-joseph-catholic-church","St. Joseph Catholic Church – Society of St. Vincent de Paul","Ayuda para Renta, Servicios Públicos, Alimentos y Artículos Básicos","Rent, Utility, Food & Basic Needs Assistance","recursos-financieros","Text signals comida but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","21f73241-fcef-4258-ae30-48bece224ed4","sociedad-de-san-vicente-de-paul-iglesia-st-paul-smithville-st-paul-catholic-church-sociedad-de-san-vicente-de-paul","St. Paul Catholic Church / Sociedad de San Vicente de Paúl","Sociedad de San Vicente de Paúl — Iglesia St. Paul (Smithville)","Society of St. Vincent de Paul — St. Paul Catholic Church (Smithville)","recursos-financieros","Text signals transporte but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","30fa47b2-4985-432a-b020-53f19e042059","sunrise-homeless-navigation-center-homeless-navigation-and-basic-needs-support","Sunrise Homeless Navigation Center","Orientación para personas sin hogar y apoyo para necesidades básicas","Homeless navigation and basic-needs support","vivienda","Text signals transporte but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","36baf425-4bb9-47ad-bc13-101fdfd4fb78","georgetown-project-nest-empowerment-center","The Georgetown Project","NEST Empowerment Center","NEST Empowerment Center","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","85303f47-6ce4-425d-bbd7-103377ee3183","the-georgetown-project-community-support-for-individuals-and-families","The Georgetown Project","Apoyo educativo y necesidades básicas para jóvenes","Education and basic-needs support for youth","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","5f2c362a-438a-4f1a-9a7e-f5d76a092c3b","the-goodwill-career-and-technical-academy-the-goodwill-career-and-technical-academy","The Goodwill Career and Technical Academy","Educación técnica y capacitación profesional","Technical education and career training","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","7ad531f3-582b-45d5-b9c7-c4edf164e26b","safe-alliance-safe-alliance","The SAFE Alliance (SAFE)","Apoyo Familiar y Violencia","Domestic Violence & Sexual Assault","vivienda","Text signals ayuda-legal but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","956ba064-4bd6-4892-94f4-52fd0a329055","salvation-army-unidad-de-servicio-del-condado-de-bastrop-the-salvation-army-texas-division","The Salvation Army – Texas Division","Salvation Army — Unidad de Servicio del Condado de Bastrop","The Salvation Army — Bastrop County TX Service Unit","recursos-financieros","Text signals transporte but primary category is recursos-financieros.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","fe44121c-f3fc-45e0-bedb-ddceff9cd388","todos-juntos-learning-center-community-support-for-individuals-and-families","Todos Juntos Learning Center","Educación bilingüe para familias inmigrantes","Bilingual education for immigrant families","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","draft","302de942-8d80-4199-bc05-f3a7197abebe","exencion-de-impuestos-homestead-65-distrito-de-tasacion-travis-central-appraisal-district-y-distritos-equivalentes-en-cada-condado","Travis Central Appraisal District (y distritos equivalentes en cada condado)","Exención de Impuestos Homestead 65+ (Distrito de Tasación)","Over-65 Homestead Tax Exemption (Appraisal District)","vivienda","Text signals educacion but primary category is vivienda.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","717c0149-204c-4a6e-8300-b1a1213eabe0","servicios-para-veteranos-del-condado-de-travis-travis-county","Travis County","Orientación y reclamos de beneficios para veteranos","Veterans benefits counseling and claims assistance","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","79c126f2-d23e-41f0-8191-fe66e7cb3919","centro-comunitario-del-condado-de-travis-pflugerville-travis-county-health-and-human-services","Travis County Health and Human Services","Centro Comunitario del Condado de Travis — Pflugerville","Travis County Community Center — Pflugerville","otros-recursos","Text signals comida but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","12a4ba93-0bd7-4476-9e57-f59b35c75af9","centro-comunitario-del-condado-de-travis-del-valle-travis-county-health-and-human-services","Travis County Health and Human Services","Centro Comunitario del Condado de Travis — Del Valle","Travis County Community Center — Del Valle","otros-recursos","Text signals comida but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","e0d9758c-a1a5-40d4-8cef-a4fe70121dec","trinity-center-trinity-center","Trinity Center","Centro de día para personas sin vivienda","Day center for people experiencing homelessness","otros-recursos","Text signals transporte but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","0c902098-64b3-4727-80f1-f1c92c9f7f75","us-citizenship-and-immigration-services-uscis","U.S. Department of Homeland Security – U.S. Citizenship and Immigration Services","Servicios de Ciudadanía e Inmigración de Estados Unidos (USCIS)","U.S. Citizenship and Immigration Services (USCIS)	","otros-recursos","Text signals ayuda-legal but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","2f2fc895-6e71-4be5-9e6f-90aecf8673fd","us-bankruptcy-clerk","United States Bankruptcy Court – Western District of Texas","Tribunal de Bancarrota de los Estados Unidos – División de Austin","U.S. Bankruptcy Court – Western District of Texas, Austin Division","otros-recursos","Text signals ayuda-legal but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","35bf79ce-5e71-4b10-97d1-a8937cef2d43","united-way-for-greater-austin-connectatx-resource-navigation","United Way for Greater Austin","Navegación de recursos ConnectATX","ConnectATX resource navigation","otros-recursos","Text signals transporte but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","e20bd28c-bbc1-4ff3-89f4-f6493b731344","upbring-support-for-foster-youth-and-families","Upbring","Cuidado temporal, adopción y apoyo de transición","Foster care, adoption, and transition support","otros-recursos","Text signals educacion but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","4b2cd9bb-a1fc-409b-bdbe-39f3059edd9d","ventanilla-de-salud-health-information-and-preventive-services","Ventanilla de Salud – Consulado General de México en Austin","Información de salud y servicios preventivos","Health Information & Preventive Services","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","c81ada7a-35f9-4f2c-8282-303c82c3b30c","williamson-county-family-recovery-court","Williamson County","Tribunal de Recuperación Familiar","Family Recovery Court","salud","Text signals ayuda-legal but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","2f3dd17c-8a9b-47c0-95fd-499b693273c3","wcchd-wic-williamson","Williamson County and Cities Health District","Nutrición y beneficios WIC","WIC nutrition and food benefits","comida","Text signals educacion but primary category is comida.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","d36aa5a9-9c03-4a98-ad40-e34106f4c6db","williamson-county-childrens-advocacy-center","Williamson County Children’s Advocacy Center (WCCAC)","Apoyo para niñas y niños víctimas de abuso","Support for child abuse victims","salud","Text signals ayuda-legal but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","ed885976-274d-41e6-af23-20e22b07713f","williamson-county-community-resource-navigation","Williamson County Community Resource Center","Orientación para encontrar ayuda","Community resource navigation","otros-recursos","Text signals transporte but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","ccd3b173-fc5f-4318-acdb-f3c36eb7a010","williamson-county-outpatient-services","Williamson County Community Supervision & Corrections Department","Servicios Ambulatorios de Williamson County","Williamson County Outpatient Services","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","b9773d13-7e7e-4f12-88fd-d3835500811d","central-texas-treatment-center","Williamson County Community Supervision & Corrections Department","Central Texas Treatment Center","Central Texas Treatment Center","salud","Text signals educacion but primary category is salud.","Review immutable source evidence before changing category; incidental mentions are common."
"classification","low","possible_category_mismatch","published","d8dbc7e1-d086-4b8c-aa34-a5ffc957b8da","williamson-county-clerk-records","Williamson County Government","Secretario del Condado de Williamson","Williamson County Clerk","otros-recursos","Text signals ayuda-legal but primary category is otros-recursos.","Review immutable source evidence before changing category; incidental mentions are common."
