"organization_name","title_es","title_en","summary_es","summary_en","description_es","description_en","slug","primary_category","additional_categories","keywords_es","keywords_en","languages","service_methods","cost_type","eligibility_es","eligibility_en","required_documents_es","required_documents_en","application_steps_es","application_steps_en","hours_es","hours_en","accessibility_notes_es","accessibility_notes_en","service_area_es","service_area_en","phone","sms_phone","whatsapp_phone","email","website_url","address_line_1","address_line_2","city","state","postal_code","county","latitude","longitude","source_url","is_featured","is_emergency","last_verified_at","verification_notes"
"Foundation Communities - Lakeline Station","Foundation Communities - Lakeline Station","Foundation Communities - Lakeline Station","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson y Condado de Travis.","Food pantry and community support for residents of Williamson County and Travis County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","foundation-communities-lakeline-station-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","2nd and 4th luness: 11am-1pm","2nd and 4th Mondays: 11am-1pm","","","Condado de Williamson; Condado de Travis","Williamson County; Travis County","(512) 615-4755","","","","","13635 Rutledge Spur, Austin, TX","","","TX","13635","","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Reveal Resource Center","Reveal Resource Center","Reveal Resource Center","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Clothing assisatnce available monthly, adult and baby diapers (when available) for enrolled clients.
No financial assistance offered","reveal-resource-center-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","luness: 7pm-8pm
martess: 9am-12pm","Mondays: 7pm-8pm
Tuesdays: 9am-12pm","","","Condado de Williamson","Williamson County","","","","","https://revealresourcecenter.com/","1150 S. Bell Blvd. Cedar Park, TX 78613","","","TX","78613","Williamson","","","https://revealresourcecenter.com/","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"City Reach Church","City Reach Church","City Reach Church","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","city-reach-church-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","1st martes: 9am-11am","1st Tuesday: 9am-11am","","","Condado de Williamson","Williamson County","","","","","","3502 Hatch Rd. Cedar Park, TX 78613","","","TX","78613","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Live Oak Unitarian Universalist Church","Live Oak Unitarian Universalist Church","Live Oak Unitarian Universalist Church","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","live-oak-unitarian-universalist-church-cedar-park","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","3rd viernes: 9am-11am","3rd Friday: 9am-11am","","","Condado de Williamson","Williamson County","","","","","","3315 El Salido Parkway, Cedar Park, TX 78613","","Cedar Park","TX","78613","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Rockbridge Church","Rockbridge Church","Rockbridge Church","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","rockbridge-church-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","4th jueves: 5pm-7pm","4th Thursday: 5pm-7pm","","","Condado de Williamson","Williamson County","","","","","","2001 W New Hope Dr. Cedar Park, TX 78613","","","TX","78613","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Hill Country Community Ministries","Hill Country Community Ministries","Hill Country Community Ministries","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","hill-country-community-ministries-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","Mon-Fri: 9am-3pm
1st and 4th sábado: 12pm-2pm","Mon-Fri: 9am-3pm
1st and 4th Saturday: 12pm-2pm","","","Condado de Williamson","Williamson County","","","","","","1005 Lacy Dr. Leander, TX 78641","","","TX","78641","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Brighter Days Food Pantry at Leander Church of Christ (Drive thru)","Brighter Days Food Pantry at Leander Church of Christ (Drive thru)","Brighter Days Food Pantry at Leander Church of Christ (Drive thru)","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Serving the following zip codes: 78641, 78613, 78642, 78645, 78646
Personal care items and baby diapers for residents. Limited $100 towards a utility bill or $200 towards rent for those who qualify.","brighter-days-food-pantry-at-leander-church-of-christ-drive-thru-leander","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","miércoless: 5:30pm-7pm","Wednesdays: 5:30pm-7pm","","","Condado de Williamson","Williamson County","(512) 259-6928","","","brighterdaysfp@gmail.com","https://leanderchurch.org/help","300 Crystal Falls Parkway, Leander, TX 78641","","Leander","TX","78641","Williamson","","","https://leanderchurch.org/help","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Round Mountain Baptist Church","Round Mountain Baptist Church","Round Mountain Baptist Church","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","round-mountain-baptist-church-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","3rd miércoles: 9am-11am","3rd Wednesday: 9am-11am","","","Condado de Williamson","Williamson County","","","","","","14500 Round Mountain Rd. Leander, TX 78641","","","TX","14500","Williamson","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Hutto Resource Center","Hutto Resource Center","Hutto Resource Center","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","hutto-resource-center-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","1st and 3rd sábado: 9am-12pm","1st and 3rd Saturday: 9am-12pm","","","Condado de Williamson","Williamson County","","","","","","204 East Live Oak St. Hutto, TX 78634","","","TX","78634","Williamson","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Agape Food Pantry of Taylor","Agape Food Pantry of Taylor","Agape Food Pantry of Taylor","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","agape-food-pantry-of-taylor-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","1st and 3rd viernes: 5:30pm-7pm","1st and 3rd Friday: 5:30pm-7pm","","","Condado de Williamson","Williamson County","","","","","","1616 Old Grangver Rd. Taylor, TX 76574","","","TX","76574","Williamson","","","https://www.centraltexasfoodbank.org/find-food-now","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Zion Chapel Missionary Baptist Church","Zion Chapel Missionary Baptist Church","Zion Chapel Missionary Baptist Church","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","zion-chapel-missionary-baptist-church-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","lunes: 10am-1pm","Monday: 10am-1pm","","","Condado de Williamson","Williamson County","","","","","","612 MLK Jr. Blvd. Taylor, TX 76574","","","TX","76574","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Shepherd's Heart Food Pantry and Community Ministries","Shepherd's Heart Food Pantry and Community Ministries","Shepherd's Heart Food Pantry and Community Ministries","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","shepherd-s-heart-food-pantry-and-community-ministries-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","martes: 12:30pm-3pm
jueves: 12:30pm-3pm
sábado: 8:30am-10:30am","Tuesday: 12:30pm-3pm
Thursday: 12:30pm-3pm
Saturday: 8:30am-10:30am","","","Condado de Williamson","Williamson County","(512) 352-5553","","","","https://www.shepherdshearttaylor.org/","121 E. 2nd St. Taylor, TX 76574","","","TX","76574","Williamson","","","https://www.shepherdshearttaylor.org/","","","2026-09-02","Existencia o ubicación cotejada el 2026-09-02 con el directorio oficial Find Food Now del Central Texas Food Bank; revise horarios directamente antes de publicar."
"Jarrell ISD Cafeteria","Jarrell ISD Cafeteria","Jarrell ISD Cafeteria","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","jarrell-isd-cafeteria-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","1st sábado: 9am-11am","1st Saturday: 9am-11am","","","Condado de Williamson","Williamson County","","","","","","508 N 5th St. Jarrell, TX 76537","","","TX","76537","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Knights of Columbus Hall","Knights of Columbus Hall","Knights of Columbus Hall","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","knights-of-columbus-hall-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","2nd martes: 2pm-4pm","2nd Tuesday: 2pm-4pm","","","Condado de Williamson","Williamson County","","","","","","500 W Davilla St. Granger, TX 76530","","","TX","76530","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Florence High School","Florence High School","Florence High School","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides access to food. Contact the organization directly to confirm availability, requirements, and additional support.","florence-high-school-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","4th sábado: 12pm-2pm","4th Saturday: 12pm-2pm","","","Condado de Williamson","Williamson County","","","","","","401 FM 970 Florence, TX 76527","","","TX","76527","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Furr Baby Food Pantry (FOOD FOR PETS)","Furr Baby Food Pantry (FOOD FOR PETS)","Furr Baby Food Pantry (FOOD FOR PETS)","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson y Condado de Travis.","Food pantry and community support for residents of Williamson County and Travis County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Apply and request items on their website. Must pick up items requested within 72hrs of request","furr-baby-food-pantry-food-for-pets-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","in_person","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","domingo-viernes: 11am-2pm","Sunday-Friday: 11am-2pm","","","Condado de Williamson; Condado de Travis","Williamson County; Travis County","(626) 536-0979","","","furrbabyfoodpantry@gmail.com","https://www.furrbabyfoodpantry.org/","1603 Northwest Blvd. Georgetown, TX 78628","","","TX","78628","","","","https://www.furrbabyfoodpantry.org/","","","2026-07-09","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
"Helping Hands of Georgetown","Helping Hands of Georgetown","Helping Hands of Georgetown","Despensa de alimentos y apoyo comunitario para residentes de Condado de Williamson.","Food pantry and community support for residents of Williamson County.","Ofrece acceso a alimentos. Comuníquese directamente con la organización para confirmar disponibilidad, requisitos y otros apoyos.","Provides sandwiches/lunches, clothing, various items on request (backpack, luggage, sleeping bags, condiments for sandwiches)","helping-hands-of-georgetown-williamson","comida","","alimentos, despensa, comida, apoyo comunitario","food, food pantry, groceries, community support","","phone","unknown","","","","","Comuníquese con la organización para confirmar disponibilidad y requisitos antes de acudir.","Contact the organization to confirm availability and requirements before visiting.","lunes-jueves: 3:15pm","Monday-Thursday: 3:15pm","","","Condado de Williamson","Williamson County","(512) 688-3595","","","","","","","","","","Williamson","","","","","","","Registro preparado a partir de “Food Pantries by County.xlsx”; requiere revisión administrativa antes de publicar."
