"Organización","Título en español","Título en inglés","Estado","Categorías","Fecha de verificación","Modificado"
"Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas (VLSoCT)","Volunteer Legal Services of Central Texas (VLSoCT)","draft","Ayuda legal","2026-08-18","2026-08-18T17:42:12.022673+00:00"
"Texas Legal Services Center","Línea Legal Directa para Texanos (Texas Legal Services Center)","Legal Hotline for Texans (Texas Legal Services Center)","draft","Ayuda legal","2026-08-18","2026-08-18T17:42:11.847091+00:00"
"Drive a Senior Central Texas","Drive a Senior (Central Texas)","Drive a Senior (Central Texas)","draft","Transporte","2026-08-18","2026-08-18T17:42:11.687313+00:00"
"CARTS","CARTS (Capital Area Rural Transportation System)","CARTS (Capital Area Rural Transportation System)","draft","Transporte","2026-08-18","2026-08-18T17:42:11.527638+00:00"
"Capital Metropolitan Transportation Authority (CapMetro)","CapMetro Access","CapMetro Access","draft","Transporte","2026-08-18","2026-08-18T17:42:11.364718+00:00"
"Texas Health and Human Services Commission","2-1-1 Texas (HHSC)","2-1-1 Texas (HHSC)","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:11.207263+00:00"
"Area Agency on Aging of the Capital Area (CAPCOG) / Texas HHSC","Programa de Consejería de Beneficios / HICAP de Texas — vía AAACAP","Texas Benefits Counseling / HICAP — via AAACAP","draft","Salud","2026-08-18","2026-08-18T17:42:10.965005+00:00"
"Central Texas Food Bank","Central Texas Food Bank — Programas para Adultos Mayores (CSFP y HOPE)","Central Texas Food Bank — Senior Programs (CSFP and HOPE)","draft","Comida","2026-08-18","2026-08-18T17:42:10.550628+00:00"
"Combined Community Action, Inc.","Meals on Wheels Rural Capital Area","Meals on Wheels Rural Capital Area","draft","Comida","2026-08-18","2026-08-18T17:42:10.394279+00:00"
"Opportunities for Williamson & Burnet Counties","Opportunities for Williamson & Burnet Counties (OWBC) — Meals on Wheels","Opportunities for Williamson & Burnet Counties (OWBC) — Meals on Wheels","draft","Comida","2026-08-18","2026-08-18T17:42:10.228255+00:00"
"Meals on Wheels Central Texas","Meals on Wheels Central Texas (MOWCT)","Meals on Wheels Central Texas (MOWCT)","draft","Comida","2026-08-18","2026-08-18T17:42:10.058868+00:00"
"Family Eldercare","Family Eldercare","Family Eldercare","draft","Otros recursos","2026-08-18","2026-08-18T17:42:09.881205+00:00"
"Alzheimer's Texas","Alzheimer's Texas — Apoyo a Cuidadores","Alzheimer's Texas — Caregiver Support","draft","Otros recursos","2026-08-18","2026-08-18T17:42:09.708303+00:00"
"AGE of Central Texas","AGE of Central Texas — Servicios para Cuidadores","AGE of Central Texas — Caregiver Services","draft","Otros recursos","2026-08-18","2026-08-18T17:42:09.537058+00:00"
"Capital Area Council of Governments (CAPCOG)","Agencia de Área sobre el Envejecimiento del Área Capital (AAACAP) / ADRC — CAPCOG","Area Agency on Aging of the Capital Area (AAACAP) / ADRC — CAPCOG","draft","Otros recursos","2026-08-18","2026-08-18T17:42:09.37082+00:00"
"University of Texas Rio Grande Valley (UTRGV) / U.S. Small Business Administration","Centro de Asistencia para Negocios de Veteranos (VBOC) – UTRGV","Veterans Business Outreach Center (VBOC) – UTRGV","draft","Educación","2026-08-18","2026-08-18T17:42:09.195149+00:00"
"Caldwell County","Servicios para Veteranos del Condado de Caldwell","Caldwell County Veterans Services","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:09.018187+00:00"
"Texas Veterans Commission","Comisión de Veteranos de Texas — Representantes de Reclamos de VA","Texas Veterans Commission — VA Claims Representatives","draft","Otros recursos","2026-08-18","2026-08-18T17:42:08.855405+00:00"
"Meals for Vets","Meals for Vets (Comidas para Veteranos)","Meals for Vets","draft","Comida","2026-08-18","2026-08-18T17:42:08.671032+00:00"
"OP Veteran","OP Veteran","OP Veteran","draft","Otros recursos","2026-08-18","2026-08-18T17:42:08.495985+00:00"
"Heroes Night Out","Heroes Night Out / Centro de Recursos Heroes","Heroes Night Out / Heroes Resource Center","draft","Otros recursos","2026-08-18","2026-08-18T17:42:08.332932+00:00"
"Bastrop County","Oficina de Servicios para Veteranos del Condado de Bastrop","Bastrop County Veterans Service Office","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:08.160213+00:00"
"Catholic Charities of Central Texas","Caridades Católicas de Central Texas – Servicios para Veteranos St. Michael's","Catholic Charities of Central Texas – St. Michael's Veteran Services","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:07.902186+00:00"
"Hays County","Servicios para Veteranos del Condado de Hays","Hays County Veterans Services","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:07.739042+00:00"
"U.S. Department of Veterans Affairs (VA Central Texas)","Clínica VA de Cedar Park","Cedar Park VA Clinic","draft","Salud","2026-08-18","2026-08-18T17:42:07.558396+00:00"
"Williamson County","Servicios para Veteranos del Condado de Williamson","Williamson County Veteran Services","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:07.381049+00:00"
"U.S. Department of Veterans Affairs (VHA)","Programa de Alcance de Justicia para Veteranos – Central Texas","VA Veterans Justice Outreach – Central Texas","draft","Ayuda legal","2026-08-18","2026-08-18T17:42:07.194158+00:00"
"U.S. Department of Veterans Affairs (VA Central Texas)","Atención para Veteranos sin Hogar de VA Central Texas","VA Central Texas Homeless Veteran Care","draft","Vivienda","2026-08-18","2026-08-18T17:42:07.005158+00:00"
"Travis County","Servicios para Veteranos del Condado de Travis","Travis County Veterans Services","draft","Recursos financieros","2026-08-18","2026-08-18T17:42:06.817098+00:00"
"U.S. Department of Veterans Affairs (VA Central Texas Healthcare System)","Clínica VA de Austin","Austin VA Clinic","draft","Salud","2026-08-18","2026-08-18T17:42:06.342103+00:00"
"Bastrop County Clerk","Bastrop County Clerk","Bastrop County Clerk","draft","Recursos financieros","2026-08-17","2026-08-18T04:04:12.922455+00:00"
"Travis County Sheriff's Office","Travis County Sheriff's Office","Travis County Sheriff's Office","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:11.126238+00:00"
"Thurman-Blackwell Criminal Justice Center","Thurman-Blackwell Criminal Justice Center","Thurman-Blackwell Criminal Justice Center","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:10.966116+00:00"
"Transportation & Natural Resources (TNR)","Transportation & Natural Resources (TNR)","Transportation & Natural Resources (TNR)","draft","Vivienda","2026-08-17","2026-08-18T04:04:10.815079+00:00"
"Travis County Domestic Relations (Child Support)","Travis County Domestic Relations (Child Support)","Travis County Domestic Relations (Child Support)","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:10.662735+00:00"
"Travis County District Clerk","Travis County District Clerk – Divorcios","Travis County District Clerk – Divorces","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:10.508388+00:00"
"Travis County District Clerk","Travis County District Clerk – Jurado y Pasaportes","Travis County District Clerk – Jury and Passports","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:10.354022+00:00"
"Travis County District Clerk","Travis County District Clerk – Principal","Travis County District Clerk – Main","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:10.187209+00:00"
"Travis County Law Library","Travis County Law Library","Travis County Law Library","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:10.032047+00:00"
"Travis County Tax Office","Travis County Tax Office","Travis County Tax Office","draft","Recursos financieros","2026-08-17","2026-08-18T04:04:09.874248+00:00"
"Travis County Clerk's Office","Travis County Clerk's Office – División Civil","Travis County Clerk's Office – Civil Division","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:09.703234+00:00"
"Travis County Clerk's Office","Travis County Clerk's Office – División de Delitos Menores","Travis County Clerk's Office – Misdemeanor Division","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:09.550844+00:00"
"Travis County Clerk's Office","Travis County Clerk's Office – División de Sucesiones","Travis County Clerk's Office – Probate Division","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:09.394437+00:00"
"Travis County Clerk's Office","Travis County Clerk's Office – División de Registros","Travis County Clerk's Office – Recording Division","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:09.231579+00:00"
"Travis Central Appraisal District (TCAD)","Travis Central Appraisal District (TCAD)","Travis Central Appraisal District (TCAD)","draft","Recursos financieros","2026-08-17","2026-08-18T04:04:09.063636+00:00"
"City of Austin Vital Statistics","City of Austin Vital Statistics","City of Austin Vital Statistics","draft","Salud","2026-08-17","2026-08-18T04:04:08.896098+00:00"
"Austin Water","Austin Water – Quejas por Descargas de Aguas Residuales","Austin Water – Open Sewage Complaints","draft","Vivienda","2026-08-17","2026-08-18T04:04:08.72889+00:00"
"Austin Water","Austin Water – Permisos e Inspecciones de Sistemas Sépticos","Austin Water – Septic Tank Permits/Inspections & Service Requests","draft","Vivienda","2026-08-17","2026-08-18T04:04:08.543367+00:00"
"Austin Water","Austin Water – Protección del Agua, Residuos Industriales y Pozos","Austin Water – Water Protection, Industrial Waste Control & Water Wells","draft","Vivienda","2026-08-17","2026-08-18T04:04:08.379511+00:00"
"Austin Water","Austin Water – Servicio al Cliente / TAPS","Austin Water – Customer Service / TAPS","draft","Vivienda","2026-08-17","2026-08-18T04:04:08.207391+00:00"
"Austin Water","Austin Water – Principal / Waller Creek Center","Austin Water – Main / Waller Creek Center","draft","Vivienda","2026-08-17","2026-08-18T04:04:08.041995+00:00"
"One Texas Center","One Texas Center","One Texas Center","draft","Vivienda","2026-08-17","2026-08-18T04:04:07.857715+00:00"
"Austin Energy Facilities","Austin Energy Facilities","Austin Energy Facilities","draft","Vivienda","2026-08-17","2026-08-18T04:04:07.67401+00:00"
"City of Austin","City of Austin","City of Austin","draft","Ayuda legal","2026-08-17","2026-08-18T04:04:07.35952+00:00"
