source_row,organization_name,title_es,title_en,source_status,category_label,recovery_status,recommendation,missing_or_risk,official_source,importer_ready
"27","University of Texas Rio Grande Valley (UTRGV) / U.S. Small Business Administration","Centro de Asistencia para Negocios de Veteranos (VBOC) – UTRGV","Veterans Business Outreach Center (VBOC) – UTRGV","draft","Educación","recovered_from_prior_import","manual_verification_required","last_verified_at","https://utrgv.edu/vboc","no"
"28","Caldwell County","Servicios para Veteranos del Condado de Caldwell","Caldwell County Veterans Services","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at","https://co.caldwell.tx.us/page/Veterans","no"
"29","Texas Veterans Commission","Comisión de Veteranos de Texas — Representantes de Reclamos de VA","Texas Veterans Commission — VA Claims Representatives","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://tvc.texas.gov/claims/","no"
"30","Meals for Vets","Meals for Vets (Comidas para Veteranos)","Meals for Vets","draft","Comida","recovered_from_prior_import","manual_verification_required","last_verified_at","https://mealsforvets.org","no"
"31","OP Veteran","OP Veteran","OP Veteran","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at | in_person_address","https://opveteran.org","no"
"32","Heroes Night Out","Heroes Night Out / Centro de Recursos Heroes","Heroes Night Out / Heroes Resource Center","draft","Otros recursos","recovered_from_prior_import","manual_verification_required","last_verified_at","https://heroesresourcecenter.org","no"
"33","Bastrop County","Oficina de Servicios para Veteranos del Condado de Bastrop","Bastrop County Veterans Service Office","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at","https://bastropcounty.gov/page/co.veteran_services","no"
"34","Catholic Charities of Central Texas","Caridades Católicas de Central Texas – Servicios para Veteranos St. Michael's","Catholic Charities of Central Texas – St. Michael's Veteran Services","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at","https://ccctx.org/st-michaels-veteran-services/","no"
"35","Hays County","Servicios para Veteranos del Condado de Hays","Hays County Veterans Services","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at | contenido o cobertura no confirmados","https://hayscountytx.gov/veterans-services","no"
"36","U.S. Department of Veterans Affairs (VA Central Texas)","Clínica VA de Cedar Park","Cedar Park VA Clinic","draft","Salud","recovered_from_prior_import","manual_verification_required","last_verified_at","https://va.gov/central-texas-health-care/locations/cedar-park-va-clinic/","no"
"37","Williamson County","Servicios para Veteranos del Condado de Williamson","Williamson County Veteran Services","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at","https://wilcotx.gov/785/Veteran-Services","no"
"38","U.S. Department of Veterans Affairs (VHA)","Programa de Alcance de Justicia para Veteranos – Central Texas","VA Veterans Justice Outreach – Central Texas","draft","Ayuda legal","recovered_from_prior_import","manual_verification_required","last_verified_at","https://department.va.gov/homeless/veterans-justice-programs/veterans-justice-outreach/vjo-contacts/","no"
"39","U.S. Department of Veterans Affairs (VA Central Texas)","Atención para Veteranos sin Hogar de VA Central Texas","VA Central Texas Homeless Veteran Care","draft","Vivienda","recovered_from_prior_import","manual_verification_required","last_verified_at","https://va.gov/central-texas-health-care/health-services/homeless-veteran-care/","no"
"40","Travis County","Servicios para Veteranos del Condado de Travis","Travis County Veterans Services","draft","Recursos financieros","recovered_from_prior_import","manual_verification_required","last_verified_at","https://traviscountytx.gov/veterans-services","no"
"41","U.S. Department of Veterans Affairs (VA Central Texas Healthcare System)","Clínica VA de Austin","Austin VA Clinic","draft","Salud","recovered_from_prior_import","manual_verification_required","last_verified_at","https://va.gov/central-texas-health-care/locations/austin-va-clinic/","no"
"42","Bastrop County Clerk","Bastrop County Clerk","Bastrop County Clerk","draft","Recursos financieros","dashboard_inventory_only","approve_rebuild","Servicio oficial verificable de registros, matrimonio, vitales, probate y misdemeanors; reconstruir con fuente oficial.","","see approved-subset.csv"
"43","Travis County Sheriff's Office","Travis County Sheriff's Office","Travis County Sheriff's Office","draft","Ayuda legal","dashboard_inventory_only","exclude","Entrada institucional demasiado amplia; no identifica un servicio comunitario concreto y puede confundirse con emergencias o despacho policial.","","no"
"44","Thurman-Blackwell Criminal Justice Center","Thurman-Blackwell Criminal Justice Center","Thurman-Blackwell Criminal Justice Center","draft","Ayuda legal","dashboard_inventory_only","exclude","Es un edificio judicial, no un servicio independiente. Las funciones útiles deben representarse mediante la división responsable.","","no"
"45","Transportation & Natural Resources (TNR)","Transportation & Natural Resources (TNR)","Transportation & Natural Resources (TNR)","draft","Vivienda","dashboard_inventory_only","exclude","Departamento genérico; debe dividirse por programa o asistencia específica antes de publicarse.","","no"
"46","Travis County Domestic Relations (Child Support)","Travis County Domestic Relations (Child Support)","Travis County Domestic Relations (Child Support)","draft","Ayuda legal","dashboard_inventory_only","approve_rebuild","Servicio oficial y accionable de child support, enforcement y visitation; reconstruir con contacto oficial.","","see approved-subset.csv"
"47","Travis County District Clerk","Travis County District Clerk – Divorcios","Travis County District Clerk – Divorces","draft","Ayuda legal","dashboard_inventory_only","approve_rebuild","La división Civil/Family mantiene casos de divorcio; reconstruir con alcance y advertencia de que no brinda asesoría legal.","","see approved-subset.csv"
"48","Travis County District Clerk","Travis County District Clerk – Jurado y Pasaportes","Travis County District Clerk – Jury and Passports","draft","Ayuda legal","dashboard_inventory_only","approve_rebuild","Oficina oficial con dirección y contacto propios; reconstruir como servicio de jurado y pasaportes.","","see approved-subset.csv"
"49","Travis County District Clerk","Travis County District Clerk – Principal","Travis County District Clerk – Main","draft","Ayuda legal","dashboard_inventory_only","exclude","Duplica las entradas específicas y no comunica una ayuda concreta.","","no"
"50","Travis County Law Library","Travis County Law Library","Travis County Law Library","draft","Ayuda legal","dashboard_inventory_only","approve_rebuild","Servicio público verificable con formularios y orientación para personas sin abogado.","","see approved-subset.csv"
"51","Travis County Tax Office","Travis County Tax Office","Travis County Tax Office","draft","Recursos financieros","dashboard_inventory_only","approve_rebuild","Servicio público verificable para impuestos, pagos, recibos y planes; reconstruir con alcance explícito.","","see approved-subset.csv"
"52","Travis County Clerk's Office","Travis County Clerk's Office – División Civil","Travis County Clerk's Office – Civil Division","draft","Ayuda legal","dashboard_inventory_only","approve_rebuild","División oficial con funciones, contacto y ubicación propios.","","see approved-subset.csv"
"53","Travis County Clerk's Office","Travis County Clerk's Office – División de Delitos Menores","Travis County Clerk's Office – Misdemeanor Division","draft","Ayuda legal","dashboard_inventory_only","approve_rebuild","División oficial con búsqueda y copias de registros de delitos menores.","","see approved-subset.csv"
"54","Travis County Clerk's Office","Travis County Clerk's Office – División de Sucesiones","Travis County Clerk's Office – Probate Division","draft","Ayuda legal","dashboard_inventory_only","approve_rebuild","División oficial de probate, guardianship y documentos relacionados.","","see approved-subset.csv"
"55","Travis County Clerk's Office","Travis County Clerk's Office – División de Registros","Travis County Clerk's Office – Recording Division","draft","Ayuda legal","dashboard_inventory_only","approve_rebuild","División oficial para registros de propiedad, assumed names y marriage licenses.","","see approved-subset.csv"
"56","Travis Central Appraisal District (TCAD)","Travis Central Appraisal District (TCAD)","Travis Central Appraisal District (TCAD)","draft","Recursos financieros","dashboard_inventory_only","approve_rebuild","La entrada genérica debe enfocarse en ayuda con homestead exemptions, un servicio accionable y gratuito.","","see approved-subset.csv"
"57","City of Austin Vital Statistics","City of Austin Vital Statistics","City of Austin Vital Statistics","draft","Salud","dashboard_inventory_only","approve_rebuild","Servicio oficial verificable para certificados de nacimiento y defunción; tiene elegibilidad, documentos y tarifas.","","see approved-subset.csv"
"58","Austin Water","Austin Water – Quejas por Descargas de Aguas Residuales","Austin Water – Open Sewage Complaints","draft","Vivienda","dashboard_inventory_only","approve_rebuild","Servicio oficial accionable para reportar desbordamientos y emergencias de agua/alcantarillado.","","see approved-subset.csv"
"59","Austin Water","Austin Water – Permisos e Inspecciones de Sistemas Sépticos","Austin Water – Septic Tank Permits/Inspections & Service Requests","draft","Vivienda","dashboard_inventory_only","approve_rebuild","Servicio oficial de OSSF; reconstruir con contacto y jurisdicción correctos.","","see approved-subset.csv"
"60","Austin Water","Austin Water – Protección del Agua, Residuos Industriales y Pozos","Austin Water – Water Protection, Industrial Waste Control & Water Wells","draft","Vivienda","dashboard_inventory_only","exclude","Combina tres programas regulatorios distintos, principalmente para negocios; debe separarse antes de considerarse.","","no"
"61","Austin Water","Austin Water – Servicio al Cliente / TAPS","Austin Water – Customer Service / TAPS","draft","Vivienda","dashboard_inventory_only","approve_rebuild","Puede publicarse como servicio al cliente de agua y aguas residuales con números separados para billing y emergencias.","","see approved-subset.csv"
"62","Austin Water","Austin Water – Principal / Waller Creek Center","Austin Water – Main / Waller Creek Center","draft","Vivienda","dashboard_inventory_only","exclude","Es una oficina/instalación genérica que duplica Customer Service.","","no"
"63","One Texas Center","One Texas Center","One Texas Center","draft","Vivienda","dashboard_inventory_only","exclude","Es un edificio municipal, no un recurso o programa.","","no"
"64","Austin Energy Facilities","Austin Energy Facilities","Austin Energy Facilities","draft","Vivienda","dashboard_inventory_only","exclude","Es una agrupación de instalaciones, no una ayuda concreta.","","no"
"65","City of Austin","City of Austin","City of Austin","draft","Ayuda legal","dashboard_inventory_only","exclude","Entrada institucional demasiado amplia; usar Austin 3-1-1 u otro servicio específico.","","no"
