score,titleSim,summarySim,shared,a_slug,a_status,a_org,a_title,b_slug,b_status,b_org,b_title
"1","1","1","ph:8885117173","feed-the-need-stony-point-travis","draft","Feed the Need - Stony Point","Despensa de alimentos","feed-the-need-smithville-bastrop","draft","Feed the Need - Smithville","Despensa de alimentos"
"1","1","1","ph:8885117173","feed-the-need-stony-point-travis","draft","Feed the Need - Stony Point","Despensa de alimentos","feed-the-need-bastrop-north-bastrop","draft","Feed the Need - Bastrop North","Despensa de alimentos"
"1","1","1","ph:8885117173","feed-the-need-bastrop-south-bastrop","draft","Feed the Need - Bastrop South","Despensa de alimentos","feed-the-need-smithville-bastrop","draft","Feed the Need - Smithville","Despensa de alimentos"
"1","1","1","ph:8885117173","feed-the-need-bastrop-south-bastrop","draft","Feed the Need - Bastrop South","Despensa de alimentos","feed-the-need-bastrop-north-bastrop","draft","Feed the Need - Bastrop North","Despensa de alimentos"
"1","1","1","ph:8885117173","feed-the-need-smithville-bastrop","draft","Feed the Need - Smithville","Despensa de alimentos","feed-the-need-bastrop-north-bastrop","draft","Feed the Need - Bastrop North","Despensa de alimentos"
"1","1","0.83","ph:5123921161","community-action-of-central-texas-housing-and-financial-assistance-williamson","draft","Community Action of Central Texas","Asistencia con servicios públicos","comprehensive-energy-assistance-program-housing-and-financial-assistance-caldwell","draft","Comprehensive Energy Assistance Program","Asistencia con servicios públicos"
"1","1","1","ph:5123921161 web:communityactioncom","community-action-of-central-texas-housing-and-financial-assistance-williamson","draft","Community Action of Central Texas","Asistencia con servicios públicos","community-action-for-central-texas-housing-and-financial-assistance-bastrop","draft","Community Action for Central Texas","Asistencia con servicios públicos"
"1","1","0.83","ph:5123921161","comprehensive-energy-assistance-program-housing-and-financial-assistance-caldwell","draft","Comprehensive Energy Assistance Program","Asistencia con servicios públicos","community-action-for-central-texas-housing-and-financial-assistance-bastrop","draft","Community Action for Central Texas","Asistencia con servicios públicos"
"1","1","0.73","ph:6265360979 web:furrbabyfoodpantryorg","furrbaby-food-pantry-community-support-williamson","draft","Furrbaby food pantry","Despensa de alimentos","furr-baby-food-pantry-food-for-pets-williamson","draft","Furr Baby Food Pantry (FOOD FOR PETS)","Despensa de alimentos"
"1","1","0.65","ph:5125507755","greater-mt-zion-church-food-pantry-travis","draft","Greater Mt. Zion Church Food Pantry","Despensa de alimentos","greater-mt-zion-church-greater-mt-zion-church-2","published","Greater Mt. Zion Church","Despensa de Alimentos"
"1","1","0.73","ph:8306725566","gonzales-christian-assistance-ministry-housing-and-financial-assistance-gonzales","draft","Gonzales Christian Assistance Ministry","Despensa de alimentos","gonzales-christian-assistance-ministry-gonzales","draft","Gonzales Christian Assistance Ministry","Despensa de alimentos"
"1","1","0.83","ph:5128544120","travis-county-family-support-services-palm-square-office-housing-and-financial-assistance-3","draft","Travis County Family Support Services (Palm Square Office)","Beneficios del Seguro Social","travis-county-family-support-services-palm-square-office-health-and-personal-support-travi","draft","Travis County Family Support Services (Palm Square Office)","Beneficios del Seguro Social"
"1","1","0.76","ph:5125814006 web:bastropcountygovpagecoveteranservices addr:104 loop 150|bastrop","oficina-de-servicios-para-veteranos-del-condado-de-bastrop-bastrop-county","published","Bastrop County","Oficina de Servicios para Veteranos del Condado de Bastrop","oficina-de-servicios-para-veteranos-del-condado-de-bastrop-bastrop-county-government","draft","Bastrop County Government","Oficina de Servicios para Veteranos del Condado de Bastrop"
"1","1","1","ph:8004242246 web:childcareawareorg","childcare-subsidy-hotline-for-military-families-community-support-burnet","draft","Childcare subsidy hotline for military families","Apoyo para niños y familias","childcare-subsidy-hotline-community-support-williamson","draft","Childcare Subsidy Hotline","Apoyo para niños y familias"
"1","0.72","1","ph:5129725520 web:austintexasgovservicesgetfreeorlowcostvaccines","austin-public-health-far-south-immunization-clinic","published","Austin Public Health","Clínica de vacunación Far South","austin-public-health-st-johns-immunization-clinic","published","Austin Public Health","Clínica de vacunación St. Johns"
"1","1","1","web:austinblessingsorg","austin-blessings-food-pantry-austin-blessings-outreach-center-travis","draft","Austin Blessings Food Pantry: Austin Blessings Outreach Center","Despensa de alimentos","austin-blessings-food-pantry-austin-reconciliation-church-travis","draft","Austin Blessings Food Pantry: Austin Reconciliation Church","Despensa de alimentos"
"1","1","0.8","ph:5128824673 addr:1101 n mays st|round rock","hope-counseling-program-williamson-county","published","Texas Baptist Children's Home","Hope Counseling Program","programa-de-consejeria-hope-texas-baptist-children-s-home","published","Texas Baptist Children's Home","Programa de Consejería Hope"
"0.96","0.81","0.96","ph:5125055666","carts-now-bastrop-servicio-a-demanda-capital-area-rural-transportation-system-carts","draft","Capital Area Rural Transportation System (CARTS)","CARTS Now Bastrop (servicio a demanda)","carts-now-elgin-servicio-a-demanda-capital-area-rural-transportation-system-carts","draft","Capital Area Rural Transportation System (CARTS)","CARTS Now Elgin (servicio a demanda)"
"0.95","0.81","0.95","ph:8775417905 web:yourtexasbenefitscom","oficina-de-beneficios-de-hhsc-elgin-texas-health-and-human-services-commission-hhsc","draft","Texas Health and Human Services Commission (HHSC)","Oficina de Beneficios de HHSC — Elgin","oficina-de-beneficios-de-hhsc-bastrop-texas-health-and-human-services-commission-hhsc","draft","Texas Health and Human Services Commission (HHSC)","Oficina de Beneficios de HHSC — Bastrop"
"0.94","0.65","0.94","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-st-john-community-center","published","Austin Public Health","Centro Comunitario St. John","austin-public-health-montopolis-community-center","published","Austin Public Health","Centro Comunitario Montopolis"
"0.94","0.84","0.94","ph:8553663401 web:centraltexasfoodbankorgfindfoodnow","despensa-movil-de-elgin-central-texas-food-bank-central-texas-food-bank","draft","Central Texas Food Bank","Despensa Móvil de Elgin (Central Texas Food Bank)","despensa-movil-de-cedar-creek-central-texas-food-bank-central-texas-food-bank","draft","Central Texas Food Bank","Despensa Móvil de Cedar Creek (Central Texas Food Bank)"
"0.94","0.94","0.71","web:integralcareorgenhome3","integral-care-integral-care-2","published","Integral Care","Salud Mental, Uso de Sustancias y Servicios de Crisis","integral-care-mental-health-and-substance-use-services","published","Integral Care","Servicios de salud mental y uso de sustancias"
"0.92","0.92","0.61","web:vlsoctorggethelp","volunteer-legal-services-of-central-texas-volunteer-legal-services-of-central-texas","published","Volunteer Legal Services of Central Texas","Volunteer Legal Services of Central Texas","volunteer-legal-services-of-central-texas-vlsoct-volunteer-legal-services-of-central-texas","draft","Volunteer Legal Services of Central Texas","Servicios Legales Voluntarios del Centro de Texas (VLSoCT)"
"0.91","0.91","0.5","ph:5127631400 web:owbctxorg","opportunities-for-williamson-burnet-counties-owbc-meals-on-wheels-opportunities-for-williamson-burnet-counties","draft","Opportunities for Williamson & Burnet Counties","Opportunities for Williamson & Burnet Counties (OWBC) — Meals on Wheels","opportunities-williamson-burnet-counties","published","Opportunities for Williamson & Burnet Counties","Opportunities for Williamson & Burnet Counties (OWBC)"
"0.9","0.9","0.3","ph:5124398900 web:elbuenorg addr:7000 woodhue drive|austin","el-buen-samaritano-community-support-services","published","El Buen Samaritano","Servicios de apoyo comunitario","despensa-de-alimentos-y-distribucion-de-panales-el-buen-samaritano","published","El Buen Samaritano","Servicios Comunitarios y Apoyo Familiar"
"0.9","0.36","0.9","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-st-john-community-center","published","Austin Public Health","Centro Comunitario St. John","austin-public-health-east-austin-neighborhood-center","published","Austin Public Health","Centro Vecinal del Este de Austin"
"0.9","0.34","0.9","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-dove-springs-neighborhood-center","published","Austin Public Health","Centro Vecinal Dove Springs","austin-public-health-montopolis-community-center","published","Austin Public Health","Centro Comunitario Montopolis"
"0.9","0.55","0.9","web:driveaseniororg","ollie-s-medical-equipment-lending-closet-senior-access-drive-a-senior-drive-a-senior-central-texas-antes-senior-access","published","Drive a Senior Central Texas (antes ""Senior Access"")","Drive a Senior – Transporte y Apoyo para Adultos Mayores","drive-a-senior-central-texas-drive-a-senior-central-texas","draft","Drive a Senior Central Texas","Drive a Senior (Central Texas)"
"0.89","0.25","0.89","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-montopolis-community-center","published","Austin Public Health","Centro Comunitario Montopolis","austin-public-health-east-austin-neighborhood-center","published","Austin Public Health","Centro Vecinal del Este de Austin"
"0.88","0.66","0.88","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-dove-springs-neighborhood-center","published","Austin Public Health","Centro Vecinal Dove Springs","austin-public-health-east-austin-neighborhood-center","published","Austin Public Health","Centro Vecinal del Este de Austin"
"0.88","0.88","0.62","ph:5128544120","travis-county-family-support-services-palm-square-office-housing-and-financial-assistance","draft","Travis County Family Support Services
(Palm Square Office)","Travis County Family Support Services
(Palm Square Office)","travis-county-family-support-services-palm-square-office-housing-and-financial-assistance-2","draft","Travis County Family Support Services (Palm Square Office)","Asistencia de vivienda — Travis County Family Support Services (Palm Square Office)"
"0.87","0.35","0.87","web:austintexasgovservicesgethelpneighborhoodcenters","austin-public-health-st-john-community-center","published","Austin Public Health","Centro Comunitario St. John","austin-public-health-dove-springs-neighborhood-center","published","Austin Public Health","Centro Vecinal Dove Springs"
"0.85","0.85","0.65","web:driveaseniororg","ollie-s-medical-equipment-lending-closet-senior-access-drive-a-senior-drive-a-senior-central-texas-antes-senior-access","published","Drive a Senior Central Texas (antes ""Senior Access"")","Drive a Senior – Transporte y Apoyo para Adultos Mayores","drive-a-senior-transporte-para-adultos-mayores-del-centro-de-texas-drive-a-senior-antes-chariot","draft","Drive a Senior (antes ""Chariot"")","Drive a Senior — Transporte para Adultos Mayores del Centro de Texas"
"0.85","0.85","0.66","web:driveaseniororg","drive-a-senior-central-texas-drive-a-senior-central-texas","draft","Drive a Senior Central Texas","Drive a Senior (Central Texas)","drive-a-senior-transporte-para-adultos-mayores-del-centro-de-texas-drive-a-senior-antes-chariot","draft","Drive a Senior (antes ""Chariot"")","Drive a Senior — Transporte para Adultos Mayores del Centro de Texas"
"0.85","0.85","0.32","web:atxaffordablehousingnet","buscador-de-vivienda-asequible-de-austin-city-of-austin-housing-department","published","City of Austin Housing Department","Buscador de vivienda asequible de Austin","affordable-housing-online-search-tool-ahost-affordable-housing-search","published","Affordable Housing Online Search Tool (AHOST)","Búsqueda de vivienda asequible"
"0.84","0.84","0.58","web:gmzaustinorgcausespoverty","greater-mt-zion-church-community-assistance-and-referral-center-housing-and-financial-assi","draft","Greater Mt. Zion Church (Community Assistance and Referral Center)","Asistencia con servicios públicos","greater-mt-zion-church-greater-mt-zion-church","published","Greater Mt. Zion Church","Asistencia para alquiler y servicios públicos"
"0.83","0.83","0.74","ph:5128549188","travis-county-clerk-s-office-misdemeanor-division","draft","Travis County Clerk's Office","Travis County Clerk's Office – División de Delitos Menores","travis-county-clerk-s-office-recording-division","draft","Travis County Clerk's Office","Travis County Clerk's Office – División de Registros"
"0.81","0.81","0.62","ph:8778005722 web:lonestarcaresorg","lone-star-circle-of-care-round-rock-behavioral-health","published","Lone Star Circle of Care","Lone Star Circle of Care – Salud Conductual de Round Rock","lone-star-circle-of-care-georgetown-behavioral-health","published","Lone Star Circle of Care","Lone Star Circle of Care – Salud Conductual de Georgetown"
"0.81","0.81","0.54","ph:5129789015 web:communitycaretxorg","communitycare-primary-and-specialty-health-services","published","CommUnityCare","Servicios de salud primaria y especializada","atencion-medica-primaria-y-especializada-communitycare-health-centers","published","CommUnityCare Health Centers","Atención médica primaria y especializada"
"0.79","0.6","0.79","ph:5124514611 web:ageofcentraltxorg","h-e-l-p-programa-de-prestamo-de-equipo-medico-age-of-central-texas-age-of-central-texas","published","AGE of Central Texas","AGE of Central Texas – Apoyo para Adultos Mayores y Cuidadores","age-of-central-texas-age-of-central-texas","published","AGE of Central Texas","AGE of Central Texas"
"0.77","0.64","0.77","ph:5122677233 web:safeaustinorg","the-safe-alliance-servicios-legales-the-safe-alliance","published","The SAFE Alliance","Apoyo y Servicios Gratuitos para Sobrevivientes de Violencia y Abuso","linea-confidencial-24-7-para-violencia-y-abuso-the-safe-alliance","published","The SAFE Alliance","Línea confidencial 24/7 para violencia y abuso"
"0.77","0.59","0.77","ph:5125485091 web:crctxorg","williamson-county-community-resource-center-liberty-hill","published","Community Resource Centers of Texas","Williamson County Community Resource Center – Liberty Hill","williamson-county-community-resource-navigation","published","Williamson County Community Resource Center","Orientación para encontrar ayuda"
"0.76","0.76","0.63","ph:5124398900 web:elbuenorg","el-buen-samaritano-community-support-for-individuals-and-families","published","El Buen Samaritano","Apoyo comunitario para personas y familias","despensa-de-alimentos-y-distribucion-de-panales-el-buen-samaritano","published","El Buen Samaritano","Servicios Comunitarios y Apoyo Familiar"
"0.76","0.76","0.76","ph:5124514611 web:ageofcentraltxorg addr:7640 guadalupe st|austin","h-e-l-p-programa-de-prestamo-de-equipo-medico-age-of-central-texas-age-of-central-texas","published","AGE of Central Texas","AGE of Central Texas – Apoyo para Adultos Mayores y Cuidadores","age-of-central-texas-servicios-para-cuidadores-age-of-central-texas","draft","AGE of Central Texas","AGE of Central Texas — Servicios para Cuidadores"
"0.74","0.74","0.52","ph:8443096385 addr:1009 n georgetown st|round rock","bluebonnet-trails-substance-use-services","published","Bluebonnet Trails Community Services","Servicios de Consumo de Sustancias de Bluebonnet Trails","bluebonnet-trails-mental-health","published","Bluebonnet Trails Community Services","Servicios de Salud Mental de Bluebonnet Trails"
"0.74","0.74","0.74","ph:5124514611 web:ageofcentraltxorg","age-of-central-texas-servicios-para-cuidadores-age-of-central-texas","draft","AGE of Central Texas","AGE of Central Texas — Servicios para Cuidadores","age-of-central-texas-age-of-central-texas","published","AGE of Central Texas","AGE of Central Texas"
"0.69","0.69","0.58","ph:5124784939 web:austinpccorg addr:1101 camino la costa|austin","atencion-medica-familiar-de-bajo-costo-people-s-community-clinic","published","People's Community Clinic","Atención médica familiar de bajo costo","people-s-community-clinic-community-health-clinic","published","People's Community Clinic","Asistencia de MAP y atención médica asequible"
"0.66","0.58","0.66","ph:5126516100 web:ccctxorgfinancialstability","catholic-charities-of-central-texas-housing-and-financial-assistance-travis","draft","Catholic Charities of Central Texas","Asistencia con servicios públicos","catholic-charities-of-central-texas-catholic-charities-of-central-texas","published","Catholic Charities of Central Texas","Asistencia financiera"
"0.65","0.65","0.62","ph:5124543743 web:anybabycanorg","any-baby-can-community-support-for-individuals-and-families","published","Any Baby Can","Apoyo comunitario para personas y familias","apoyo-integral-para-familias-con-ninos-any-baby-can","published","Any Baby Can","Apoyo integral para familias con niños"
"0.62","0.62","0.54","ph:7373310372 web:communityactioncomadulteducation","educacion-para-adultos-de-community-action-inc-bastrop-community-action-inc-of-central-texas","draft","Community Action, Inc. of Central Texas","Educación para Adultos de Community Action Inc. (Bastrop)","community-action-for-central-texas-adult-education-education-and-employment-san-marcos","draft","Community Action for Central Texas - Adult Education","Educación para adultos"
"0.61","0.61","0.32","ph:5124398900 web:elbuenorg","el-buen-samaritano-community-support-services","published","El Buen Samaritano","Servicios de apoyo comunitario","el-buen-samaritano-community-support-for-individuals-and-families","published","El Buen Samaritano","Apoyo comunitario para personas y familias"
"0.6","0.55","0.6","ph:9795402980 addr:165 w austin st|giddings","combined-community-action-inc-housing-and-financial-assistance-giddings","draft","Combined Community Action, Inc.","Asistencia con servicios públicos","combined-community-action-climatizacion-y-asistencia-de-utilities-ceap-combined-community-action-inc","draft","Combined Community Action, Inc.","Combined Community Action — Climatización y Asistencia de Utilities (CEAP)"
"0.59","0.59","0.25","ph:5124722445 web:cpcaustinorg addr:200 e 8th st|austin","central-presbyterian-church-central-presbyterian-church","published","Central Presbyterian Church","Central Mission – Alimentos y Necesidades Básicashttps://cpcaustin.org/","central-presbyterian-church-breakfast-and-basic-needs-support","published","Central Presbyterian Church","Desayuno y apoyo para necesidades básicas"
"0.59","0.59","0.39","ph:5122822111 web:centraltexasfoodbankorg","central-texas-food-bank-food-distribution","published","Central Texas Food Bank","Distribución de alimentos","central-texas-food-bank-travis","draft","Central Texas Food Bank","Despensa de alimentos"
"0.59","0.59","0.52","ph:5123525553 web:shepherdshearttaylororg","shepherd-s-heart-food-pantry-and-community-ministries-williamson","draft","Shepherd's Heart Food Pantry and Community Ministries","Despensa de alimentos","shepherds-heart-taylor-assistance","published","Shepherd's Heart Food Pantry","Despensa y asistencia de Taylor"
"0.57","0.57","0.53","ph:5122442431 web:rrascorg","round-rock-area-serving-center-round-rock","draft","Round Rock Area Serving Center","Despensa de alimentos","round-rock-area-serving-center-assistance","published","Round Rock Area Serving Center","Despensa y asistencia financiera"
