slug,status,organization,code,detail
"mortgage-relief-helpline-community-support-williamson","draft","Mortgage Relief Helpline","draft_missing_source_url",""
"college-possible-texas-community-support-for-individuals-and-families","published","College Possible Texas","in_person_without_address",""
"pflugerville-mobile-food-pantry-travis","draft","Pflugerville Mobile Food Pantry","no_contact_method",""
"despensa-movil-de-elgin-central-texas-food-bank-central-texas-food-bank","draft","Central Texas Food Bank","hours_one_language_only",""
"atx-kids-club-youth-development-and-recreation-programs","published","ATX Kids Club","in_person_without_address",""
"ut-austin-school-of-nursing-children-s-wellness-center","published","UT Austin School of Nursing","service_area_names_city",""
"austin-voices-for-education-and-youth-community-support-for-individuals-and-families","published","Austin Voices for Education and Youth","in_person_without_address",""
"the-caring-place-community-assistance","published","The Caring Place","no_description_either_language",""
"meals-for-vets-comidas-para-veteranos-meals-for-vets","published","Meals for Vets","address_without_in_person",""
"del-valle-isd-apoyo-estudiantil-y-familiar-del-valle-independent-school-district","published","Del Valle Independent School District","address_without_in_person",""
"rowing-dock-youth-development-and-recreation-programs","published","Rowing Dock","in_person_without_address",""
"christi-center-mental-health-and-wellness-services","published","Christi Center","in_person_without_address",""
"sociedad-de-san-vicente-de-paul-iglesia-st-paul-smithville-st-paul-catholic-church-sociedad-de-san-vicente-de-paul","draft","St. Paul Catholic Church / Sociedad de San Vicente de Paúl","address_without_in_person",""
"vivienda-publica-y-subsidiada-housing-authority-of-the-city-of-austin","published","Housing Authority of the City of Austin","no_description_either_language",""
"transporte-rural-y-regional-en-travis-county-capital-area-rural-transportation-system-carts","published","Capital Area Rural Transportation System (CARTS)","no_description_either_language",""
"transporte-rural-y-regional-en-travis-county-capital-area-rural-transportation-system-carts","published","Capital Area Rural Transportation System (CARTS)","in_person_without_address",""
"owbc-meals-on-wheels-williamson","published","Opportunities for Williamson & Burnet Counties","no_description_either_language",""
"sacred-heart-community-clinic","published","Sacred Heart Community Clinic","no_description_either_language",""
"sacred-heart-community-clinic","published","Sacred Heart Community Clinic","in_person_without_address",""
"ollie-s-medical-equipment-lending-closet-senior-access-drive-a-senior-drive-a-senior-central-texas-antes-senior-access","published","Drive a Senior Central Texas (antes ""Senior Access"")","service_area_names_city",""
"impact-counseling-services-inc-mental-health-and-wellness-services","published","Impact Counseling Services, Inc","in_person_without_address",""
"ayuda-para-renta-servicios-publicos-alimentos-y-necesidades-basicas-sacred-heart-catholic-church-st-vincent-de-paul-conference","published","Sacred Heart Catholic Church – St. Vincent de Paul Conference","address_without_in_person",""
"ayuda-para-renta-servicios-publicos-alimentos-y-necesidades-basicas-sacred-heart-catholic-church-st-vincent-de-paul-conference","published","Sacred Heart Catholic Church – St. Vincent de Paul Conference","service_area_names_city",""
"luling-mobile-food-pantry-caldwell","draft","Luling Mobile Food Pantry","no_contact_method",""
"central-texas-food-bank-benefits-williamson","published","Central Texas Food Bank","in_person_without_address",""
"mercado-movil-y-distribucion-de-alimentos-de-creedmoor-city-of-creedmoor-central-texas-food-bank","published","City of Creedmoor / Central Texas Food Bank","phone_not_dashed","(512) 282-2111"
"meals-on-wheels-rural-capital-area-combined-community-action-inc","draft","Combined Community Action, Inc.","in_person_without_address",""
"lone-star-circle-of-care-georgetown","published","Lone Star Circle of Care","no_description_either_language",""
"programa-de-alcance-de-justicia-para-veteranos-central-texas-u-s-department-of-veterans-affairs-vha","published","U.S. Department of Veterans Affairs (VHA)","address_without_in_person",""
"foster-village-support-for-foster-youth-and-families","published","Foster Village","in_person_without_address",""
"dell-children-s-health-plan-mental-health-and-wellness-services","published","Dell Children's Health Plan","in_person_without_address",""
"travis-audubon-youth-development-and-recreation-programs","published","Travis Audubon","in_person_without_address",""
"us-bankruptcy-clerk","published","United States Bankruptcy Court – Western District of Texas","service_area_names_city",""
"wcchd-wic-williamson","published","Williamson County and Cities Health District","no_description_either_language",""
"wcchd-wic-williamson","published","Williamson County and Cities Health District","in_person_without_address",""
"programa-de-transporte-medico-mtp-de-medicaid-de-texas-texas-hhsc-texas-medicaid-healthcare-partnership-tmhp","draft","Texas HHSC / Texas Medicaid & Healthcare Partnership (TMHP)","hours_one_language_only",""
"programa-de-transporte-medico-mtp-de-medicaid-de-texas-texas-hhsc-texas-medicaid-healthcare-partnership-tmhp","draft","Texas HHSC / Texas Medicaid & Healthcare Partnership (TMHP)","phone_not_dashed","1-877-633-8747"
"austin-water-customer-service-taps","draft","Austin Water","address_without_in_person",""
"acceso-gratuito-a-computadoras-y-habilidades-digitales-austin-free-net","published","Austin Free-Net","address_without_in_person",""
"williamson-county-court-appointed-attorney","published","Williamson County Indigent Defense","in_person_without_address",""
"senior-access-drive-a-senior","published","Senior Access","in_person_without_address",""
"social-security-office","published","U.S. Social Security Administration (SSA)","service_area_names_city",""
"rockbridge-church-williamson","draft","Rockbridge Church","no_contact_method",""
"comidas-calientes-y-duchas-en-angel-house-austin-baptist-chapel","published","Austin Baptist Chapel","no_description_either_language",""
"texas-wildlife-association-education-and-learning-support-programs","published","Texas Wildlife Association","in_person_without_address",""
"educacion-para-adultos-de-community-action-inc-bastrop-community-action-inc-of-central-texas","draft","Community Action, Inc. of Central Texas","hours_one_language_only",""
"rbi-austin-youth-development-and-recreation-programs","published","RBI Austin","in_person_without_address",""
"san-antonio-food-bank-partner-network-gonzales","draft","San Antonio Food Bank Partner Network","no_contact_method",""
"austin-city-lutherans-bread-for-all-pantry-travis","draft","Austin City Lutherans - Bread For All Pantry","no_contact_method",""
"faith-in-action-georgetown-rides","published","Faith in Action Georgetown","no_description_either_language",""
"st-vincent-de-paul-housing-and-financial-assistance-caldwell","draft","St. Vincent De Paul","draft_missing_source_url",""
"first-baptist-church-of-bastrop-bastrop","draft","First Baptist Church of Bastrop","no_contact_method",""
"creative-action-youth-development-and-recreation-programs","published","Creative Action","in_person_without_address",""
"pflugerville-parks-recreation-programas-para-adultos-mayores-city-of-pflugerville","published","Pflugerville Parks & Recreation —  City of Pflugerville","hours_one_language_only",""
"healing-wings-llc-mental-health-and-wellness-services","published","Healing Wings LLC","in_person_without_address",""
"gonzales-christian-assistance-ministry-housing-and-financial-assistance-gonzales","draft","Gonzales Christian Assistance Ministry","draft_missing_source_url",""
"cedar-creek-united-methodist-church-bastrop","draft","Cedar Creek United Methodist Church","no_contact_method",""
"austin-resource-center-for-the-homeless-arch-austin-resource-center-for-the-homeless-arch","published","Austin Resource Center for the Homeless (ARCH)","service_area_names_city",""
"fostering-hope-community-support-for-individuals-and-families","published","Fostering Hope","in_person_without_address",""
"debt-relief-hotline-community-support-williamson","draft","Debt Relief Hotline","draft_missing_source_url",""
"del-valle-health-wellness-center-communitycare-central-health-communitycare-health-centers","published","CommUnityCare Health Centers","service_area_names_city",""
"bastrop-women-s-shelter-housing-and-financial-assistance-bastrop","draft","Bastrop Women's Shelter","no_contact_method",""
"bastrop-women-s-shelter-housing-and-financial-assistance-bastrop","draft","Bastrop Women's Shelter","draft_missing_source_url",""
"ventanilla-de-salud-health-information-and-preventive-services","published","Ventanilla de Salud – Consulado General de México en Austin","service_area_names_city",""
"travis-county-family-support-services-palm-square-office-housing-and-financial-assistance","draft","Travis County Family Support Services
(Palm Square Office)","address_without_in_person",""
"travis-county-family-support-services-palm-square-office-housing-and-financial-assistance","draft","Travis County Family Support Services
(Palm Square Office)","phone_not_dashed","(512) 854-4120"
"travis-county-family-support-services-palm-square-office-housing-and-financial-assistance","draft","Travis County Family Support Services
(Palm Square Office)","draft_missing_source_url",""
"habitat-williamson-county-housing","published","Habitat for Humanity of Williamson County","no_description_either_language",""
"brighter-days-food-pantry","published","Leander Church of Christ","no_description_either_language",""
"dale-mobile-pantry-caldwell","draft","Dale Mobile Pantry","no_contact_method",""
"agencia-de-area-sobre-el-envejecimiento-del-area-capital-aaacap-adrc-capcog-capital-area-council-of-governments-capcog","draft","Capital Area Council of Governments (CAPCOG)","address_without_in_person",""
"live-oak-unitarian-universalist-church-cedar-park","draft","Live Oak Unitarian Universalist Church","no_contact_method",""
"partners-for-education-agriculture-and-sustainability-peas-education-and-learning-support-programs","published","Partners For Education Agriculture and Sustainability (PEAS)","in_person_without_address",""
"travis-co-jonestown-community-center-travis","draft","Travis Co. Jonestown Community Center","no_contact_method",""
"maven-youth-youth-development-and-recreation-programs","published","Maven Youth","in_person_without_address",""
"carts-metro-connector-ruta-990-manor-elgin-express-carts-en-coordinacion-con-capital-metro","draft","CARTS, en coordinación con Capital Metro","in_person_without_address",""
"haynie-chapel-united-methodist-church-despensa-de-alimentos-haynie-chapel-united-methodist-church","published","Haynie Chapel United Methodist Church","service_area_names_city",""
"seedling-youth-development-and-recreation-programs","published","Seedling","in_person_without_address",""
"lone-star-circle-of-care-aw-grimes","published","Lone Star Circle of Care","no_description_either_language",""
"experience-works-work-force-solutions-education-and-employment-williamson","draft","Experience Works: Work Force Solutions","draft_missing_source_url",""
"taylor-housing-authority-programs","published","Taylor Housing Authority","no_description_either_language",""
"carts-now-bastrop-servicio-a-demanda-capital-area-rural-transportation-system-carts","draft","Capital Area Rural Transportation System (CARTS)","in_person_without_address",""
"first-united-methodist-church-of-pflugerville-despensa-paula-s-y-ropero-first-united-methodist-church-of-pflugerville","published","First United Methodist Church of Pflugerville","service_area_names_city",""
"bethany-united-methodist-church-travis","draft","Bethany United Methodist Church","no_contact_method",""
"educacion-para-adultos-y-preparacion-laboral-literacy-coalition-of-central-texas","published","Literacy Coalition of Central Texas","no_description_either_language",""
"educacion-para-adultos-y-preparacion-laboral-literacy-coalition-of-central-texas","published","Literacy Coalition of Central Texas","in_person_without_address",""
"salvation-army-health-and-personal-support-travis","draft","Salvation Army","no_contact_method",""
"central-health-medical-access-program-map","published","Central Health","address_without_in_person",""
"explore-austin-youth-development-and-recreation-programs","published","Explore Austin","in_person_without_address",""
"oficina-de-servicios-para-veteranos-del-condado-de-bastrop-bastrop-county","published","Bastrop County","phone_not_dashed","(512) 581-4006"
"crux-climbing-center-youth-development-and-recreation-programs","published","Crux Climbing Center","in_person_without_address",""
"operation-liberty-hill","published","Operation Liberty Hill","in_person_without_address",""
"texas-riogrande-legal-aid-williamson-county","published","Texas RioGrande Legal Aid","in_person_without_address",""
"carts-williamson-county-transportation","published","Capital Area Rural Transportation System","no_description_either_language",""
"carts-williamson-county-transportation","published","Capital Area Rural Transportation System","in_person_without_address",""
"eanes-care-eanes-isd-eanes-independent-school-district","published","Eanes Independent School District","in_person_without_address",""
"communitycare-primary-and-specialty-health-services","published","CommUnityCare","address_without_in_person",""
"lone-star-circle-of-care-en-bastrop-lone-star-circle-of-care-lscc","draft","Lone Star Circle of Care (LSCC)","phone_not_dashed","1-877-800-5722"
"texas-utility-help-housing-and-financial-assistance-williamson","draft","Texas Utility Help","no_contact_method",""
"clinica-de-salud-ben-white-lone-star-circle-of-care","published","Lone Star Circle of Care","no_description_either_language",""
"drive-a-senior-central-texas-drive-a-senior-central-texas","draft","Drive a Senior Central Texas","in_person_without_address",""
"st-joseph-catholic-church-manor-sociedad-de-san-vicente-de-paul-st-joseph-catholic-church","published","St. Joseph Catholic Church – Society of St. Vincent de Paul","address_without_in_person",""
"st-joseph-catholic-church-manor-sociedad-de-san-vicente-de-paul-st-joseph-catholic-church","published","St. Joseph Catholic Church – Society of St. Vincent de Paul","service_area_names_city",""
"lifeworks-mental-health-and-wellness-services","published","Lifeworks","in_person_without_address",""
"con-mi-madre-community-support-for-individuals-and-families","published","Con Mi Madre","in_person_without_address",""
"descuentos-y-ayuda-con-servicios-publicos-city-of-austin-utilities-austin-energy","published","City of Austin Utilities / Austin Energy","no_description_either_language",""
"descuentos-y-ayuda-con-servicios-publicos-city-of-austin-utilities-austin-energy","published","City of Austin Utilities / Austin Energy","in_person_without_address",""
"carts-now-elgin-servicio-a-demanda-capital-area-rural-transportation-system-carts","draft","Capital Area Rural Transportation System (CARTS)","in_person_without_address",""
"volunteer-legal-services-of-central-texas-volunteer-legal-services-of-central-texas","published","Volunteer Legal Services of Central Texas","hours_one_language_only",""
"literacy-council-williamson-county","published","Literacy Council of Williamson County","in_person_without_address",""
"wonders-and-worries-community-support-for-individuals-and-families","published","Wonders & Worries","in_person_without_address",""
"american-gateways-american-gateways","draft","American Gateways","hours_one_language_only",""
"burnet-county-hunger-alliance-burnet","draft","Burnet County Hunger Alliance","no_contact_method",""
"austin-youth-river-watch-youth-development-and-recreation-programs","published","Austin Youth River Watch","in_person_without_address",""
"workforce-solutions-rural-capital-area-child-care-services-financial-and-basic-needs-assistance","published","Workforce Solutions Rural Capital Area- Child Care Services","in_person_without_address",""
"st-edward-s-community-counseling-clinic-community-counseling-services","published","St. Edward's Community Counseling Clinic","service_area_names_city",""
"uplift-at-university-presbyterian-church-housing-and-financial-assistance-travis","draft","UpLift at University Presbyterian Church","draft_missing_source_url",""
"switzer-senior-center-health-and-personal-support-taylor","draft","Switzer Senior Center","draft_missing_source_url",""
"opportunities-for-williamson-burnet-counties-owbc-meals-on-wheels-opportunities-for-williamson-burnet-counties","draft","Opportunities for Williamson & Burnet Counties","hours_one_language_only",""
"shield-ranch-foundation-el-ranchito-youth-development-and-recreation-programs","published","Shield Ranch Foundation/El Ranchito","in_person_without_address",""
"servicios-para-veteranos-del-condado-de-travis-travis-county","published","Travis County","phone_not_dashed","(512) 854-9340"
"helping-hand-home-for-children-support-for-foster-youth-and-families","published","Helping Hand Home for Children","in_person_without_address",""
"pflugerville-health-center-communitycare-communitycare-health-centers","published","CommUnityCare Health Centers","service_area_names_city",""
"community-action-adult-education-williamson","published","Community Action, Inc. of Central Texas","no_description_either_language",""
"community-action-adult-education-williamson","published","Community Action, Inc. of Central Texas","in_person_without_address",""
"david-phillips-foundation-youth-development-and-recreation-programs","published","David Phillips Foundation","in_person_without_address",""
"despensa-movil-de-creedmoor-elementary-ctfb-del-valle-isd-central-texas-food-bank-del-valle-isd","published","Creedmoor Elementary – Feeding Futures School Pantry","phone_not_dashed","(512) 282-2111"
"austin-child-guidance-center-child-and-family-therapy","published","Austin Child Guidance Center","address_without_in_person",""
"buscador-de-vivienda-asequible-de-austin-city-of-austin-housing-department","published","City of Austin Housing Department","no_description_either_language",""
"centro-comunitario-del-condado-de-travis-jonestown-travis-county-health-and-human-services","published","Travis County Health and Human Services","phone_not_dashed","(512) 854-1500"
"tarifas-reducidas-equifare-capmetro","published","CapMetro","no_description_either_language",""
"dolores-catholic-church-food-pantry","published","Dolores Catholic Church","service_area_names_city",""
"st-vincent-de-paul-church-housing-and-financial-assistance-travis","draft","St. Vincent De Paul Church","draft_missing_source_url",""
"safe-alliance-safe-alliance","published","The SAFE Alliance (SAFE)","address_without_in_person",""
"terapia-bilingue-para-ansiedad-trauma-y-bienestar-emocional-manana-counseling-pllc","published","Mañana Counseling, PLLC","in_person_without_address",""
"terapia-bilingue-para-ansiedad-trauma-y-bienestar-emocional-manana-counseling-pllc","published","Mañana Counseling, PLLC","service_area_names_city",""
"veteranos-rojo-blanco-y-azul-del-condado-de-bastrop-red-white-blue-veterans-of-bastrop-county","draft","Red, White & Blue Veterans of Bastrop County","hours_one_language_only",""
"williamson-county-children-s-advocacy-center-education-and-learning-support-programs","published","Williamson County Children's Advocacy Center","in_person_without_address",""
"foundation-communities-parker-lane-travis","draft","Foundation Communities - Parker Lane","no_contact_method",""
"owbc-head-start-williamson","published","Opportunities for Williamson & Burnet Counties","no_description_either_language",""
"owbc-head-start-williamson","published","Opportunities for Williamson & Burnet Counties","in_person_without_address",""
"encuentra-alimentos-cerca-de-ti-central-texas-food-bank","published","Central Texas Food Bank","no_description_either_language",""
"encuentra-alimentos-cerca-de-ti-central-texas-food-bank","published","Central Texas Food Bank","in_person_without_address",""
"autism-society-of-texas-community-support-for-individuals-and-families","published","Autism Society of Texas","in_person_without_address",""
"breakthrough-ctx-education-and-learning-support-programs","published","Breakthrough CTX","in_person_without_address",""
"clinicas-de-inscripcion-a-seguro-medico-austin-voices-for-education-and-youth-avey","published","Austin Voices for Education and Youth (AVEY)","in_person_without_address",""
"servicio-de-referencia-e-informacion-de-abogados-del-colegio-de-abogados-de-texas-state-bar-of-texas","draft","State Bar of Texas","address_without_in_person",""
"texas-advocacy-project-williamson","published","Texas Advocacy Project","no_description_either_language",""
"shepherds-heart-taylor-assistance","published","Shepherd's Heart Food Pantry","no_description_either_language",""
"comprehensive-energy-assistance-program-housing-and-financial-assistance-caldwell","draft","Comprehensive Energy Assistance Program","draft_missing_source_url",""
"giving-austin-labor-support-gals-mental-health-and-wellness-services","published","Giving Austin Labor Support (GALS)","in_person_without_address",""
"lone-star-circle-of-care-at-jonestown-lone-star-circle-of-care","published","Lone Star Circle of Care","in_person_without_address",""
"lone-star-circle-of-care-at-jonestown-lone-star-circle-of-care","published","Lone Star Circle of Care","service_area_names_city",""
"the-georgetown-project-community-support-for-individuals-and-families","published","The Georgetown Project","in_person_without_address",""
"catholic-charities-immigration-williamson","published","Catholic Charities of Central Texas","no_description_either_language",""
"derechos-y-recursos-legales-de-inmigracion-immigrant-legal-resource-center-ilrc","published","Immigrant Legal Resource Center (ILRC)","tracking_params_in_url","website_url"
"lake-travis-community-library-servicios-para-adultos-mayores-lake-travis-community-library","published","Lake Travis Community Library","phone_not_dashed","(512) 263-2885"
"lone-star-circle-of-care-cedar-park","published","Lone Star Circle of Care","no_description_either_language",""
"san-gabriel-unitarian-universalist-fellowship-williamson","draft","San Gabriel Unitarian Universalist Fellowship","no_contact_method",""
"centro-de-asistencia-para-negocios-de-veteranos-vboc-utrgv-university-of-texas-rio-grande-valley-utrgv-u-s-small-business-administration","draft","University of Texas Rio Grande Valley (UTRGV) / U.S. Small Business Administration","hours_one_language_only",""
"centro-de-asistencia-para-negocios-de-veteranos-vboc-utrgv-university-of-texas-rio-grande-valley-utrgv-u-s-small-business-administration","draft","University of Texas Rio Grande Valley (UTRGV) / U.S. Small Business Administration","phone_not_dashed","(956) 665-8931"
"a-rocha-usa-community-support-for-individuals-and-families","published","A Rocha USA","in_person_without_address",""
"feed-wilco-home-delivery","published","Feed Wilco","no_description_either_language",""
"texas-utiliy-help-housing-and-financial-assistance-bastrop","draft","Texas Utiliy Help","no_contact_method",""
"centro-de-crisis-familiar-refugio-del-condado-de-bastrop-family-crisis-center-inc","draft","Family Crisis Center, Inc.","in_person_without_address",""
"pflugerville-meadows-vivienda-asequible-texas-housing-foundation","published","Texas Housing Foundation – Pflugerville Meadows","service_area_names_city",""
"operation-liberty-hill-food-pantry","published","Operation Liberty Hill","no_description_either_language",""
"st-matthews-episcopal-church-housing-and-financial-assistance-travis","draft","St. Matthews Episcopal Church","draft_missing_source_url",""
"lakeway-activity-center-city-of-lakeway","published","City of Lakeway – Lakeway Activity Center","phone_not_dashed","(512) 261-1010"
"atencion-para-veteranos-sin-hogar-de-va-central-texas-u-s-department-of-veterans-affairs-va-central-texas","published","U.S. Department of Veterans Affairs (VA Central Texas)","address_without_in_person",""
"atencion-para-veteranos-sin-hogar-de-va-central-texas-u-s-department-of-veterans-affairs-va-central-texas","published","U.S. Department of Veterans Affairs (VA Central Texas)","phone_not_dashed","(254) 778-4811"
"meals-on-wheels-central-texas-mowct-meals-on-wheels-central-texas","draft","Meals on Wheels Central Texas","address_without_in_person",""
"beat-4-beat-education-and-learning-support-programs","published","Beat 4 Beat","in_person_without_address",""
"shoreline-north-austin-mobile-pantry-travis","draft","Shoreline - North Austin Mobile Pantry","no_contact_method",""
"baptist-community-center-housing-and-financial-assistance-travis","draft","Baptist Community Center","no_contact_method",""
"baptist-community-center-housing-and-financial-assistance-travis","draft","Baptist Community Center","draft_missing_source_url",""
"workforce-solutions-williamson-county","published","Workforce Solutions Rural Capital Area","no_description_either_language",""
"first-baptist-church-pflugerville-despensa-de-alimentos-first-baptist-church-pflugerville","published","First Baptist Church Pflugerville","service_area_names_city",""
"centered-youth-clinic-and-consulting-mental-health-and-wellness-services","published","Centered Youth Clinic & Consulting","in_person_without_address",""
"west-lake-hills-registro-de-emergencias-stear-city-of-west-lake-hills","published","City of West Lake Hills – State of Texas Emergency Assistance Registry (STEAR)","address_without_in_person",""
"atencion-medica-primaria-y-especializada-communitycare-health-centers","published","CommUnityCare Health Centers","in_person_without_address",""
"black-mamas-atx-community-support-for-individuals-and-families","published","Black Mamas ATX","in_person_without_address",""
"cross-creek-behavioral-health-hospital-mental-health-and-wellness-services","published","Cross Creek Behavioral Health Hospital","in_person_without_address",""
"city-of-austin-vital-statistics","published","City of Austin – Austin Public Health","service_area_names_city",""
"san-antonio-food-bank-guadalupe","draft","San Antonio Food Bank","no_contact_method",""
"texas-baptist-children-s-home-support-for-foster-youth-and-families","published","Texas Baptist Children's Home","in_person_without_address",""
"stonehaven-resident-council-williamson","draft","Stonehaven Resident Council","no_contact_method",""
"servicios-de-cuidado-infantil-workforce-solutions-rural-capital-area-workforce-solutions-rural-capital-area-wsrca","draft","Workforce Solutions Rural Capital Area (WSRCA)","in_person_without_address",""
"servicios-de-cuidado-infantil-workforce-solutions-rural-capital-area-workforce-solutions-rural-capital-area-wsrca","draft","Workforce Solutions Rural Capital Area (WSRCA)","phone_not_dashed","1-877-223-0404"
"ayuda-para-pagar-servicios-publicos-travis-county-health-and-human-services","published","Travis County Health and Human Services","no_description_either_language",""
"ayuda-para-pagar-servicios-publicos-travis-county-health-and-human-services","published","Travis County Health and Human Services","in_person_without_address",""
"orientacion-para-encontrar-ayuda-local-2-1-1-texas","published","2-1-1 Texas","no_description_either_language",""
"bluebonnet-trails-community-services-bastrop-bluebonnet-trails-community-services","draft","Bluebonnet Trails Community Services","phone_not_dashed","1-844-309-6385"
"community-council-of-south-central-texas-veterans-financial-assistance-community-support-g","draft","Community Council of South Central Texas - Veterans Financial Assistance","no_contact_method",""
"community-council-of-south-central-texas-veterans-financial-assistance-community-support-g","draft","Community Council of South Central Texas - Veterans Financial Assistance","draft_missing_source_url",""
"zilker-botanical-garden-youth-development-and-recreation-programs","published","Zilker Botanical Garden","in_person_without_address",""
"austin-baptist-chapel-angel-house-soup-kitchen-travis","draft","Austin Baptist Chapel - Angel House Soup Kitchen","no_contact_method",""
"all-saints-episcopal-church-housing-and-financial-assistance-travis","draft","All Saints Episcopal Church","draft_missing_source_url",""
"the-settlement-home-for-children-post-adoption-services-support-for-foster-youth-and-families","published","The Settlement Home for Children Post-Adoption Services","in_person_without_address",""
"the-settlement-home-for-children-post-adoption-services-support-for-foster-youth-and-families","published","The Settlement Home for Children Post-Adoption Services","phone_not_dashed","(512)836-2150 ext 176"
"carts-capital-area-rural-transportation-system-carts","draft","CARTS","hours_one_language_only",""
"asistencia-con-servicios-publicos-del-condado-de-travis-ceap-travis-county-health-and-human-services","draft","Travis County Health and Human Services","hours_one_language_only",""
"sacred-heart-catholic-church-elgin-sociedad-de-san-vicente-de-paul-sacred-heart-catholic-church","published","Sacred Heart Catholic Church – St. Vincent de Paul","service_area_names_city",""
"african-american-youth-harvest-foundation-community-support-for-individuals-and-families","published","African American Youth Harvest Foundation","in_person_without_address",""
"live-like-cati-community-support-for-individuals-and-families","published","Live Like Cati","in_person_without_address",""
"closet-de-equipo-cpath-cerebral-palsy-awareness-transition-hope-cpath-cerebral-palsy-awareness-transition-hope","published","Cerebral Palsy Awareness Transition Hope (CPATH Texas)","service_area_names_city",""
"texas-foster-family-association-community-support-for-individuals-and-families","published","Texas Foster Family Association","in_person_without_address",""
"capmetro-ruta-990-manor-express-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 990 Manor/Elgin Express","address_without_in_person",""
"capmetro-ruta-990-manor-express-capital-metropolitan-transportation-authority-capmetro","published","Capital Metropolitan Transportation Authority (CapMetro) – Route 990 Manor/Elgin Express","service_area_names_city",""
"austin-creative-reuse-education-and-learning-support-programs","published","Austin Creative Reuse","in_person_without_address",""
