"issue","status","resource_id","organization_name","title_es","title_en","group_size","signals","slug","phone","website_url","source_url","recommended_action","review_notes"
"shared_title_review","draft","5b47e493-90c7-4f89-92bf-a5d6a22e5021","Bethany United Methodist Church","Despensa de alimentos","Food pantry","90","description","bethany-united-methodist-church-travis","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","99f170c6-0afe-4c80-a69e-3ad348ed4a1e","Brighter Days Food Pantry at Leander Church of Christ (Drive thru)","Despensa de alimentos","Food pantry","90","","brighter-days-food-pantry-at-leander-church-of-christ-drive-thru-leander","512-259-6928","https://leanderchurch.org/help","https://leanderchurch.org/help","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","3a3dee6f-267d-4d95-a19b-142eaa7ca697","Caldwell County Chrstian Ministries Food Pantry","Despensa de alimentos","Food pantry","90","description","caldwell-county-chrstian-ministries-food-pantry-caldwell","512-376-6661","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","bdd2ff76-896e-4c89-b3b5-165a07d3dca0","Care Patrol of Central and South Austin","Orientación para encontrar cuidado de adultos mayores","Senior care placement guidance","3","description","care-patrol-of-central-and-south-austin-health-and-personal-support-travis","512-574-0910","https://carepatrol.com/central-south-austin/","https://carepatrol.com/central-south-austin/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","f885dbcf-e491-4038-a9ed-21fa7f9f3d15","Care Patrol of North Austin","Orientación para encontrar cuidado de adultos mayores","Senior care placement guidance","3","description","care-patrol-of-north-austin-health-and-personal-support-williamson","512-643-2727","https://carepatrol.com/north-austin/","https://carepatrol.com/north-austin/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","56a4db04-9efb-4b9d-80f3-eb3d64708c62","Church of the Harvest","Despensa de alimentos","Food pantry","90","description","church-of-the-harvest-williamson","512-916-3601","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","2959206d-a3f5-470f-a529-cd0f9d89114c","Circle of Hope Community Center Drive Thru Pantry","Despensa de alimentos","Food pantry","90","description","circle-of-hope-community-center-drive-thru-pantry-travis","512-692-8001","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","c002ff3c-046f-46e5-bd87-4e9ad8ec82ac","City Reach Church","Despensa de alimentos","Food pantry","90","description","city-reach-church-williamson","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","dcd3632a-965f-440b-9d58-94e4c6c3b028","Combined Community Action, Inc","Despensa de alimentos","Food pantry","90","","combined-community-action-inc-lee","800-688-9065","https://www.ccaction.com/","https://www.ccaction.com/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","bac09a85-ef4b-404d-975b-53b7d56eaa61","Community Cupboard (Elgin)","Despensa de alimentos","Food pantry","90","description","community-cupboard-elgin-bastrop","512-285-4552","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","4e1185ff-88bc-4fc3-bc3e-21a130d4ae41","Dale Mobile Pantry","Despensa de alimentos","Food pantry","90","description","dale-mobile-pantry-caldwell","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","8eb10033-f64b-4a84-b34e-e22263f05fb9","Deliverance Temple Worship Center","Despensa de alimentos","Food pantry","90","description","deliverance-temple-worship-center-austin","737-202-4470","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","dacb869f-6655-423e-9b34-97f41b9d1d81","Delivering Hope Resource Center","Despensa de alimentos","Food pantry","90","","delivering-hope-resource-center-caldwell","512-359-4848","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","4c6a10c7-6dc7-4db9-865b-8a5ed52d7a56","Dorcas Passion Ministries Alpha Sventh Day Adventist Church - Drive up food pantry","Despensa de alimentos","Food pantry","90","description","dorcas-passion-ministries-alpha-sventh-day-adventist-church-drive-up-food-pantry-travis","512-926-6721","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","c5402ac3-c220-4995-937d-3b1673a613a9","Elgin Housing Authority","Vivienda pública y vales de Sección 8","Public housing and Section 8 vouchers","2","","autoridad-de-vivienda-de-elgin-elgin-housing-authority","512-281-2772","https://www.elginhousing.org/","https://www.elginhousing.org/contact","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","1166c3a4-c6c6-4376-93bb-0bc760571eeb","Fayette County Community Action Food Pantry","Despensa de alimentos","Food pantry","90","description","fayette-county-community-action-food-pantry-fayette","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","696483d8-03b6-48dd-a27b-f4c05dbfd35b","FBC Pflugerville","Despensa de alimentos","Food pantry","90","description","fbc-pflugerville-pflugerville","512-251-3052","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","c69c024a-2eae-4cfd-9856-556f33daa5cb","Feed the Need - Bastrop North","Comidas calientes gratuitas","Free hot meals","4","phone|description","feed-the-need-bastrop-north-bastrop","888-511-7173","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","660b6238-2f84-43a5-8bce-54b8d8ba613a","Feed the Need - Bastrop South","Comidas calientes gratuitas","Free hot meals","4","phone|description","feed-the-need-bastrop-south-bastrop","888-511-7173","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","c4d2d32e-7a90-4ab9-af86-d678216c1502","Feed the Need - Smithville","Comidas calientes gratuitas","Free hot meals","4","phone|description","feed-the-need-smithville-bastrop","888-511-7173","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","23d6302b-e585-4152-aee6-cd1817ae07fc","Feed the Need - Stony Point","Comidas calientes gratuitas","Free hot meals","4","phone|description","feed-the-need-stony-point-travis","888-511-7173","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","4021def8-f9cc-41f0-ae91-07aa7d128b49","First Baptist Church of Bastrop","Despensa de alimentos","Food pantry","90","description","first-baptist-church-of-bastrop-bastrop","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","118a3fe7-27a7-412e-a030-66783f21f23a","First Baptist Church of Elgin","Despensa de alimentos","Food pantry","90","description","first-baptist-church-of-elgin-bastrop","512-285-4161","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","de405ed2-13a0-4e12-8469-202bb65a6e6b","First Presbyterian Church of Georgetown","Despensa de alimentos","Food pantry","90","","first-presbyterian-church-of-georgetown-williamson","512-863-3381","https://fpcgeorgetown.org/","https://fpcgeorgetown.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","9453be7c-8e5c-4b14-8eb7-f6b0e768f622","First United Methodist Church - Paula's Food Pantry and Clothes Closet","Despensa de alimentos","Food pantry","90","description","first-united-methodist-church-paula-s-food-pantry-and-clothes-closet-travis","512-251-2575","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","14f1ca2f-8ec3-4100-84b2-d250789f00f2","Florence High School","Despensa de alimentos","Food pantry","90","description","florence-high-school-williamson","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","833d3d20-5cb3-4cdb-8db8-451aebb8a2c1","Foundation Communities - Cardinal Point","Despensa de alimentos","Food pantry","90","description","foundation-communities-cardinal-point-travis","512-381-4590","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","e1e1ed73-0168-4d78-b8bf-e585e239fd17","Foundation Communities - Crossroads","Despensa de alimentos","Food pantry","90","description","foundation-communities-crossroads-travis","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","e668fde7-700e-4b1b-bec4-41fc92fccdf1","Foundation Communities - Jordan at Mueller","Despensa de alimentos","Food pantry","90","description","foundation-communities-jordan-at-mueller-travis","512-381-4580","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","2aece945-b84e-43b7-bac8-24b02591d4e8","Foundation Communities - Lakeline Station","Despensa de alimentos","Food pantry","90","description","foundation-communities-lakeline-station-williamson","512-615-4755","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","4bacb3a7-a9d8-4316-9949-d2e2f8957650","Foundation Communities - Laurel Creek","Despensa de alimentos","Food pantry","90","description","foundation-communities-laurel-creek-travis","512-735-1635","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","e38a3530-8fad-48de-b48a-2bbb28841acc","Foundation Communities - M Station","Despensa de alimentos","Food pantry","90","description","foundation-communities-m-station-travis","512-617-3037","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","7bcc2322-b8df-482d-9eb7-3caccadb3ac6","Foundation Communities - Parker Lane","Despensa de alimentos","Food pantry","90","description","foundation-communities-parker-lane-travis","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","1bb4576c-2815-47a9-838b-2bd024895dee","Foundation Communities - Sierra Vista","Despensa de alimentos","Food pantry","90","description","foundation-communities-sierra-vista-travis","512-804-2265","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","3f267e6d-1da3-4662-a2f2-dfe28585061f","Foundation Communities - Southwest Trails","Despensa de alimentos","Food pantry","90","description","foundation-communities-southwest-trails-travis","512-301-2442","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","5f1d901b-7a04-4821-b01c-19d9d76d6508","Foundation Communities - Trails at the Park","Despensa de alimentos","Food pantry","90","description","foundation-communities-trails-at-the-park-travis","512-280-5200","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","5a55abad-00b5-43cd-945b-10635c0ce4e5","Foundation Communities - Vintage Creek","Despensa de alimentos","Food pantry","90","description","foundation-communities-vintage-creek-travis","512-933-1005","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","7bcafb1d-c5f0-41e9-b6aa-41cdc5e2020e","Friendship Bible Baptist Church - Community of Hope Food Pantry","Despensa de alimentos","Food pantry","90","description","friendship-bible-baptist-church-community-of-hope-food-pantry-bastrop","512-321-9040","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","447a47bb-b963-44da-97a4-8fa287125627","Giddings Area Care Center","Despensa de alimentos","Food pantry","90","","giddings-area-care-center-lee","","https://giddingsfoodpantry.org/","https://giddingsfoodpantry.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","4257c95b-892b-4b7d-a2c0-2e520a19f576","Gilead Health Care","Atención médica en el hogar","Home health care","3","","gilead-health-care-health-and-personal-support-round-rock","512-323-5858","https://gileadhomehealth.com/","https://gileadhomehealth.com/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","b902aa11-4c97-42e4-a9bf-402246d56bdc","GoodWill Industries of CT : Georgetown Job Center","Empleo y capacitación laboral","Employment and job training","4","","goodwill-industries-of-ct-georgetown-job-center-education-and-employment-williamson","512-591-7808","","https://www.goodwillcentraltexas.org/programs-and-services/find-a-job/how-to-enroll/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","fb064d44-73e3-40c1-87d3-12ae0b1238d7","GoodWill Industries of CT : Round Rock Job Center","Empleo y capacitación laboral","Employment and job training","4","","goodwill-industries-of-ct-round-rock-job-center-education-and-employment-williamson","","","https://www.goodwillcentraltexas.org/programs-and-services/find-a-job/how-to-enroll/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","b05780d3-c0f8-453c-b665-6a0676fe2f71","GoodWill Industries: Bastrop Job Help Center","Empleo y capacitación laboral","Employment and job training","4","","goodwill-industries-bastrop-job-help-center-education-and-employment-bastrop","512-308-9269","","https://www.goodwillcentraltexas.org/locations/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","68822793-b0a7-4c07-a7a9-8bbaa398b0e8","Grace Baptist Church of Red Rock","Despensa de alimentos","Food pantry","90","description","grace-baptist-church-of-red-rock-red-rock","512-303-3891","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","25ad6490-ad4a-4974-b5c5-1d420ff62214","Greater Mt. Zion Church (Community Assistance and Referral Center)","Asistencia con servicios públicos","Utility assistance","3","","greater-mt-zion-church-community-assistance-and-referral-center-housing-and-financial-assi","512-478-7578","https://gmzaustin.org/causes/poverty/","https://gmzaustin.org/causes/poverty/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","2a64877e-9afb-49fb-8f78-45b0830983da","Greater Mt. Zion Church Food Pantry","Despensa de alimentos","Food pantry","90","description","greater-mt-zion-church-food-pantry-travis","512-550-7755","https://gmzaustin.org/causes/poverty/","https://gmzaustin.org/causes/poverty/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","e30fd355-274e-4f5f-9a73-427037fca0e3","Halcyon Home","Asistencia de emergencia con renta y servicios","Emergency rent and utility assistance","2","","halcyon-home-health-and-personal-support-austin","512-815-9009","https://halcyonhome.com/","https://halcyonhome.com/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","694e5f8c-3024-43b7-a0d7-0690f5209dce","Helping Center of Marble Falls","Despensa de alimentos","Food pantry","90","description","helping-center-of-marble-falls-marble-falls","830-693-5689","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","f6438378-733b-4179-a851-14c523d25ddc","Helping Hands of Georgetown","Despensa de alimentos","Food pantry","90","","helping-hands-of-georgetown-williamson","512-688-3595","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","e16b1c30-8de0-4947-a77b-5a43844aec8e","Helping Hands with coordination of various churches","Despensa de alimentos","Food pantry","90","","helping-hands-with-coordination-of-various-churches-williamson","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","af7aa708-ebb6-4b41-8f94-22cfbca813f1","Iglesia Bautista Principe de Paz","Despensa de alimentos","Food pantry","90","","iglesia-bautista-principe-de-paz-travis","512-774-4939","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","17c50a5a-e3b0-49a2-a0ca-42038cd52dbc","Jarrell ISD Cafeteria","Despensa de alimentos","Food pantry","90","description","jarrell-isd-cafeteria-williamson","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","3d092143-7734-48ec-99e5-1eed213b7d84","Joe Roland Community Center","Despensa de alimentos","Food pantry","90","","joe-roland-community-center-caldwell","512-718-6194","https://jrcommunitycenter.com/","https://jrcommunitycenter.com/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","0a52f1d1-c047-4545-a83e-0d4f521fa112","Kat Kares","Despensa de alimentos","Food pantry","90","","kat-kares-williamson","512-843-1134","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","0eee98d2-8575-4220-bd3a-3e7934d56b8d","Knights of Columbus Hall","Despensa de alimentos","Food pantry","90","description","knights-of-columbus-hall-williamson","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","fb64f4a9-8f18-427e-a511-97bb0d42e52d","Lifeway Home Health","Atención médica en el hogar","Home health care","3","","lifeway-home-health-health-and-personal-support-caldwell","512-398-7189","","https://bluebonnetmhmr.sharepoint.com/:b:/s/HomelessPrevention-WilliamsonCounty/IQAuYV3g0DsCTo8xqa1jUbqMAe5uaCwOGkxJCdw7H0YD_0o?e=MNQbdX","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","4f89c2c5-1cc7-4d4c-b34d-6d5320617482","Live Oak Unitarian Universalist Church","Despensa de alimentos","Food pantry","90","description","live-oak-unitarian-universalist-church-cedar-park","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","25d789d5-09cc-46cd-9ed9-2275f891154b","Luling Mobile Food Pantry","Despensa de alimentos","Food pantry","90","description","luling-mobile-food-pantry-caldwell","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","d8aae272-9f5e-44dd-a62d-889109042f03","Madella Hilliard Neighborhood Center","Asistencia de emergencia con renta y servicios","Emergency rent and utility assistance","2","","madella-hilliard-neighborhood-center-housing-and-financial-assistance-georgetown","512-930-0873","","","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","bd74bdb0-a676-4df0-8d52-ad8a124dddc8","Manna Food Pantry","Despensa de alimentos","Food pantry","90","description","manna-food-pantry-williamson","512-255-3454","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","b11b39b9-2373-41d5-993c-8985902d1e5f","McDade Food Pantry","Despensa de alimentos","Food pantry","90","description","mcdade-food-pantry-bastrop","512-273-2016","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","9a2b31f5-34bb-4c7d-bcd3-e35c7630400d","Mision Cristiana","Despensa de alimentos","Food pantry","90","description","mision-cristiana-travis","","https://www.mcilidsusa.org/","https://www.mcilidsusa.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","ad8b2f85-a246-4d4f-ae4e-10b355ecf7fe","New Braunfels Food Bank","Despensa de alimentos","Food pantry","90","description","new-braunfels-food-bank-guadalupe","830-327-6000","https://nbfoodbank.org/our-programs/food-assistance/","https://nbfoodbank.org/our-programs/food-assistance/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","630cb5f4-bff8-4f30-affa-9a2c2662d443","North Austin Christian Church - Heaven's Harvest","Despensa de alimentos","Food pantry","90","description","north-austin-christian-church-heaven-s-harvest-travis","512-836-3282","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","02eda7d4-5ffc-468c-8b43-3e6916b91aff","Oak Hill Baptist Church","Despensa de alimentos","Food pantry","90","description","oak-hill-baptist-church-travis","","https://www.ohbcaustin.org/","https://www.ohbcaustin.org/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","5e5dad48-075b-4540-b4d0-48206fc82b8c","Oasis Senior Advisors","Orientación para encontrar cuidado de adultos mayores","Senior care placement guidance","3","","oasis-senior-advisors-health-and-personal-support-williamson","512-800-1469","https://www.oasissenioradvisors.com/locations/austin-central-tx/","https://www.oasissenioradvisors.com/locations/austin-central-tx/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","1d2d1884-7434-4415-8cfc-528019ce7c92","Pflugerville Mobile Food Pantry","Despensa de alimentos","Food pantry","90","","pflugerville-mobile-food-pantry-travis","","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","b21aa55f-d57b-4a7f-95b6-1cfd4834591b","Primera Baptist Church Food Pantry","Despensa de alimentos","Food pantry","90","","primera-baptist-church-food-pantry-bastrop","512-718-7807","https://www.facebook.com/primerabastrop/","https://www.facebook.com/primerabastrop/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","43c86a4d-e79a-49ae-afd7-2b4621dca84d","Reveal Resource Center","Despensa de alimentos","Food pantry","90","","reveal-resource-center-williamson","","https://revealresourcecenter.com/","https://revealresourcecenter.com/","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
"shared_title_review","draft","52d5b5c6-2ed5-4398-a480-af31028de87c","Ridgeway Baptist Church","Despensa de alimentos","Food pantry","90","description","ridgeway-baptist-church-bastrop","512-253-6412","","https://www.centraltexasfoodbank.org/find-food-now","Classify as legitimate repetition, mismatch, ambiguity, or true duplicate.",""
