"lookup_id","resource_id","status","organization_name","title_en","original_address","query_street","query_city","query_state","query_zip","preflight","reason"
"29","180d2b16-e6f5-47b5-92fa-44df43637545","published","Bridge Lacrosse","Free youth lacrosse","1200 Montopolis Drive, Austin, TX, 78741","1200 Montopolis Drive","Austin","TX","78741","ready",""
"30","b460fd32-3961-4299-9beb-4f29f185029b","published","Austin Creative Reuse","Education and learning support programs","2005 Wheless Lane, Austin, TX, 78723","2005 Wheless Lane","Austin","TX","78723","ready",""
"31","ad6f0ff8-ebd7-4a63-be71-910d8a51f48a","published","Foundation Communities","Affordable Housing & Community Support Services","3000 S IH 35, Suite 300, Austin, TX, 78704","3000 S IH 35","Austin","TX","78704","ready",""
"32","e3497e15-889d-4c79-b5df-5464e49d62b3","published","Austin Clubhouse","Mental health and wellness services","610 E. 45th Street, Inside Hyde Park Christian Church, east entrance, Austin, TX, 78751","610 E. 45th Street","Austin","TX","78751","ready",""
"33","73b444a8-b037-4d04-8325-8e5ecec24043","published","Helping Hand Home for Children","Support for foster youth and families","3804 Avenue B, Austin, TX, 78751","3804 Avenue B","Austin","TX","78751","ready",""
"34","f114ecc1-49ca-4a76-ac67-cf07dc060373","published","Austin Habitat for Humanity","Affordable homeownership and housing counseling","500 W Ben White Boulevard, Austin, TX, 78704","500 W Ben White Boulevard","Austin","TX","78704","ready",""
"35","e01eedb9-6ee0-4c1b-81c6-b822ffc9e6c7","published","Austin Child Guidance Center","Mental health and wellness services","810 W. 45th Street, Austin, TX, 78751","810 W. 45th Street","Austin","TX","78751","ready",""
"36","964ed8a9-7a7f-48b6-8d16-233adc81572d","published","Centered Youth Clinic & Consulting","Primary and specialized health care for youth","201 East Wilco Highway, Suite 201, Hutto, TX, 78634","201 East Wilco Highway","Hutto","TX","78634","ready",""
"37","30fa47b2-4985-432a-b020-53f19e042059","published","Sunrise Homeless Navigation Center","Homeless navigation and basic-needs support","4430 Menchaca Rd, Austin, TX, 78745","4430 Menchaca Rd","Austin","TX","78745","ready",""
"38","0e830d50-cae6-4930-9a2b-987e73a20b85","published","Lone Star Circle of Care","MAP Enrollment & Affordable Health Care","1221 W. Ben White Blvd., Building B, Suite 200, Austin, TX, 78704","1221 W. Ben White Blvd.","Austin","TX","78704","ready",""
"39","622d9262-1590-46f0-a976-b75a1c13ec4d","published","CommUnityCare","Primary and specialty health services","7050 Elroy Rd., Austin, TX, 78617","7050 Elroy Rd.","Austin","TX","78617","ready",""
"40","0e96ff9d-9e8b-49e8-845a-e9952c5e138b","published","People's Community Clinic","Women’s Health Center","2909 North IH35, Austin, TX, 78722","2909 North IH35","Austin","TX","78722","ready",""
"41","1fb67fff-90dd-4867-8de4-878cc3e85322","published","People's Community Clinic","MAP Assistance & Affordable Health Care","1101 Camino La Costa, Austin, TX, 78752","1101 Camino La Costa","Austin","TX","78752","ready",""
"42","7fd18a9b-abd0-41c4-a16d-a776de28d1bd","published","Austin Public Health","Far South Immunization Clinic","405 W. Stassney Lane, Austin, TX, 78745","405 W. Stassney Lane","Austin","TX","78745","ready",""
"43","9fd1002c-023f-4650-aa26-9b5889fbf6fc","published","Austin Public Health","St. Johns Immunization Clinic","7500 Blessing Avenue, Austin, TX, 78752","7500 Blessing Avenue","Austin","TX","78752","ready",""
"44","4b2cd9bb-a1fc-409b-bdbe-39f3059edd9d","published","Ventanilla de Salud – Consulado General de México en Austin","Health Information & Preventive Services","5202 E. Ben White Blvd., Suite 150, Austin, TX, 78741","5202 E. Ben White Blvd.","Austin","TX","78741","ready",""
"45","6db18573-eec3-4bfb-9250-5392f9e27cbb","published","St. Edward's Community Counseling Clinic","Community Counseling Services","3001 S. Congress Ave, East Hall 153, Austin, TX, 78704","3001 S. Congress Ave","Austin","TX","78704","ready",""
"46","e8dbc5bb-9bba-4913-9c18-aeea7afd55a1","published","Lirios Para Mental Health","Bilingual counseling services","4201 South Congress Avenue Ste 202, Austin, TX, 78745","4201 South Congress Avenue Ste 202","Austin","TX","78745","ready",""
"47","bb12f176-ea4d-4370-80de-21b47489272b","published","Capital Area Counseling","Affordable counseling services","9111 Jollyville Rd, Suite 250, Austin, TX, 78759","9111 Jollyville Rd","Austin","TX","78759","ready",""
"48","78fd23b1-9406-49ad-b803-71e3e0c077ac","published","Austin Child Guidance Center","Child and family therapy","810 W 45th St, Austin, TX, 78751","810 W 45th St","Austin","TX","78751","ready",""
"49","380d78f2-3fd7-4cb0-ac5f-24952ac11a37","published","Opportunities for Williamson & Burnet Counties (OWBC)","Community Services, Head Start & Meals on Wheels","604 High Tech Drive, Georgetown, TX, 78626","604 High Tech Drive","Georgetown","TX","78626","ready",""
"50","71ef5708-40b2-46e5-b632-07f876b68844","published","Central Texas Food Bank","Food distribution","6500 Metropolis Drive, Austin, TX, 78744","6500 Metropolis Drive","Austin","TX","78744","ready",""
"51","7a381e10-25c6-442b-a53a-6e7838946815","published","Dolores Catholic Church","Food Pantry","1111 Montopolis Dr., Austin, TX, 78741","1111 Montopolis Dr.","Austin","TX","78741","ready",""
"52","b2d878c8-fb16-4cec-98ef-214683c19eae","published","Central Presbyterian Church","Central Mission: breakfast and basic needs","200 E. 8th St, Austin, TX, 78701","200 E. 8th St","Austin","TX","78701","ready",""
"53","3ea9291b-b85a-4009-b49a-79169c6e0b4c","published","Foundation for the Homeless / Feed My People","Breakfast, showers and clothing","1300 Lavaca St., Austin, TX","1300 Lavaca St.","Austin","TX","","ready",""
"54","4fa4cebd-453a-42f5-866f-020952f2260a","published","University Presbyterian Church","Food pantry and utility assistance","2203 San Antonio Street, Austin, TX, 78705","2203 San Antonio Street","Austin","TX","78705","ready",""
"55","c5211c29-1b7f-43fc-bbd3-209a9af4b1ad","published","University United Methodist Church","Open Door breakfast and clothing","2409 Guadalupe Street, Austin, TX, 78705","2409 Guadalupe Street","Austin","TX","78705","ready",""
"56","29e8c472-0ea5-487b-8bc6-1ef6152a06d1","published","Consultame","Mexican Consulate procedure assistance","2911 AW Grimes Blvd #203, Pflugerville, TX, 78660","2911 AW Grimes Blvd #203","Pflugerville","TX","78660","ready",""
"57","4aca8d3c-240c-4408-b9fc-16d2c7bf2ac7","published","Child Inc.","Child care for families with low incomes","818 East 53rd Street, Austin, TX, 78751","818 East 53rd Street","Austin","TX","78751","ready",""
"58","c59aeb14-d78e-4511-be0f-f8f21479b7d5","published","The Goodwill Excel Center","Adult high school diploma and career training","1015 Norwood Park Blvd., Austin, TX, 78753","1015 Norwood Park Blvd.","Austin","TX","78753","ready",""
"59","1e2c42fa-f230-4e76-afd3-9f70e1f51d8c","published","UT Austin School of Nursing","Children's Wellness Center","5301 Ross Rd., Building H, Suite H, Del Valle, TX, 78617","5301 Ross Rd.","Del Valle","TX","78617","ready",""
"60","9c1858a2-e36d-4bd8-b287-ad85594efea5","published","The Source Women's Health Center","Women’s health services","1007 E 41st St., Austin, TX, 78751","1007 E 41st St.","Austin","TX","78751","ready",""
"61","87a796dc-71a2-4d5a-b14c-292e6d11ac96","published","Northeast Health Resource Center","Free diapers and menstrual products","6711 Johnny Morris Rd., Austin, TX, 78724","6711 Johnny Morris Rd.","Austin","TX","78724","ready",""
"62","07b26629-178f-422e-9cbe-cb62b3c1416e","published","Austin Public Health","Dove Springs Neighborhood Center","5811 Palo Blanco Lane, Austin, TX, 78744","5811 Palo Blanco Lane","Austin","TX","78744","ready",""
"63","03ab5ff0-7750-4d87-b288-0471a3f8691c","published","Austin Public Health","St. John Community Center","7500 Blessing Avenue, Austin, TX, 78752","7500 Blessing Avenue","Austin","TX","78752","ready",""
"64","f28939b6-8201-4657-a509-f1909198b3ff","published","Austin Public Health","East Austin Neighborhood Center","211 Comal Street, Austin, TX, 78702","211 Comal Street","Austin","TX","78702","ready",""
"65","3c82de24-1c8f-4d9b-bbde-7673dc6791da","published","Austin Public Health","Montopolis Community Center","1200 Montopolis Drive, Austin, TX, 78741","1200 Montopolis Drive","Austin","TX","78741","ready",""
"66","705a5ab0-a0d7-4fd5-86b7-6afa79678d64","published","Dress for Success Austin","Employment and professional clothing support","3000 S. I-35 Frontage Road, Suite 180, Austin, TX, 78704","3000 S. I-35 Frontage Road","Austin","TX","78704","ready",""
"67","fce78f82-15f4-431b-8524-c739e9d59503","published","Navarro High School Family Resource Center","Family Resource Center","1111 Fairfield Dr, Austin, TX, 78758","1111 Fairfield Dr","Austin","TX","78758","ready",""
"68","965b2004-2de8-49f4-a0d3-d0f6a0ccb3ac","published","Lincoln-Goldfinch Law","Immigration legal services","1005 E 40th St, Austin, TX, 78751","1005 E 40th St","Austin","TX","78751","ready",""
"69","0a97f4ee-26c3-4a07-a118-c3cf024c20d5","published","All Saints Episcopal Church Rent and Utility Assistance","Rent and utility assistance","209 W. 27th Street, Austin, TX, 78705","209 W. 27th Street","Austin","TX","78705","ready",""
"70","283c04bd-73bd-4dad-8644-0d6c05e47886","published","Green Doors","Affordable & Supportive Housing","1503 S. I-35 Frontage Rd, Austin, TX, 78741","1503 S. I-35 Frontage Rd","Austin","TX","78741","ready",""
"71","a13989cb-a3d6-42da-bf51-264ecc328b84","published","Guadalupe Neighborhood Development Corporation","Affordable rental and homeownership options","813 E. 8th Street, Austin, TX, 78702","813 E. 8th Street","Austin","TX","78702","ready",""
"72","c95962a4-2670-4382-809b-433c69bd0c27","published","Mueller Affordable Homes","Affordable homeownership and rentals in Mueller","4550 Mueller Blvd., Austin, TX, 78723","4550 Mueller Blvd.","Austin","TX","78723","ready",""
"73","454c78f4-22eb-4e3e-afb1-27d2b6b32cac","published","Austin Resource Center for the Homeless (ARCH)","Emergency Shelter & Homeless Services","500 E 7th Street, Austin, TX, 78701","500 E 7th Street","Austin","TX","78701","ready",""
"74","b11604b0-5d1a-4d0e-9c59-58397e6b02d6","published","Casa Marianella","Refugio y Apoyo para Inmigrantes y Solicitantes de Asilo","821 Gunter Street, Austin, TX, 78702","821 Gunter Street","Austin","TX","78702","ready",""
"75","9e6e2426-ca9f-49cf-974d-36834eccde34","published","City of Austin","Cold Weather Shelter","505 Barton Springs Rd., Austin, TX, 78704","505 Barton Springs Rd.","Austin","TX","78704","ready",""
"76","148cb73a-4dc6-4b43-8515-1a59f006e203","published","Downtown Austin Community Court (DACC)","Community Court & Homeless Services","505 Barton Springs Road, First Floor, Austin, TX, 78704","505 Barton Springs Road","Austin","TX","78704","ready",""
"77","7ad531f3-582b-45d5-b9c7-c4edf164e26b","published","The SAFE Alliance (SAFE)","Domestic Violence & Sexual Assault","4800 Manor Rd., Building A, Austin, TX, 78723","4800 Manor Rd.","Austin","TX","78723","ready",""
"78","5fcf4ba4-34cd-4e80-90e4-db0069526974","published","The Salvation Army","Emergency Shelter for Women & Children","4613 Tannehill Lane, Building 3, Austin, TX, 78721","4613 Tannehill Lane","Austin","TX","78721","ready",""
"79","78d81c43-ba39-444d-b04c-3075252a64f9","published","The Salvation Army - Rathgeber Center for Families","Emergency Family Shelter & Housing Support","4613 Tannehill Ln, Bldg 1, Austin, TX, 78721","4613 Tannehill Ln","Austin","TX","78721","ready",""
"80","d8a0d9f5-ca03-4a94-bf7a-a0d4f5d37669","published","Angel House/ Austin Baptist Chapel","Hot meals and showers","908 E Cesar Chavez St, Austin, TX, 78702","908 E Cesar Chavez St","Austin","TX","78702","ready",""
"81","9fb125d7-eee4-41ed-bb48-adfcf413ff6b","published","Caritas of Austin","Food and basic-needs assistance","611 Neches St., Austin, TX, 78701","611 Neches St.","Austin","TX","78701","ready",""
"82","f75751d5-0532-460c-9db1-e97ceba68cab","published","Austin City Lutherans & Faith Presbyterian Church","Despensa de Alimentos Pan para Todos","1314 E Oltorf St, Austin, TX, 78704","1314 E Oltorf St","Austin","TX","78704","ready",""
"83","b6ddcd4a-db8d-4c8e-aa55-c3e4d34d9f4b","published","Greater Mt. Zion Church","Food Pantry","4301 Tannehill Lane, Austin, TX, 78721","4301 Tannehill Lane","Austin","TX","78721","ready",""
"84","cb535f66-7a0d-4881-a5af-87e976717ae0","published","Society of St. Vincent de Paul Diocesan Council of Austin","St. Vincent de Paul Food Pantry","901 W. Braker Lane, Austin, TX, 78758","901 W. Braker Lane","Austin","TX","78758","ready",""
"85","fd841f57-2c4a-4141-acc0-71b0c09c2f60","published","University Baptist Church (UBC)","Comida Comunitaria Gratuita","2409 Guadalupe St., Austin, TX, 78705","2409 Guadalupe St.","Austin","TX","78705","ready",""
"86","bf5c41af-a94a-4b0f-be55-3a8c0bded946","published","Ashwell Sexual Health and Wellness Clinic","Sexual health and wellness care","3100 Red River Suite 3, Austin, TX, 78705","3100 Red River Suite 3","Austin","TX","78705","ready",""
"87","986bbf8f-0c0a-4b57-a0d1-ab8d9fb7fe9f","published","Kind Dental Care","Dental care savings plan","10700 Anderson Mill Rd #300, Austin, TX, 78750","10700 Anderson Mill Rd #300","Austin","TX","78750","ready",""
"88","c61cce1e-249c-476b-b865-15db97834851","published","Society of St. Vincent de Paul","SVdP Pharmacy Program","901 W. Braker Lane, Austin, TX, 78758","901 W. Braker Lane","Austin","TX","78758","ready",""
"89","5f2c362a-438a-4f1a-9a7e-f5d76a092c3b","published","The Goodwill Career and Technical Academy","Technical education and career training","1015 Norwood Park Boulevard, Austin, TX, 78753","1015 Norwood Park Boulevard","Austin","TX","78753","ready",""
"90","e0d9758c-a1a5-40d4-8cef-a4fe70121dec","published","Trinity Center","Day center for people experiencing homelessness","304 E. 7th St, Austin, TX, 78701","304 E. 7th St","Austin","TX","78701","ready",""
"91","8d7f538b-020c-4470-9a49-4850aca6497a","published","Austin Bilingual Therapy","Bilingual individual and family therapy","8700 Menchaca Rd, Suite 205, Austin, TX, 78748","8700 Menchaca Rd","Austin","TX","78748","ready",""
"92","48138c8c-4ea6-473a-b0c0-ea9df8476bef","published","OutYouth","Mental health support for LGBTQIA+ youth and families","3007 N Lamar Blvd, Austin, TX, 78705","3007 N Lamar Blvd","Austin","TX","78705","ready",""
"93","246c88c0-398e-42e8-9194-b491c26bcaf3","published","Lirios Pediatrics","Free health care for uninsured children","4201 S Congress Ave, Suite 202, Austin, TX, 78745","4201 S Congress Ave","Austin","TX","78745","ready",""
"94","cbf5824e-7e4a-4970-b6df-a52600064887","published","Volunteer Healthcare Clinic","Health care for uninsured residents","4215 Medical Pkwy, Austin, TX, 78756","4215 Medical Pkwy","Austin","TX","78756","ready",""
"95","9b5c158e-7afa-4803-b3d2-5a381824ccd9","published","City of Austin – Austin Public Health","City of Austin – Office of Vital Records","7201 Levander Loop Bldg. C, Austin, TX, 78702","7201 Levander Loop Bldg. C","Austin","TX","78702","ready",""
"96","0edcce44-82b9-48aa-af70-cdbb3481fb9c","draft","Travis Central Appraisal District (TCAD)","Property appraisal and tax exemptions","850 East Anderson Lane, Austin, TX, 78752","850 East Anderson Lane","Austin","TX","78752","ready",""
"97","bb315bb3-7fb2-4348-b299-449331255bd4","draft","Travis County Clerk's Office","Recording Division","5501 Airport Blvd, Ste. 100B, Austin, TX, 78751","5501 Airport Blvd","Austin","TX","78751","ready",""
"98","b70cbbba-4659-4657-b50e-7d2db25a1388","draft","Travis County Clerk's Office","Probate Division","200 W 8th St, #140, Austin, TX, 78701","200 W 8th St","Austin","TX","78701","ready",""
"99","2820cec6-9291-4585-9a6a-a7ce0dd533c4","draft","Travis County Clerk's Office","Misdemeanor Division","1000 Guadalupe St, Suite 222, Austin, TX, 78701","1000 Guadalupe St","Austin","TX","78701","ready",""
"100","a8dc3b93-1f99-408c-a283-b421244d111d","draft","Travis County Clerk's Office","Civil Division","1700 Guadalupe St, Ste. 4.300, Austin, TX, 78701","1700 Guadalupe St","Austin","TX","78701","ready",""
"101","f0af5bdc-4f5e-4ac1-95cf-dc4cca39a5fa","draft","Travis County Tax Office","Property taxes and vehicle services","2433 Ridgepoint Dr, Austin, TX, 78754","2433 Ridgepoint Dr","Austin","TX","78754","ready",""
"102","28e68e9c-a1a8-4d0b-bc7b-07016870b424","draft","Travis County Law Library","Law library and self-representation assistance","1700 Guadalupe St, 2nd Floor, Austin, TX, 78701","1700 Guadalupe St","Austin","TX","78701","ready",""
"103","192ff2bb-47d5-4e66-8ce0-707963cedb01","draft","Travis County District Clerk","Jury and passport services","5325 Airport Blvd, 1st Floor (Pasaportes) / Suite 1100 (Jurado), Austin, TX, 78751","5325 Airport Blvd","Austin","TX","78751","ready",""
"104","4115c792-beac-4c6d-8a48-741741cc1a67","draft","Travis County District Clerk","Divorce filing and processing","1700 Guadalupe Street, 3rd Floor, Room 3.200 (Civil & Family Courts Facility), Austin, TX, 78701","1700 Guadalupe Street","Austin","TX","78701","ready",""
"105","ea4846e2-c3b8-4097-a341-87ac4db9c11b","draft","Travis County Domestic Relations (Child Support)","Child and spousal support enforcement","1700 Guadalupe St, 5th Floor, Austin, TX, 78701","1700 Guadalupe St","Austin","TX","78701","ready",""
"106","721880c3-a6fa-42a3-ac6a-1dac836305b8","published","State of Texas – Texas Department of Public Safety","Texas Department of Public Safety (TxDPS)","5805 N. Lamar Blvd., Austin, TX, 78752","5805 N. Lamar Blvd.","Austin","TX","78752","ready",""
"107","d8dbc7e1-d086-4b8c-aa34-a5ffc957b8da","published","Williamson County Government","Williamson County Clerk","405 Martin Luther King St, Georgetown, TX, 78626","405 Martin Luther King St","Georgetown","TX","78626","ready",""
"108","f8db57ca-4412-46e9-a1da-aead364cbd33","draft","Bastrop County Clerk","Vital records, deeds, and court filings","803 Pine Street, Bastrop, TX, 78602","803 Pine Street","Bastrop","TX","78602","ready",""
"109","39ff5930-8bde-4c04-9fc2-1c9ac5b29615","published","U.S. Social Security Administration (SSA)","Social Security Administration (SSA) – Austin Field Office","1029 Camino La Costa, Austin, TX, 78752","1029 Camino La Costa","Austin","TX","78752","ready",""
"110","2f2fc895-6e71-4be5-9e6f-90aecf8673fd","published","United States Bankruptcy Court – Western District of Texas","U.S. Bankruptcy Court – Western District of Texas, Austin Division","903 San Jacinto Blvd, #322, Austin, TX, 78701","903 San Jacinto Blvd, #322","Austin","TX","78701","ready",""
"111","717c0149-204c-4a6e-8300-b1a1213eabe0","published","Travis County","Veterans benefits counseling and claims assistance","5325 Airport Boulevard, Austin, TX, 78751","5325 Airport Boulevard","Austin","TX","78751","ready",""
"112","8e73d3df-4162-4125-b65e-ef03c3293585","published","U.S. Department of Veterans Affairs (VA Central Texas)","VA Central Texas Homeless Veteran Care","7901 Metropolis Dr., Austin, TX, 78744","7901 Metropolis Dr.","Austin","TX","78744","ready",""
"113","800cef72-58f3-4bd0-bb1a-294961db7486","published","Williamson County","Veterans benefits counseling and claims assistance","100 Wilco Way, Suite V101, Georgetown, TX, 78626","100 Wilco Way, Suite V101","Georgetown","TX","78626","ready",""
"114","0da18055-141a-481b-bad5-6ead41d7a125","published","U.S. Department of Veterans Affairs (VA) – VA Central Texas Healthcare System","VA Central Texas – Veterans Health Care","7901 Metropolis Drive, Austin, TX, 78744","7901 Metropolis Drive","Austin","TX","78744","ready",""
"115","1f9d9076-ebd8-444e-9c6e-5a3964b6e7e1","published","Hays County","Veterans benefits counseling and claims assistance","111 E. San Antonio St., Ste. 100, San Marcos, TX, 78666","111 E. San Antonio St., Ste. 100","San Marcos","TX","78666","ready",""
"116","b4ec4cc4-7148-4215-9e96-bf243cb77dd1","published","Catholic Charities of Central Texas","St. Michael's Veteran Services","2901 Saint Francis St., Killeen, TX, 76543","2901 Saint Francis St.","Killeen","TX","76543","ready",""
"117","5e7c1ec1-b2e5-4807-9b3c-248719aefd2b","published","Bastrop County","Veterans benefits counseling and claims assistance","104 Loop 150, Bastrop, TX, 78602","104 Loop 150","Bastrop","TX","78602","ready",""
"118","5161245e-540b-4198-bbfb-51c2763f0ed3","published","Heroes Night Out","Resource center for veterans and their families","1150 S. Bell Blvd., Bldg 5, Cedar Park, TX, 78613","1150 S. Bell Blvd., Bldg 5","Cedar Park","TX","78613","ready",""
"119","c74b8afc-53cb-47fb-a880-a21ccf91a0c8","draft","Texas Veterans Commission","Representatives for VA benefit claims and appeals","No hay oficina única — consejeros integrados en instalaciones de VA en distintas áreas, incluida Austin, TX","No hay oficina única — consejeros integrados en instalaciones de VA en distintas áreas, incluida Austin","","TX","","unresolved","variable_or_non_specific_location"
"120","4380d5fd-6cfa-41d7-8380-3b8f185ba163","draft","Caldwell County","Veterans benefits counseling and applications","1403 Blackjack St., Lockhart, TX, 78644","1403 Blackjack St.","Lockhart","TX","78644","ready",""
"121","8909eca7-2057-4a5d-88af-35f40f0cb002","draft","University of Texas Rio Grande Valley (UTRGV) / U.S. Small Business Administration","Veterans Business Outreach Center (VBOC) – UTRGV","1407 E. Freddy Gonzalez Dr., CESS Bldg., Suite 1.200, Edinburg, TX, 78539","1407 E. Freddy Gonzalez Dr.","Edinburg","TX","78539","ready",""
"122","73e14c4e-af91-43fe-83bb-094977880a82","draft","AGE of Central Texas","Navigation and support for family caregivers","7640 Guadalupe St, Austin, TX, 78752","7640 Guadalupe St","Austin","TX","78752","ready",""
"123","506da0f9-5a4a-4d22-95de-5765ecc825dd","draft","Alzheimer's Texas","Support and respite for dementia caregivers","7000 N. MoPac Expy #200, Austin, TX, 78731","7000 N. MoPac Expy #200","Austin","TX","78731","ready",""
"124","53b6fddc-6986-423a-a3a5-8270cb669a16","draft","Family Eldercare","In-home care for older adults and people with disabilities","1700 Rutherford Lane, Austin, TX, 78754","1700 Rutherford Lane","Austin","TX","78754","ready",""
