"lookup_id","resource_id","slug","status","organization_name","title_en","original_address","query_street","query_city","query_state","query_zip","provider","lookup_date","census_status","match_type","matched_address","latitude","longitude","classification","reasons"
"12","855ba650-5774-4bea-a87d-a4674464b7bc","derechos-y-recursos-legales-de-inmigracion-immigrant-legal-resource-center-ilrc","published","Immigrant Legal Resource Center (ILRC)","Immigration Rights & Legal Resources","6633 East Hwy 290, Suite 102, Austin, TX, 78723","6633 East Hwy 290","Austin","TX","78723","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","6633 E HWY 290, AUSTIN, TX, 78723","30.320712699368","-97.694147230615","exact",""
"13","36cce978-6612-4e04-8874-0a54503645eb","acceso-gratuito-a-computadoras-y-habilidades-digitales-austin-free-net","published","Austin Free-Net","Free Computer Access & Digital Skills","2209 Rosewood Ave., Austin, TX, 78702","2209 Rosewood Ave.","Austin","TX","78702","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2209 ROSEWOOD AVE, AUSTIN, TX, 78702","30.270129712111","-97.715983517891","exact",""
"14","9e02be2f-dabf-4e0d-87ae-4b8aacdba5b4","texas-baptist-children-s-home-support-for-foster-youth-and-families","published","Texas Baptist Children's Home","Transitional housing and counseling","1101 N. Mays Street, Round Rock, TX, 78664","1101 N. Mays Street","Round Rock","TX","78664","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1101 N MAYS ST, ROUND ROCK, TX, 78664","30.518300445659","-97.683005353582","exact",""
"15","a922e19a-6fa5-4e4d-8621-48a7d7623ab7","the-settlement-home-for-children-post-adoption-services-support-for-foster-youth-and-families","published","The Settlement Home for Children Post-Adoption Services","Post-adoption support services","1600 Payton Gin Road, Austin, TX, 78758","1600 Payton Gin Road","Austin","TX","78758","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1600 PAYTON GIN RD, AUSTIN, TX, 78758","30.364686554099","-97.715124661538","exact",""
"16","e20bd28c-bbc1-4ff3-89f4-f6493b731344","upbring-support-for-foster-youth-and-families","published","Upbring","Foster care, adoption, and transition support","8305 Cross Park Drive, Austin, TX, 78754","8305 Cross Park Drive","Austin","TX","78754","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","8305 CROSS PARK DR, AUSTIN, TX, 78754","30.335611248587","-97.670013052943","exact",""
"17","9a3dbad5-475f-4fc9-bf04-66897b2da65c","cross-creek-behavioral-health-hospital-mental-health-and-wellness-services","published","Cross Creek Behavioral Health Hospital","Mental health and wellness services","8402 Cross Park Drive, Austin, TX, 78754","8402 Cross Park Drive","Austin","TX","78754","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","8402 CROSS PARK DR, AUSTIN, TX, 78754","30.338190028235","-97.676547212999","exact",""
"18","40f9a72b-aa77-4860-8ffd-6e4c473993a8","healing-wings-llc-mental-health-and-wellness-services","published","Healing Wings LLC","Therapy and psychological assessment for youth","4749 Williams Drive, Suite 323, Georgetown, TX, 78633","4749 Williams Drive","Georgetown","TX","78633","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","4749 WILLIAMS DR, GEORGETOWN, TX, 78633","30.688381168682","-97.723504139106","exact",""
"19","24a73cb9-c809-4de7-9d4a-91311a668122","impact-counseling-services-inc-mental-health-and-wellness-services","published","Impact Counseling Services, Inc","Counseling for youth, adults, and families","2100 Scenic Drive, Suite 140, Georgetown, TX, 78626","2100 Scenic Drive","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2100 SCENIC DR, GEORGETOWN, TX, 78626","30.626375517074","-97.687611090441","exact",""
"20","2952025e-0e38-4b4a-bda8-476c35c850d6","samaritan-center-mental-health-and-wellness-services","published","Samaritan Center","Mental health and wellness services","8956 Research Blvd, Building 2, Austin, TX, 78758","8956 Research Blvd","Austin","TX","78758","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"21","dc1dba5f-ed5e-4f0b-ab30-931192372aed","boys-and-girls-club-of-georgetown-youth-development-and-recreation-programs","published","Boys and Girls Club of Georgetown","Youth development and recreation programs","1200 W. 17th Street, Georgetown, TX, 78626","1200 W. 17th Street","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"22","0e0452ad-c60b-4f3b-92ab-0434444425f4","candlelight-ranch-youth-development-and-recreation-programs","published","Candlelight Ranch","Youth development and recreation programs","6408 Muleshoe Bend Trail, Marble Falls, TX, 78654","6408 Muleshoe Bend Trail","Marble Falls","TX","78654","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","6408 MULESHOE BEND TRL, MARBLE FALLS, TX, 78654","30.506737991925","-98.074461663371","exact",""
"23","1fee08a5-40ba-4bbf-b10a-0474d09ea20c","rowing-dock-youth-development-and-recreation-programs","published","Rowing Dock","Youth development and recreation programs","2418 Stratford Drive, Austin, TX, 78746","2418 Stratford Drive","Austin","TX","78746","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2418 STRATFORD DR, AUSTIN, TX, 78746","30.274703326726","-97.776634693722","exact",""
"24","bc94d411-db8d-4ba0-8571-2a8e964f289a","westcave-outdoor-discovery-center-youth-development-and-recreation-programs","published","Westcave Outdoor Discovery Center","Youth development and recreation programs","24814 Hamilton Pool Road, Round Mountain, TX, 78663","24814 Hamilton Pool Road","Round Mountain","TX","78663","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","24814 HAMILTON POOL RD, ROUND MOUNTAIN, TX, 78663","30.339205408058","-98.139544586832","exact",""
"25","a56bf4d3-8986-4009-b2d6-9c6273582a8d","zilker-botanical-garden-youth-development-and-recreation-programs","published","Zilker Botanical Garden","Youth development and recreation programs","2220 Barton Springs Road, Austin, TX, 78746","2220 Barton Springs Road","Austin","TX","78746","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2220 BARTON SPRINGS RD, AUSTIN, TX, 78746","30.266224562324","-97.769029303442","exact",""
"26","15dc36d5-f3d8-4799-a3b8-adc185a5ed8f","vela-disability-and-family-support","published","VELA","Courses and support for parents of children with disabilities","3100 East 4th Street, Austin, TX, 78702","3100 East 4th Street","Austin","TX","78702","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","3100 E 4TH ST, AUSTIN, TX, 78702","30.254464697085","-97.708666617501","exact",""
"27","46442109-648c-4f51-9ed4-df714e0f9864","fostering-hope-community-support-for-individuals-and-families","published","Fostering Hope","Training and support for foster families","13300 Pond Springs Road, Austin, TX, 78729","13300 Pond Springs Road","Austin","TX","78729","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","13300 POND SPRINGS RD, AUSTIN, TX, 78729","30.447948416244","-97.782095001013","exact",""
"28","20e66dca-2481-48d1-a472-2f0cd5092e22","christi-center-mental-health-and-wellness-services","published","Christi Center","Mental health and wellness services","2306 Hancock Drive, Austin, TX, 78756","2306 Hancock Drive","Austin","TX","78756","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2306 HANCOCK DR, AUSTIN, TX, 78756","30.324315298944","-97.74275681366","exact",""
"29","180d2b16-e6f5-47b5-92fa-44df43637545","bridge-lacrosse-youth-development-and-recreation-programs","published","Bridge Lacrosse","Free youth lacrosse","1200 Montopolis Drive, Austin, TX, 78741","1200 Montopolis Drive","Austin","TX","78741","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1200 MONTOPOLIS DR, AUSTIN, TX, 78741","30.232319627812","-97.698902033918","exact",""
"30","b460fd32-3961-4299-9beb-4f29f185029b","austin-creative-reuse-education-and-learning-support-programs","published","Austin Creative Reuse","Education and learning support programs","2005 Wheless Lane, Austin, TX, 78723","2005 Wheless Lane","Austin","TX","78723","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2005 WHELESS LN, AUSTIN, TX, 78723","30.313762259736","-97.68770220831","exact",""
"31","ad6f0ff8-ebd7-4a63-be71-910d8a51f48a","college-hub-at-foundation-communities-education-and-learning-support-programs","published","Foundation Communities","Affordable Housing & Community Support Services","3000 S IH 35, Suite 300, Austin, TX, 78704","3000 S IH 35","Austin","TX","78704","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"32","e3497e15-889d-4c79-b5df-5464e49d62b3","austin-clubhouse-mental-health-and-wellness-services","published","Austin Clubhouse","Mental health and wellness services","610 E. 45th Street, Inside Hyde Park Christian Church, east entrance, Austin, TX, 78751","610 E. 45th Street","Austin","TX","78751","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","610 E 45TH ST, AUSTIN, TX, 78751","30.306674432243","-97.723432360135","exact",""
"33","73b444a8-b037-4d04-8325-8e5ecec24043","helping-hand-home-for-children-support-for-foster-youth-and-families","published","Helping Hand Home for Children","Support for foster youth and families","3804 Avenue B, Austin, TX, 78751","3804 Avenue B","Austin","TX","78751","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","3804 AVE B, AUSTIN, TX, 78751","30.301949707135","-97.736329890761","exact",""
"34","f114ecc1-49ca-4a76-ac67-cf07dc060373","austin-habitat-for-humanity-housing-and-basic-needs-assistance","published","Austin Habitat for Humanity","Affordable homeownership and housing counseling","500 W Ben White Boulevard, Austin, TX, 78704","500 W Ben White Boulevard","Austin","TX","78704","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","500 W BEN WHITE SVC RD, AUSTIN, TX, 78704","30.224927999257","-97.765736700053","needs_review","non_exact_match"
"35","e01eedb9-6ee0-4c1b-81c6-b822ffc9e6c7","austin-child-guidance-center-mental-health-and-wellness-services","published","Austin Child Guidance Center","Mental health and wellness services","810 W. 45th Street, Austin, TX, 78751","810 W. 45th Street","Austin","TX","78751","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","810 W 45TH ST, AUSTIN, TX, 78751","30.31231595723","-97.735435514344","exact",""
"36","964ed8a9-7a7f-48b6-8d16-233adc81572d","centered-youth-clinic-and-consulting-mental-health-and-wellness-services","published","Centered Youth Clinic & Consulting","Primary and specialized health care for youth","201 East Wilco Highway, Suite 201, Hutto, TX, 78634","201 East Wilco Highway","Hutto","TX","78634","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"37","30fa47b2-4985-432a-b020-53f19e042059","sunrise-homeless-navigation-center-homeless-navigation-and-basic-needs-support","published","Sunrise Homeless Navigation Center","Homeless navigation and basic-needs support","4430 Menchaca Rd, Austin, TX, 78745","4430 Menchaca Rd","Austin","TX","78745","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","4430 MANCHACA RD, AUSTIN, TX, 78745","30.228234795217","-97.789496436521","needs_review","non_exact_match"
"38","0e830d50-cae6-4930-9a2b-987e73a20b85","lone-star-circle-of-care-community-health-services","published","Lone Star Circle of Care","MAP Enrollment & Affordable Health Care","1221 W. Ben White Blvd., Building B, Suite 200, Austin, TX, 78704","1221 W. Ben White Blvd.","Austin","TX","78704","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1221 W BEN WHITE BLVD, AUSTIN, TX, 78704","30.227322029935","-97.778467421065","exact",""
"39","622d9262-1590-46f0-a976-b75a1c13ec4d","communitycare-primary-and-specialty-health-services","published","CommUnityCare","Primary and specialty health services","7050 Elroy Rd., Austin, TX, 78617","7050 Elroy Rd.","Austin","TX","78617","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","7050 ELROY RD, DEL VALLE, TX, 78617","30.157779837875","-97.642229123497","needs_review","non_exact_match"
"40","0e96ff9d-9e8b-49e8-845a-e9952c5e138b","people-s-community-clinic-women-s-health-center","published","People's Community Clinic","Women’s Health Center","2909 North IH35, Austin, TX, 78722","2909 North IH35","Austin","TX","78722","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"41","1fb67fff-90dd-4867-8de4-878cc3e85322","people-s-community-clinic-community-health-clinic","published","People's Community Clinic","MAP Assistance & Affordable Health Care","1101 Camino La Costa, Austin, TX, 78752","1101 Camino La Costa","Austin","TX","78752","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1101 CAM LA COSTA, AUSTIN, TX, 78752","30.324875579805","-97.700194597664","exact",""
"42","7fd18a9b-abd0-41c4-a16d-a776de28d1bd","austin-public-health-far-south-immunization-clinic","published","Austin Public Health","Far South Immunization Clinic","405 W. Stassney Lane, Austin, TX, 78745","405 W. Stassney Lane","Austin","TX","78745","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","405 E STASSNEY LN, AUSTIN, TX, 78745","30.202823324581","-97.771764751983","needs_review","non_exact_match"
"43","9fd1002c-023f-4650-aa26-9b5889fbf6fc","austin-public-health-st-johns-immunization-clinic","published","Austin Public Health","St. Johns Immunization Clinic","7500 Blessing Avenue, Austin, TX, 78752","7500 Blessing Avenue","Austin","TX","78752","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","7500 BLESSING AVE, AUSTIN, TX, 78752","30.332027518138","-97.69306280548","exact",""
"44","4b2cd9bb-a1fc-409b-bdbe-39f3059edd9d","ventanilla-de-salud-health-information-and-preventive-services","published","Ventanilla de Salud – Consulado General de México en Austin","Health Information & Preventive Services","5202 E. Ben White Blvd., Suite 150, Austin, TX, 78741","5202 E. Ben White Blvd.","Austin","TX","78741","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","5202 E BEN WHITE BLVD, AUSTIN, TX, 78741","30.214530757707","-97.727076430412","exact",""
"45","6db18573-eec3-4bfb-9250-5392f9e27cbb","st-edward-s-community-counseling-clinic-community-counseling-services","published","St. Edward's Community Counseling Clinic","Community Counseling Services","3001 S. Congress Ave, East Hall 153, Austin, TX, 78704","3001 S. Congress Ave","Austin","TX","78704","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","3001 CONGRESS AVE S, AUSTIN, TX, 78704","30.23336705748","-97.757808218145","needs_review","non_exact_match"
"46","e8dbc5bb-9bba-4913-9c18-aeea7afd55a1","lirios-para-mental-health-bilingual-counseling-services","published","Lirios Para Mental Health","Bilingual counseling services","4201 South Congress Avenue Ste 202, Austin, TX, 78745","4201 South Congress Avenue Ste 202","Austin","TX","78745","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","4201 CONGRESS AVE S, AUSTIN, TX, 78745","30.221245548362","-97.764854785415","needs_review","non_exact_match"
"47","bb12f176-ea4d-4370-80de-21b47489272b","capital-area-counseling-affordable-counseling-services","published","Capital Area Counseling","Affordable counseling services","9111 Jollyville Rd, Suite 250, Austin, TX, 78759","9111 Jollyville Rd","Austin","TX","78759","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","9111 JOLLYVILLE RD, AUSTIN, TX, 78759","30.381596235919","-97.743300108233","exact",""
"48","78fd23b1-9406-49ad-b803-71e3e0c077ac","austin-child-guidance-center-child-and-family-therapy","published","Austin Child Guidance Center","Child and family therapy","810 W 45th St, Austin, TX, 78751","810 W 45th St","Austin","TX","78751","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","810 W 45TH ST, AUSTIN, TX, 78751","30.31231595723","-97.735435514344","exact",""
"49","380d78f2-3fd7-4cb0-ac5f-24952ac11a37","opportunities-for-williamson-and-burnet-counties-community-case-management-support","published","Opportunities for Williamson & Burnet Counties (OWBC)","Community Services, Head Start & Meals on Wheels","604 High Tech Drive, Georgetown, TX, 78626","604 High Tech Drive","Georgetown","TX","78626","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","604 HIGH TECH DR, GEORGETOWN, TX, 78626","30.619334151063","-97.670418401313","exact",""
"50","71ef5708-40b2-46e5-b632-07f876b68844","central-texas-food-bank-food-distribution","published","Central Texas Food Bank","Food distribution","6500 Metropolis Drive, Austin, TX, 78744","6500 Metropolis Drive","Austin","TX","78744","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","6500 METROPOLIS DR, AUSTIN, TX, 78744","30.202104818821","-97.710306976849","exact",""
"51","7a381e10-25c6-442b-a53a-6e7838946815","dolores-catholic-church-food-pantry","published","Dolores Catholic Church","Food Pantry","1111 Montopolis Dr., Austin, TX, 78741","1111 Montopolis Dr.","Austin","TX","78741","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1111 MONTOPOLIS DR, AUSTIN, TX, 78741","30.23295051919","-97.698347342631","exact",""
"52","b2d878c8-fb16-4cec-98ef-214683c19eae","central-presbyterian-church-breakfast-and-basic-needs-support","published","Central Presbyterian Church","Central Mission: breakfast and basic needs","200 E. 8th St, Austin, TX, 78701","200 E. 8th St","Austin","TX","78701","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","200 E 8TH ST, AUSTIN, TX, 78701","30.269570081546","-97.740696585361","exact",""
"53","3ea9291b-b85a-4009-b49a-79169c6e0b4c","foundation-for-the-homeless-feed-my-people-breakfast-showers-and-clothing","published","Foundation for the Homeless / Feed My People","Breakfast, showers and clothing","1300 Lavaca St., Austin, TX","1300 Lavaca St.","Austin","TX","","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1300 LAVACA ST, AUSTIN, TX, 78701","30.275804893724","-97.742633852007","exact",""
"54","4fa4cebd-453a-42f5-866f-020952f2260a","university-presbyterian-church-food-pantry-and-utility-assistance","published","University Presbyterian Church","Food pantry and utility assistance","2203 San Antonio Street, Austin, TX, 78705","2203 San Antonio Street","Austin","TX","78705","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2203 SAN ANTONIO ST, AUSTIN, TX, 78705","30.28516485659","-97.742824975052","exact",""
"55","c5211c29-1b7f-43fc-bbd3-209a9af4b1ad","university-united-methodist-church-open-door-breakfast-and-clothing","published","University United Methodist Church","Open Door breakfast and clothing","2409 Guadalupe Street, Austin, TX, 78705","2409 Guadalupe Street","Austin","TX","78705","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","2409 GUADALUPE ST, AUSTIN, TX, 78705","30.287850560574","-97.741471735453","exact",""
"56","29e8c472-0ea5-487b-8bc6-1ef6152a06d1","consultame-mexican-consulate-procedure-assistance","published","Consultame","Mexican Consulate procedure assistance","2911 AW Grimes Blvd #203, Pflugerville, TX, 78660","2911 AW Grimes Blvd #203","Pflugerville","TX","78660","U.S. Census Bureau Geocoder","2026-09-03","Match","Non_Exact","2911 A W GRIMES BLVD, PFLUGERVILLE, TX, 78660","30.477624315033","-97.643205088749","needs_review","non_exact_match"
"57","4aca8d3c-240c-4408-b9fc-16d2c7bf2ac7","child-inc-child-care-for-families-with-low-incomes","published","Child Inc.","Child care for families with low incomes","818 East 53rd Street, Austin, TX, 78751","818 East 53rd Street","Austin","TX","78751","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","818 E 53RD ST, AUSTIN, TX, 78751","30.313947457322","-97.714780870706","exact",""
"58","c59aeb14-d78e-4511-be0f-f8f21479b7d5","the-goodwill-excel-center-adult-high-school-diploma-and-career-training","published","The Goodwill Excel Center","Adult high school diploma and career training","1015 Norwood Park Blvd., Austin, TX, 78753","1015 Norwood Park Blvd.","Austin","TX","78753","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1015 NORWOOD PARK BLVD, AUSTIN, TX, 78753","30.339170351618","-97.692986090291","exact",""
"59","1e2c42fa-f230-4e76-afd3-9f70e1f51d8c","ut-austin-school-of-nursing-children-s-wellness-center","published","UT Austin School of Nursing","Children's Wellness Center","5301 Ross Rd., Building H, Suite H, Del Valle, TX, 78617","5301 Ross Rd.","Del Valle","TX","78617","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","5301 ROSS RD, DEL VALLE, TX, 78617","30.178219272974","-97.61519984697","exact",""
"60","9c1858a2-e36d-4bd8-b287-ad85594efea5","the-source-women-s-health-center-women-s-health-services","published","The Source Women's Health Center","Women’s health services","1007 E 41st St., Austin, TX, 78751","1007 E 41st St.","Austin","TX","78751","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1007 E 41ST ST, AUSTIN, TX, 78751","30.298550430798","-97.720136142284","exact",""
"61","87a796dc-71a2-4d5a-b14c-292e6d11ac96","northeast-health-resource-center-free-diapers-and-menstrual-products","published","Northeast Health Resource Center","Free diapers and menstrual products","6711 Johnny Morris Rd., Austin, TX, 78724","6711 Johnny Morris Rd.","Austin","TX","78724","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","6711 JOHNNY MORRIS RD, AUSTIN, TX, 78724","30.300379483019","-97.648051929391","exact",""
"62","07b26629-178f-422e-9cbe-cb62b3c1416e","austin-public-health-dove-springs-neighborhood-center","published","Austin Public Health","Dove Springs Neighborhood Center","5811 Palo Blanco Lane, Austin, TX, 78744","5811 Palo Blanco Lane","Austin","TX","78744","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"63","03ab5ff0-7750-4d87-b288-0471a3f8691c","austin-public-health-st-john-community-center","published","Austin Public Health","St. John Community Center","7500 Blessing Avenue, Austin, TX, 78752","7500 Blessing Avenue","Austin","TX","78752","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","7500 BLESSING AVE, AUSTIN, TX, 78752","30.332027518138","-97.69306280548","exact",""
"64","f28939b6-8201-4657-a509-f1909198b3ff","austin-public-health-east-austin-neighborhood-center","published","Austin Public Health","East Austin Neighborhood Center","211 Comal Street, Austin, TX, 78702","211 Comal Street","Austin","TX","78702","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","211 COMAL ST, AUSTIN, TX, 78702","30.259538455721","-97.72811629403","exact",""
"65","3c82de24-1c8f-4d9b-bbde-7673dc6791da","austin-public-health-montopolis-community-center","published","Austin Public Health","Montopolis Community Center","1200 Montopolis Drive, Austin, TX, 78741","1200 Montopolis Drive","Austin","TX","78741","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1200 MONTOPOLIS DR, AUSTIN, TX, 78741","30.232319627812","-97.698902033918","exact",""
"66","705a5ab0-a0d7-4fd5-86b7-6afa79678d64","dress-for-success-austin-employment-and-professional-clothing-support","published","Dress for Success Austin","Employment and professional clothing support","3000 S. I-35 Frontage Road, Suite 180, Austin, TX, 78704","3000 S. I-35 Frontage Road","Austin","TX","78704","U.S. Census Bureau Geocoder","2026-09-03","No_Match","","","0","0","unresolved","no_geocoder_match"
"67","fce78f82-15f4-431b-8524-c739e9d59503","navarro-high-school-family-resource-center-family-resource-center-support","published","Navarro High School Family Resource Center","Family Resource Center","1111 Fairfield Dr, Austin, TX, 78758","1111 Fairfield Dr","Austin","TX","78758","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1111 FAIRFIELD DR, AUSTIN, TX, 78758","30.358888695117","-97.708738407205","exact",""
"68","965b2004-2de8-49f4-a0d3-d0f6a0ccb3ac","lincoln-goldfinch-law-immigration-legal-services","published","Lincoln-Goldfinch Law","Immigration legal services","1005 E 40th St, Austin, TX, 78751","1005 E 40th St","Austin","TX","78751","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","1005 E 40TH ST, AUSTIN, TX, 78751","30.297354389831","-97.720140720548","exact",""
"69","0a97f4ee-26c3-4a07-a118-c3cf024c20d5","all-saints-episcopal-church-rent-and-utility-assistance-all-saints-episcopal-church-rent-and-utility-assistanc","published","All Saints Episcopal Church Rent and Utility Assistance","Rent and utility assistance","209 W. 27th Street, Austin, TX, 78705","209 W. 27th Street","Austin","TX","78705","U.S. Census Bureau Geocoder","2026-09-03","Match","Exact","209 W 27TH ST, AUSTIN, TX, 78705","30.291781699937","-97.739080017072","exact",""
