"67","1111 Fairfield Dr","Austin","TX","78758"
"68","1005 E 40th St","Austin","TX","78751"
"69","209 W. 27th Street","Austin","TX","78705"
"70","1503 S. I-35 Frontage Rd","Austin","TX","78741"
"71","813 E. 8th Street","Austin","TX","78702"
"72","4550 Mueller Blvd.","Austin","TX","78723"
"73","500 E 7th Street","Austin","TX","78701"
"74","821 Gunter Street","Austin","TX","78702"
"75","505 Barton Springs Rd.","Austin","TX","78704"
"76","505 Barton Springs Road","Austin","TX","78704"
"77","4800 Manor Rd.","Austin","TX","78723"
"78","4613 Tannehill Lane","Austin","TX","78721"
"79","4613 Tannehill Ln","Austin","TX","78721"
"80","908 E Cesar Chavez St","Austin","TX","78702"
"81","611 Neches St.","Austin","TX","78701"
"82","1314 E Oltorf St","Austin","TX","78704"
"83","4301 Tannehill Lane","Austin","TX","78721"
"84","901 W. Braker Lane","Austin","TX","78758"
"85","2409 Guadalupe St.","Austin","TX","78705"
"86","3100 Red River Suite 3","Austin","TX","78705"
"87","10700 Anderson Mill Rd #300","Austin","TX","78750"
"88","901 W. Braker Lane","Austin","TX","78758"
"89","1015 Norwood Park Boulevard","Austin","TX","78753"
"90","304 E. 7th St","Austin","TX","78701"
"91","8700 Menchaca Rd","Austin","TX","78748"
"92","3007 N Lamar Blvd","Austin","TX","78705"
"93","4201 S Congress Ave","Austin","TX","78745"
"94","4215 Medical Pkwy","Austin","TX","78756"
"95","7201 Levander Loop Bldg. C","Austin","TX","78702"
"96","850 East Anderson Lane","Austin","TX","78752"
"97","5501 Airport Blvd","Austin","TX","78751"
"98","200 W 8th St","Austin","TX","78701"
"99","1000 Guadalupe St","Austin","TX","78701"
"100","1700 Guadalupe St","Austin","TX","78701"
"101","2433 Ridgepoint Dr","Austin","TX","78754"
"102","1700 Guadalupe St","Austin","TX","78701"
"103","5325 Airport Blvd","Austin","TX","78751"
"104","1700 Guadalupe Street","Austin","TX","78701"
"105","1700 Guadalupe St","Austin","TX","78701"
"106","5805 N. Lamar Blvd.","Austin","TX","78752"
"107","405 Martin Luther King St","Georgetown","TX","78626"
"108","803 Pine Street","Bastrop","TX","78602"
"109","1029 Camino La Costa","Austin","TX","78752"
"110","903 San Jacinto Blvd, #322","Austin","TX","78701"
"111","5325 Airport Boulevard","Austin","TX","78751"
"112","7901 Metropolis Dr.","Austin","TX","78744"
"113","100 Wilco Way, Suite V101","Georgetown","TX","78626"
"114","7901 Metropolis Drive","Austin","TX","78744"
"115","111 E. San Antonio St., Ste. 100","San Marcos","TX","78666"
"116","2901 Saint Francis St.","Killeen","TX","76543"
"117","104 Loop 150","Bastrop","TX","78602"
"118","1150 S. Bell Blvd., Bldg 5","Cedar Park","TX","78613"
"120","1403 Blackjack St.","Lockhart","TX","78644"
"121","1407 E. Freddy Gonzalez Dr.","Edinburg","TX","78539"
"122","7640 Guadalupe St","Austin","TX","78752"
"123","7000 N. MoPac Expy #200","Austin","TX","78731"
"124","1700 Rutherford Lane","Austin","TX","78754"
"125","6500 Metropolis Drive","Austin","TX","78744"
"126","6800 Burleson Road","Austin","TX","78744"
"127","2910 E. 5th St.","Austin","TX","78702"
"129","850 East Anderson Lane","Austin","TX","78752"
"131","215 S. Reimer Avenue","San Marcos","TX","78666"
"132","810 Arizona Street","San Marcos","TX","78666"
"133","901 Bois D'Arc Street","Lockhart","TX","78644"
"134","1209 Linden St","Bastrop","TX","78602"
"135","5325 Airport Blvd, 2do piso","Austin","TX","78753"
"136","7640 Guadalupe St","Austin","TX","78752"
"137","2601 Exposition Boulevard","Austin","TX","78703"
"138","5555 N. Lamar, Building J Suite 125","Austin","TX","78751"
"139","7201 Levander Loop, Building C","Austin","TX","78702"
"140","4911 Harmon Avenue","Austin","TX","78751"
"141","1201 Pine Street","Bastrop","TX","78602"
"142","987 N State Highway 95","Bastrop","TX","78602"
"143","306 Paul C Bell St","Bastrop","TX","78602"
"144","303 Ave C","Elgin","TX","78621"
"145","302 West 11th Street","Elgin","TX","78621"
"146","205 W. 2nd Street","Elgin","TX","78621"
"147","301 Lee St. Smithville, TX 78957","Smithville","TX","78957"
"148","111 Pearce Lane","Cedar Creek","TX","78612"
"149","5630 FM 535","Cedar Creek","TX","78612"
"150","125 Voss Pkwy","Cedar Creek","TX","78612"
"151","1501 US-290","Elgin","TX","78621"
"152","Bastrop Community Senior Center, 1209 Linden St","Bastrop","TX","78602"
"153","443 Texas Highway 71","Bastrop","TX","78602"
"154","502 Farm Street","Bastrop","TX","78602"
"155","515 Old McDade Road","Elgin","TX","78621"
"156","200-A Depot Street","Elgin","TX","78621"
"157","165 W Austin Street","Giddings","TX","78942"
"158","15 American Legion Drive","Bastrop","TX","78602"
"159","275 Jackson Street","Bastrop","TX","78602"
"160","711 W 10th St.","Elgin","TX","78621"
"161","605 Old Austin Hwy","Bastrop","TX","78602"
"162","301 Hwy 71 W","Bastrop","TX","78602"
"163","104 Loop 150","Bastrop","TX","78602"
"164","275 Jackson St.","Bastrop","TX","78602"
"165","808 SE Martin Luther King Drive","Smithville","TX","78957"
"166","104 Loop 150 W","Bastrop","TX","78602"
"167","Estación Bastrop: 310 Hospital Dr","Bastrop","TX","78602"
"168","1602 Hill Street","Bastrop","TX","78602"
"169","2402 Main St","Bastrop","TX","78602"
"170","1602 Hill Street","Bastrop","TX","78602"
"171","1602 Hill Street","Bastrop","TX","78602"
"172","1100 Church Street","Bastrop","TX","78602"
"173","507 Main St","Smithville","TX","78957"
"174","404 N. Main Street","Elgin","TX","78621"
"175","1501 W. US Highway 290","Elgin","TX","78621"
"176","1201 Pine St","Bastrop","TX","78602"
"177","3809 Loop 150 E","Bastrop","TX","78602"
"178","218 S Main St","Elgin","TX","78621"
"179","53 Loop 150 West","Bastrop","TX","78602"
"180","4920 North I-35","Austin","TX","78751"
"181","804 Pecan Street","Bastrop","TX","78602"
"182","104 Loop 150","Bastrop","TX","78602"
"183","361 N. Hwy 95","Elgin","TX",""
"184","804 Pine Street","Bastrop","TX","78602"
"185","1642 NE Loop 230","Smithville","TX","78957"
"186","806 Water St.","Bastrop","TX","78602"
"187","2900 West Pecan Street","Pflugerville","TX","78660"
"188","15822 Foothill Farms Loop","Pflugerville","TX","78660"
"189","2700 W. Pecan St.","Pflugerville","TX","78660"
"190","1401 W. Pecan St.","Pflugerville","TX","78660"
"191","1008 W. Pfluger St.","Pflugerville","TX","78660"
"192","400 Immanuel Road","Pflugerville","TX","78660"
"193","600 W Carrie Manor St","Manor","TX","78653"
"194","3518 FM 973","Del Valle","TX","78617"
"195","7050 Elroy Rd.","Del Valle","TX","78617"
"196","10323 US Hwy 290 E","Manor","TX","78653"
"197","5121 Albert Brown Dr","Del Valle","TX","78617"
"198","1304 Ranch Road 620 North","Lakeway","TX","78734"
"199","18649 FM 1431","Jonestown","TX","78645"
"200","1005 Lacy Drive","Leander","TX","78641"
"201","105 Cross Creek","Lakeway","TX","78734"
"202","1938 Lohmans Crossing Rd","Lakeway","TX","78734"
"203","1011 FM 1626","Manchaca","TX","78652"
"204","12511 FM 1625","Creedmoor","TX","78610"
"205","5604 FM 1327","Creedmoor","TX","78610"
"206","303 Ave C","Elgin","TX","78621"
"207","902 West 2nd Street","Elgin","TX","78621"
"208","1309 Westbank Dr","Austin","TX","78746"
"209","1700 Guadalupe St.","Austin","TX","78701"
"210","4800 Manor Rd.","Austin","TX","78723"
"211","101 W Carrie Manor St.","Manor","TX","78653"
"212","Dawn Dr. & Thunderbird St.","Lago Vista","TX","78645"
"213","502 E Highland Mall Blvd, Suite 106-B","Austin","TX","78752"
"214","201 Meadow Lane","Pflugerville","TX","78660"
"215","5325 Airport Blvd.","Austin","TX","78751"
"216","903 Pfluger Street","Pflugerville","TX","78660"
"217","500 E. Pecan St.","Pflugerville","TX","78660"
"218","302 West 11th Street","Elgin","TX","78621"
"219","16309 Greenwood Dr","Del Valle","TX","78617"
"220","6201 Lohman Ford Rd","Lago Vista","TX","78645"
"222","601 W. Louis Henna Blvd.","Round Rock","TX","78664"
"223","13635 Rutledge Spur","Austin","TX",""
"224","612 MLK Jr. Blvd.","Taylor","TX","76574"
"225","7224 Northeast Dr.","Austin","TX","78723"
"226","2918 E Martin Luther King Jr. Blvd","Austin","TX","78722"
"227","6117 W Hwy 290","Austin","TX","78749"
"229","18649 FM 1631","Jonestown","TX","78645"
"230","806 Fayette St.","Bastrop","TX","78602"
"231","159 Ridgeway Cemetray Rd.","Paige","TX","78659"
"232","115 Sorrell, Red Rock, TX 78662","Red Rock","TX","78662"
"233","1033 Hwy 71 W, Bastrop, TX 78602","Bastrop","TX","78602"
"234","987 N SH 95","Bastrop","TX","78602"
"236","708 St. Louis Street","Gonzales","TX","78629"
"237","1016 Broadway, Marble Falls, TX 78654","Marble Falls","TX","78654"
"238","13740 Research Blvd. Ste M7","Austin","TX","78750"
"239","150 West Palm Valley Blvd.","Round Rock","TX","78664"
"241","1603 Northwest Blvd.","Georgetown","TX","78628"
"242","124 Anderson Ln.","Austin","TX","78752"
"243","57 Loop 150 West","Bastrop","TX","78602"
"245","987 N SH 95","Bastrop","TX","78602"
"246","2 Saint Marks Place","LaGrange","TX","78945"
"247","1016 Broadway","Marble Falls","TX","78654"
"248","218 E. Jackson, Burnet, TX 78611","Burnet","TX","78611"
"249","100 N IH 35, Ste 2000","Austin","TX","78701"
"250","4920 North I-35, Austin, TX 78751","Austin","TX","78751"
