slug,status,organization,code,detail
"first-baptist-church-pflugerville-despensa-de-alimentos-first-baptist-church-pflugerville","published","First Baptist Church Pflugerville","service_area_names_city",""
"first-united-methodist-church-of-pflugerville-despensa-paula-s-y-ropero-first-united-methodist-church-of-pflugerville","published","First United Methodist Church of Pflugerville","service_area_names_city",""
"st-joseph-catholic-church-manor-sociedad-de-san-vicente-de-paul-st-joseph-catholic-church","published","St. Joseph Catholic Church – Society of St. Vincent de Paul","service_area_names_city",""
"sacred-heart-catholic-church-elgin-sociedad-de-san-vicente-de-paul-sacred-heart-catholic-church","published","Sacred Heart Catholic Church – St. Vincent de Paul","service_area_names_city",""
"haynie-chapel-united-methodist-church-despensa-de-alimentos-haynie-chapel-united-methodist-church","published","Haynie Chapel United Methodist Church","service_area_names_city",""
"ayuda-para-renta-servicios-publicos-alimentos-y-necesidades-basicas-sacred-heart-catholic-church-st-vincent-de-paul-conference","published","Sacred Heart Catholic Church – St. Vincent de Paul Conference","service_area_names_city",""
"terapia-bilingue-para-ansiedad-trauma-y-bienestar-emocional-manana-counseling-pllc","published","Mañana Counseling, PLLC","in_person_without_address",""
"terapia-bilingue-para-ansiedad-trauma-y-bienestar-emocional-manana-counseling-pllc","published","Mañana Counseling, PLLC","service_area_names_city",""
"cedar-creek-united-methodist-church-bastrop","archived","Cedar Creek United Methodist Church","no_contact_method",""
"switzer-senior-center-health-and-personal-support-taylor","archived","Switzer Senior Center","draft_missing_source_url",""
"texas-utility-help-housing-and-financial-assistance-williamson","archived","Texas Utility Help","no_contact_method",""
"mortgage-relief-helpline-community-support-williamson","archived","Mortgage Relief Helpline","draft_missing_source_url",""
"experience-works-work-force-solutions-education-and-employment-williamson","archived","Experience Works: Work Force Solutions","draft_missing_source_url",""
"emancipet-community-support-williamson","draft","Emancipet","service_area_names_city",""
"texas-utiliy-help-housing-and-financial-assistance-bastrop","archived","Texas Utiliy Help","no_contact_method",""
"bastrop-women-s-shelter-housing-and-financial-assistance-bastrop","archived","Bastrop Women's Shelter","no_contact_method",""
"bastrop-women-s-shelter-housing-and-financial-assistance-bastrop","archived","Bastrop Women's Shelter","draft_missing_source_url",""
"gonzales-christian-assistance-ministry-housing-and-financial-assistance-gonzales","archived","Gonzales Christian Assistance Ministry","draft_missing_source_url",""
"stella-s-house-refuge-community-support-gonzales","archived","Stella's House (Refuge)","draft_missing_source_url",""
"stella-s-house-refuge-community-support-gonzales","archived","Stella's House (Refuge)","draft_missing_last_verified_at",""
"all-saints-episcopal-church-housing-and-financial-assistance-travis","archived","All Saints Episcopal Church","draft_missing_source_url",""
"uplift-at-university-presbyterian-church-housing-and-financial-assistance-travis","archived","UpLift at University Presbyterian Church","draft_missing_source_url",""
"hill-country-community-ministries-williamson","archived","Hill Country Community Ministries","no_contact_method",""
"hutto-resource-center-williamson","archived","Hutto Resource Center","no_contact_method",""
