id,slug,organization_name,title_es,title_en,status,completed_fields,total_fields,completion_percent,missing_count,missing_fields
"c7d5e8eb-2fe9-4426-b76f-df160b7294db","proyecto-de-solicitud-simplificada-de-texas-tsap-snap-para-adultos-mayores-feeding-texas-texas-hhsc","Feeding Texas / Texas HHSC","Proyecto de Solicitud Simplificada de Texas (TSAP) — SNAP para Adultos Mayores","Texas Simplified Application Project (TSAP) — SNAP for Seniors","published","20","41","49","21","additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county|verification_notes"
"0da44234-d376-4cbc-9e7f-979071bd27a2","asistencia-legal-civil-gratuita-texas-riogrande-legal-aid","Texas RioGrande Legal Aid","Asistencia legal civil gratuita","Free Civil Legal Aid","archived","20","41","49","21","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_2|county|verification_notes"
"ee3e39b6-e869-4c08-85ff-6f2236829471","apoyo-integral-para-familias-con-ninos-any-baby-can","Any Baby Can","Apoyo integral para familias con niños","Whole-Family Support for Families with Children","published","21","41","51","20","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_2|verification_notes"
"3a39dba9-260b-464a-a8c0-e447b9f471b6","comidas-calientes-y-duchas-en-angel-house-austin-baptist-chapel","Austin Baptist Chapel","Comidas calientes y duchas en Angel House","Hot Meals and Showers at Angel House","published","21","41","51","20","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_2|verification_notes"
"49ad891f-7d31-4eda-812f-aab20801f4d5","bastrop-women-s-shelter-housing-and-financial-assistance-bastrop","Bastrop Women's Shelter","Refugio y asistencia económica para mujeres","Shelter and financial assistance for women","draft","21","41","51","20","additional_categories|languages|service_methods|eligibility_es|eligibility_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|county|source_url"
"6b8fd9ee-eedc-4df3-9650-3f03cbe67e2a","burnet-county-hunger-alliance-burnet","Burnet County Hunger Alliance","Red de asistencia alimentaria","Food assistance network","draft","21","41","51","20","additional_categories|languages|service_methods|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code"
"4700ee4d-5771-4fdc-ac55-6091e6f4a5e7","debt-relief-hotline-community-support-williamson","Debt Relief Hotline","Alivio de deudas de tarjetas de crédito","Credit card debt relief","draft","21","41","51","20","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|county|source_url"
"117daed6-98d8-4169-94fe-44ee6deeebd4","discount-prescription-hotline-health-and-personal-support-williamson","Discount Prescription Hotline","Programa de descuento para medicamentos","Prescription discount program","draft","21","41","51","20","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|county|source_url"
"004b986e-5a38-4d4a-b0a4-3c34a44a7950","clases-de-ingles-y-alfabetizacion-digital-el-buen-samaritano","El Buen Samaritano","Clases de inglés y alfabetización digital","English and Digital Literacy Classes","published","21","41","51","20","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_2|verification_notes"
"1166c3a4-c6c6-4376-93bb-0bc760571eeb","fayette-county-community-action-food-pantry-fayette","Fayette County Community Action Food Pantry","Despensa de alimentos","Food pantry","draft","21","41","51","20","additional_categories|languages|service_methods|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code"
"18264cb5-f5ba-4ec7-af01-67b7e1e59c84","free-bankruptcy-advice-community-support-williamson","Free Bankruptcy Advice","Orientación sobre bancarrota y deudas","Bankruptcy and debt counseling","draft","21","41","51","20","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|county|source_url"
"232d336e-1abc-4a3e-847b-754215a63c9b","vivienda-publica-y-subsidiada-housing-authority-of-the-city-of-austin","Housing Authority of the City of Austin","Vivienda pública y subsidiada","Public and Subsidized Housing","published","21","41","51","20","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_2|verification_notes"
"5d46dc02-3b4d-4375-9c29-eaf96ee72ce7","salvation-army-health-and-personal-support-travis","Salvation Army","Refugio y apoyo de emergencia","Shelter and emergency support","draft","21","41","51","20","additional_categories|languages|service_methods|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code"
"9ccd24ac-0a92-427f-bbcd-f239f73819ca","san-antonio-food-bank-guadalupe","San Antonio Food Bank","Despensa de alimentos","Food pantry","draft","21","41","51","20","additional_categories|languages|service_methods|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code"
"3e1ce20d-a6e6-4043-918b-b3a21ebe56c3","san-antonio-food-bank-partner-network-gonzales","San Antonio Food Bank Partner Network","Localizador de ayuda alimentaria","Food assistance locator","draft","21","41","51","20","additional_categories|languages|service_methods|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code"
"efebdc9d-35e9-4209-842e-2cacb4f100e9","stella-s-house-refuge-community-support-gonzales","Stella's House (Refuge)","Vivienda de transición y recuperación para mujeres","Transitional housing and recovery for women","draft","21","41","51","20","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|source_url|last_verified_at"
"0758540c-f4e9-491c-b037-ebc2cd1c3ce1","recursos-para-comprender-y-afrontar-el-trauma-infantil-the-national-child-traumatic-stress-network-nctsn","The National Child Traumatic Stress Network (NCTSN)","Recursos para comprender y afrontar el trauma infantil","Resources to Understand and Cope with Childhood Trauma","published","21","41","51","20","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|verification_notes"
"cbb1de0f-9b82-413d-9b00-d24c855e256d","servicios-legales-de-inmigracion-american-gateways","American Gateways","Servicios legales de inmigración","Immigration Legal Services","published","22","41","54","19","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|verification_notes"
"a911a05e-e2f6-4b8d-9a9e-f808d6f685ee","apa-s-p-a-s-s-program-community-support-williamson","APA's P.A.S.S Program","Alternativas a entregar mascotas al refugio","Alternatives to shelter surrender","draft","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"98d4da6f-df63-4e3f-b11e-5647f372c084","black-mamas-atx-community-support-for-individuals-and-families","Black Mamas ATX","Apoyo comunitario para personas y familias","Community support for individuals and families","published","22","41","54","19","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|service_area_es|service_area_en|phone|sms_phone|whatsapp_phone|address_line_1|address_line_2|city|postal_code|county"
"7a07902d-c42f-4879-9bc5-4b2ca9d81000","tarifas-reducidas-equifare-capmetro","CapMetro","Tarifas reducidas Equifare","Equifare Discounted Transit Fares","published","22","41","54","19","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|verification_notes"
"d6fbd72c-02bc-4869-8f71-f51b67502191","enrollment-department-call-center-community-support-fayette","Enrollment Department Call Center","Inscripción en beneficios de salud","Health-benefit enrollment","draft","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|source_url"
"ecaa3518-9c6d-46c9-8ab8-82c41abd5fd0","families-in-nature-youth-development-and-recreation-programs","Families in Nature","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","published","22","41","54","19","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|service_area_es|service_area_en|phone|sms_phone|whatsapp_phone|address_line_1|address_line_2|city|postal_code|county"
"d222e6fb-599f-4248-88bf-04ec5751e622","home-to-home-community-support-williamson","Home to Home","Reubicación directa de mascotas","Direct pet rehoming","draft","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"63cb781e-c2bb-4465-8759-83ff36c83246","clinica-de-salud-ben-white-lone-star-circle-of-care","Lone Star Circle of Care","Clínica de salud Ben White","Ben White Health Clinic","published","22","41","54","19","description_es|description_en|additional_categories|keywords_es|keywords_en|eligibility_es|eligibility_en|required_documents_es|required_documents_en|application_steps_es|application_steps_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|verification_notes"
"18effc53-9176-4b43-9627-be3bed7ced38","mortgage-relief-helpline-community-support-williamson","Mortgage Relief Helpline","Asistencia de vivienda","Housing assistance","archived","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|source_url"
"ec966e92-b70d-4286-8429-5d719774462b","mortgage-relief-helpline-care-connect-usa-community-support-bastrop","Mortgage Relief Helpline: Care Connect USA","Orientación hipotecaria y prevención de ejecución","Mortgage counseling and foreclosure prevention","draft","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|website_url|address_line_1|address_line_2|city|postal_code|county|source_url"
"daec3f14-1dd9-4472-8cfc-9dfdf9f0d063","osar-health-and-personal-support-bastrop","OSAR","Tratamiento y recuperación","Treatment and recovery","archived","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|county"
"28fcab73-e9b8-4ade-ad21-afde9b023c2c","oxford-homes-community-support-williamson","Oxford Homes","Viviendas de recuperación Oxford House","Oxford House recovery residences","draft","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"92bd505a-0c32-4c69-8822-6c2cae3abaf6","rehome-by-adopt-a-pet-community-support-williamson","Rehome by Adopt a Pet","Publicación en línea para adopción de mascotas","Online pet adoption listing","draft","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"455f86d0-a333-4816-9e64-948af9bc6983","texas-council-on-family-violence-legal-and-safety-support-williamson","Texas Council on Family Violence","Directorio y recursos sobre violencia familiar","Family violence directory and resources","draft","22","41","54","19","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"62e8a3c8-74e5-4bde-990f-3784cea517aa","texas-utility-help-housing-and-financial-assistance-williamson","Texas Utility Help","Asistencia con facturas de agua","Water bill assistance","draft","22","41","54","19","additional_categories|languages|service_methods|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code|county"
"11faa1df-af1b-4123-a1d5-bbe2e14dd076","ywca-greater-austin-youth-development-and-recreation-programs","YWCA Greater Austin","Programas de desarrollo y recreación juvenil","Youth development and recreation programs","published","22","41","54","19","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|service_area_es|service_area_en|phone|sms_phone|whatsapp_phone|address_line_1|address_line_2|city|postal_code|county"
"8a6d6db0-e43e-4ba5-a267-5584193dc263","affordable-housing-online-search-tool-ahost-affordable-housing-search","Affordable Housing Online Search Tool (AHOST)","Búsqueda de vivienda asequible","Affordable housing search","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"f50ecc2d-6d8d-4343-8d07-2b55e58acede","affordablehousing-com-affordable-housing-search","AffordableHousing.com","Búsqueda de vivienda asequible","Affordable housing search","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"8093360e-800e-45ee-981b-f2cdccfc04d5","any-baby-can-family-support-services","Any Baby Can","Servicios de apoyo familiar","Family support services","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"b082a770-59a2-46cf-aa1c-03293fe26012","atx-free-fridge-project-atx-free-fridge-project","ATX Free Fridge Project","ATX Free Fridge Project","ATX Free Fridge Project","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"8a3a76f1-0744-4c48-b7cc-ff767d400e38","austin-public-library-enhanced-library-card","Austin Public Library","Tarjeta de biblioteca mejorada","Enhanced Library Card","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"41501a29-9888-422c-abbf-4fc93f70eeb3","austin-voices-for-education-and-youth-avey-family-resource-center-support","Austin Voices for Education and Youth (AVEY)","Apoyo del Centro de Recursos Familiares","Family Resource Center support","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"972f44f8-ae7a-43db-8433-a87ce7293d51","basta-building-and-strengthening-tenant-action-basta-building-and-strengthening-tenant-action","BASTA (Building and Strengthening Tenant Action)","BASTA (Buscando Acción y Solidaridad que Transforme el Arrendamiento)","BASTA (Building and Strengthening Tenant Action)","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"eb6d90c6-8436-4dc6-b078-bb96f980a545","bluebonnet-trails-osar-williamson","Bluebonnet Trails Community Services","Evaluación y referidos para uso de sustancias","Substance use screening and referrals","published","23","41","56","18","description_es|description_en|additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code"
"61bdd76d-f81b-493a-ab05-584d643c593c","carts-williamson-county-transportation","Capital Area Rural Transportation System","Transporte público rural CARTS","CARTS rural public transportation","published","23","41","56","18","description_es|description_en|additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code"
"56c3dc2d-704f-4e0b-8610-9ca65785b32c","catholic-charities-central-texas-immigration-legal-services-legal-and-safety-support-travi","Catholic Charities Central Texas (Immigration Legal Services)","Servicios legales de inmigración","Immigration legal services","draft","23","41","56","18","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code"
"1ae95abd-bb23-4d4b-a3e2-531cf3b9c56b","catholic-charities-central-texas-st-gabriel-s-pregnancy-and-parenting-program-community-su","Catholic Charities Central Texas St. Gabriel’s Pregnancy and Parenting Program","Apoyo durante el embarazo y la crianza","Pregnancy and parenting support","draft","23","41","56","18","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code"
"59f34e0f-e0f2-4bd1-af0b-e1b18331ee6d","central-texas-feline-rescue-community-support-williamson","Central Texas Feline Rescue","Captura, esterilización y cuidado de gatos ferales","Trap-neuter-return and feral cat care","draft","23","41","56","18","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|address_line_1|address_line_2|city|postal_code|county"
"bf2aee33-018d-4c16-b402-8d31a52941d2","city-of-austin-fix-it-clinics","City of Austin","Clínicas Fix-It","Fix-It Clinics","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"e753ca94-e06b-42fe-97cd-92fbe01913bb","community-action-for-central-texas-housing-and-financial-assistance-bastrop","Community Action for Central Texas","Referidos para asistencia energética","Energy assistance referrals","draft","23","41","56","18","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"27d08a00-9ce1-423d-9664-b60593846a20","community-action-of-central-texas-housing-and-financial-assistance-williamson","Community Action of Central Texas","Referidos para servicios públicos y medicamentos","Utility and prescription referrals","draft","23","41","56","18","additional_categories|languages|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"7579a51f-b20b-48d1-803d-565fae885ee7","community-action-adult-education-williamson","Community Action, Inc. of Central Texas","Educación para adultos y capacitación laboral","Adult education and workforce training","published","23","41","56","18","description_es|description_en|additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code"
"4e1185ff-88bc-4fc3-bc3e-21a130d4ae41","dale-mobile-pantry-caldwell","Dale Mobile Pantry","Despensa de alimentos","Food pantry","draft","23","41","56","18","additional_categories|languages|service_methods|eligibility_es|eligibility_en|required_documents_es|required_documents_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|website_url|address_line_1|address_line_2|city|postal_code"
"54f421f8-ef5c-464e-b432-0d7070caff95","echo-coordinated-assessment-echo-coordinated-assessment","ECHO Coordinated Assessment","Evaluación coordinada de ECHO","ECHO Coordinated Assessment","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
"90b3d0f4-6385-4e67-aff8-28777cba01dc","eviction-solidarity-network-http-evictionisnotacure-com-eviction-solidarity-network-http-evictionisnotacure-co","Eviction Solidarity Network (http://evictionisnotacure.com/)","Red de Solidaridad Contra el Desalojo","Eviction Solidarity Network (http://evictionisnotacure.com/)","published","23","41","56","18","additional_categories|eligibility_es|eligibility_en|required_documents_es|required_documents_en|hours_es|hours_en|accessibility_notes_es|accessibility_notes_en|phone|sms_phone|whatsapp_phone|email|address_line_1|address_line_2|city|postal_code|county"
